dimension,variation,target,year,injection_level,avg_dissimilarity
intensity,high,trauma,1970-1974,0_20,0.23369925
intensity,high,trauma,1970-1974,0_40,0.23246774
intensity,high,trauma,1970-1974,0_60,0.23246774
intensity,high,trauma,1970-1974,0_80,0.22756317
intensity,high,trauma,1970-1974,0_100,0.22567482
intensity,high,trauma,1975-1979,0_20,0.17535168
intensity,high,trauma,1975-1979,0_40,0.1763922
intensity,high,trauma,1975-1979,0_60,0.17508356
intensity,high,trauma,1975-1979,0_80,0.17802301
intensity,high,trauma,1975-1979,0_100,0.18658689
intensity,high,trauma,1980-1984,0_20,0.16450015
intensity,high,trauma,1980-1984,0_40,0.171043
intensity,high,trauma,1980-1984,0_60,0.17452061
intensity,high,trauma,1980-1984,0_80,0.17590009
intensity,high,trauma,1980-1984,0_100,0.18299785
intensity,high,trauma,1985-1989,0_20,0.20482397
intensity,high,trauma,1985-1989,0_40,0.20392053
intensity,high,trauma,1985-1989,0_60,0.2038877
intensity,high,trauma,1985-1989,0_80,0.20581917
intensity,high,trauma,1985-1989,0_100,0.2088835
intensity,high,trauma,1990-1994,0_20,0.14203428
intensity,high,trauma,1990-1994,0_40,0.14481726
intensity,high,trauma,1990-1994,0_60,0.14418857
intensity,high,trauma,1990-1994,0_80,0.15143599
intensity,high,trauma,1990-1994,0_100,0.15411851
intensity,high,trauma,1995-1999,0_20,0.13231376
intensity,high,trauma,1995-1999,0_40,0.13054834
intensity,high,trauma,1995-1999,0_60,0.13252199
intensity,high,trauma,1995-1999,0_80,0.13413699
intensity,high,trauma,1995-1999,0_100,0.13650312
intensity,high,trauma,2000-2004,0_20,0.12519994
intensity,high,trauma,2000-2004,0_40,0.12547752
intensity,high,trauma,2000-2004,0_60,0.12606898
intensity,high,trauma,2000-2004,0_80,0.12737913
intensity,high,trauma,2000-2004,0_100,0.12827565
intensity,high,trauma,2005-2009,0_20,0.11182394
intensity,high,trauma,2005-2009,0_40,0.11395775
intensity,high,trauma,2005-2009,0_60,0.117962435
intensity,high,trauma,2005-2009,0_80,0.11833318
intensity,high,trauma,2005-2009,0_100,0.11751513
intensity,high,trauma,2010-2014,0_20,0.10991349
intensity,high,trauma,2010-2014,0_40,0.10833849
intensity,high,trauma,2010-2014,0_60,0.1107432
intensity,high,trauma,2010-2014,0_80,0.113234594
intensity,high,trauma,2010-2014,0_100,0.11421832
intensity,high,trauma,2015-2019,0_20,0.10878222
intensity,high,trauma,2015-2019,0_40,0.11149261
intensity,high,trauma,2015-2019,0_60,0.11573936
intensity,high,trauma,2015-2019,0_80,0.11818461
intensity,high,trauma,2015-2019,0_100,0.11751989
intensity,high,anxiety,1970-1974,0_20,0.047398344
intensity,high,anxiety,1970-1974,0_40,0.0476165
intensity,high,anxiety,1970-1974,0_60,0.047397234
intensity,high,anxiety,1970-1974,0_80,0.047704477
intensity,high,anxiety,1970-1974,0_100,0.046905193
intensity,high,anxiety,1975-1979,0_20,0.047040556
intensity,high,anxiety,1975-1979,0_40,0.047542967
intensity,high,anxiety,1975-1979,0_60,0.046234623
intensity,high,anxiety,1975-1979,0_80,0.046415128
