dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,positive,trauma,1970-1974,0,0.25093737,0.21938606
sentiment,positive,trauma,1970-1974,20,0.2441691,0.21477842
sentiment,positive,trauma,1970-1974,40,0.23802666,0.21499455
sentiment,positive,trauma,1970-1974,60,0.23802666,0.21499455
sentiment,positive,trauma,1970-1974,80,0.23038094,0.20648876
sentiment,positive,trauma,1970-1974,100,0.23801696,0.20682141
sentiment,positive,trauma,1975-1979,0,0.1789622,0.1623311
sentiment,positive,trauma,1975-1979,20,0.17793515,0.16826211
sentiment,positive,trauma,1975-1979,40,0.17852594,0.16881111
sentiment,positive,trauma,1975-1979,60,0.17419784,0.16620852
sentiment,positive,trauma,1975-1979,80,0.1778362,0.16905977
sentiment,positive,trauma,1975-1979,100,0.19217624,0.18479152
sentiment,positive,trauma,1980-1984,0,0.16581918,0.15823525
sentiment,positive,trauma,1980-1984,20,0.156663,0.1523631
sentiment,positive,trauma,1980-1984,40,0.15417859,0.15407674
sentiment,positive,trauma,1980-1984,60,0.15502675,0.15813991
sentiment,positive,trauma,1980-1984,80,0.14462796,0.15555693
sentiment,positive,trauma,1980-1984,100,0.13902022,0.1535503
sentiment,positive,trauma,1985-1989,0,0.20718917,0.17757368
sentiment,positive,trauma,1985-1989,20,0.20875512,0.18060493
sentiment,positive,trauma,1985-1989,40,0.19544671,0.17709932
sentiment,positive,trauma,1985-1989,60,0.1898037,0.1779303
sentiment,positive,trauma,1985-1989,80,0.18535607,0.17884652
sentiment,positive,trauma,1985-1989,100,0.18147467,0.17624734
sentiment,positive,trauma,1990-1994,0,0.14822184,0.14632407
sentiment,positive,trauma,1990-1994,20,0.14163344,0.14082915
sentiment,positive,trauma,1990-1994,40,0.1483188,0.1472697
sentiment,positive,trauma,1990-1994,60,0.14344065,0.14311942
sentiment,positive,trauma,1990-1994,80,0.1438407,0.14500959
sentiment,positive,trauma,1990-1994,100,0.14805238,0.14884382
sentiment,positive,trauma,1995-1999,0,0.1375333,0.13589038
sentiment,positive,trauma,1995-1999,20,0.13352093,0.13243157
sentiment,positive,trauma,1995-1999,40,0.12864687,0.12893389
sentiment,positive,trauma,1995-1999,60,0.1234942,0.12551574
sentiment,positive,trauma,1995-1999,80,0.12058831,0.12443571
sentiment,positive,trauma,1995-1999,100,0.12041479,0.12818052
sentiment,positive,trauma,2000-2004,0,0.1251623,0.12154537
sentiment,positive,trauma,2000-2004,20,0.12545232,0.12258635
sentiment,positive,trauma,2000-2004,40,0.12236072,0.12404743
sentiment,positive,trauma,2000-2004,60,0.11853653,0.12249975
sentiment,positive,trauma,2000-2004,80,0.11211597,0.117898636
sentiment,positive,trauma,2000-2004,100,0.1101808,0.11527812
sentiment,positive,trauma,2005-2009,0,0.114490606,0.10482253
sentiment,positive,trauma,2005-2009,20,0.11004698,0.10331758
sentiment,positive,trauma,2005-2009,40,0.108449616,0.10278268
sentiment,positive,trauma,2005-2009,60,0.1052209,0.10167208
sentiment,positive,trauma,2005-2009,80,0.101442024,0.09754053
sentiment,positive,trauma,2005-2009,100,0.09193999,0.08941991
sentiment,positive,trauma,2010-2014,0,0.111805126,0.10404688
sentiment,positive,trauma,2010-2014,20,0.10859478,0.10364807
sentiment,positive,trauma,2010-2014,40,0.1007438,0.09792439
sentiment,positive,trauma,2010-2014,60,0.09710841,0.09718264
sentiment,positive,trauma,2010-2014,80,0.09102997,0.08981536
sentiment,positive,trauma,2010-2014,100,0.08407562,0.08158834
sentiment,positive,trauma,2015-2019,0,0.10831124,0.10651048
sentiment,positive,trauma,2015-2019,20,0.104947865,0.10295789
sentiment,positive,trauma,2015-2019,40,0.10542746,0.10581761
sentiment,positive,trauma,2015-2019,60,0.100344166,0.101413764
sentiment,positive,trauma,2015-2019,80,0.093392596,0.093120195
sentiment,positive,trauma,2015-2019,100,0.08821361,0.086824276
sentiment,positive,anxiety,1970-1974,0,0.04856504,0.048522044
sentiment,positive,anxiety,1970-1974,20,0.04552884,0.042593274
sentiment,positive,anxiety,1970-1974,40,0.04414453,0.040680505
sentiment,positive,anxiety,1970-1974,60,0.042276047,0.036188737
sentiment,positive,anxiety,1970-1974,80,0.043489996,0.040519252
sentiment,positive,anxiety,1970-1974,100,0.041323323,0.03574065
