dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,negative,trauma,all,0,0.0064998167,0.004450444
sentiment,negative,trauma,all,20,0.006086792,0.0041620163
sentiment,negative,trauma,all,40,0.0060974252,0.00427732
sentiment,negative,trauma,all,60,0.006156305,0.004145344
sentiment,negative,trauma,all,80,0.005755497,0.003991717
sentiment,negative,trauma,all,100,0.005901891,0.004316541
sentiment,negative,anxiety,all,0,0.0072725005,0.006351796
sentiment,negative,anxiety,all,20,0.007338549,0.006605587
sentiment,negative,anxiety,all,40,0.0072757364,0.00675167
sentiment,negative,anxiety,all,60,0.007159956,0.0065865973
sentiment,negative,anxiety,all,80,0.0071597802,0.006566691
sentiment,negative,anxiety,all,100,0.007247047,0.006669319
sentiment,negative,depression,all,0,0.0058753095,0.0053583235
sentiment,negative,depression,all,20,0.0056606648,0.00512778
sentiment,negative,depression,all,40,0.005785648,0.005297498
sentiment,negative,depression,all,60,0.005688261,0.0052836076
sentiment,negative,depression,all,80,0.0055970764,0.00520528
sentiment,negative,depression,all,100,0.0054893424,0.005162252
sentiment,negative,abuse,all,0,0.0054370575,0.0044587483
sentiment,negative,abuse,all,20,0.005451698,0.004392802
sentiment,negative,abuse,all,40,0.0053626113,0.004485079
sentiment,negative,abuse,all,60,0.0053737937,0.0045743277
sentiment,negative,abuse,all,80,0.0051589506,0.0042220196
sentiment,negative,abuse,all,100,0.0051304027,0.00411702
