dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,positive,trauma,1970-1974,0,0.0040132287,0.0019416484
sentiment,positive,trauma,1970-1974,20,0.0038728502,0.0018232231
sentiment,positive,trauma,1970-1974,40,0.0038766884,0.0018226093
sentiment,positive,trauma,1970-1974,60,0.0038766884,0.0018226091
sentiment,positive,trauma,1970-1974,80,0.0038343286,0.0017734173
sentiment,positive,trauma,1970-1974,100,0.0036206197,0.0017013783
sentiment,positive,trauma,1975-1979,0,0.006108464,0.0042089527
sentiment,positive,trauma,1975-1979,20,0.005871608,0.003902934
sentiment,positive,trauma,1975-1979,40,0.0058514485,0.0038924487
sentiment,positive,trauma,1975-1979,60,0.005799418,0.0037737223
sentiment,positive,trauma,1975-1979,80,0.0056129894,0.003531211
sentiment,positive,trauma,1975-1979,100,0.005000191,0.0028703017
sentiment,positive,trauma,1980-1984,0,0.005846837,0.0033973742
sentiment,positive,trauma,1980-1984,20,0.0059245727,0.0034650832
sentiment,positive,trauma,1980-1984,40,0.0057791704,0.003268628
sentiment,positive,trauma,1980-1984,60,0.00575951,0.0033510204
sentiment,positive,trauma,1980-1984,80,0.0059060096,0.0036150932
sentiment,positive,trauma,1980-1984,100,0.0057949075,0.0036612924
sentiment,positive,trauma,1985-1989,0,0.0062897936,0.004446212
sentiment,positive,trauma,1985-1989,20,0.006070627,0.004336513
sentiment,positive,trauma,1985-1989,40,0.006220924,0.0044144113
sentiment,positive,trauma,1985-1989,60,0.006156156,0.004646943
sentiment,positive,trauma,1985-1989,80,0.00630285,0.0049274126
sentiment,positive,trauma,1985-1989,100,0.006201616,0.004894479
sentiment,positive,trauma,1990-1994,0,0.0056234016,0.0034426018
sentiment,positive,trauma,1990-1994,20,0.005522861,0.0031851172
sentiment,positive,trauma,1990-1994,40,0.0055470546,0.003285357
sentiment,positive,trauma,1990-1994,60,0.005775834,0.0034697745
sentiment,positive,trauma,1990-1994,80,0.005608797,0.0033277688
sentiment,positive,trauma,1990-1994,100,0.0055272793,0.0032503246
sentiment,positive,trauma,1995-1999,0,0.0065585338,0.0048827846
sentiment,positive,trauma,1995-1999,20,0.0065595354,0.004890913
sentiment,positive,trauma,1995-1999,40,0.006640722,0.004898688
sentiment,positive,trauma,1995-1999,60,0.006461232,0.004612943
sentiment,positive,trauma,1995-1999,80,0.00637216,0.0046714954
sentiment,positive,trauma,1995-1999,100,0.0061797546,0.0043690093
sentiment,positive,trauma,2000-2004,0,0.006160053,0.004339558
sentiment,positive,trauma,2000-2004,20,0.0061755246,0.004107171
sentiment,positive,trauma,2000-2004,40,0.0060779783,0.0040709516
sentiment,positive,trauma,2000-2004,60,0.0062351567,0.0042480137
sentiment,positive,trauma,2000-2004,80,0.0063383137,0.004437901
sentiment,positive,trauma,2000-2004,100,0.0063801203,0.004696954
sentiment,positive,trauma,2005-2009,0,0.0061436803,0.003993483
sentiment,positive,trauma,2005-2009,20,0.006143881,0.003929363
sentiment,positive,trauma,2005-2009,40,0.0060110413,0.0037368527
sentiment,positive,trauma,2005-2009,60,0.0060219136,0.003720813
sentiment,positive,trauma,2005-2009,80,0.0061346767,0.0038957845
