target,epoch,lower_bound,upper_bound,mean,num_sentences
abuse,1970-1974,0.489,0.5890000000000001,0.5455039102304523,13
abuse,1975-1979,0.489,0.5890000000000001,0.5455039102304523,183
abuse,1980-1984,0.489,0.5890000000000001,0.5455039102304523,469
abuse,1985-1989,0.509,0.5690000000000001,0.5455039102304523,661
abuse,1990-1994,0.519,0.559,0.5455039102304523,864
abuse,1995-1999,0.529,0.549,0.5455039102304523,702
abuse,2000-2004,0.529,0.549,0.5455039102304523,766
abuse,2005-2009,0.529,0.549,0.5455039102304523,954
abuse,2010-2014,0.529,0.549,0.5455039102304523,1111
abuse,2015-2019,0.529,0.549,0.5455039102304523,1079
anxiety,1970-1974,0.48475,0.5747500000000001,0.5311481179124513,375
anxiety,1975-1979,0.49475,0.5547500000000001,0.5311481179124513,561
anxiety,1980-1984,0.50475,0.5447500000000001,0.5311481179124513,567
anxiety,1985-1989,0.50475,0.5447500000000001,0.5311481179124513,818
anxiety,1990-1994,0.51475,0.5347500000000001,0.5311481179124513,635
anxiety,1995-1999,0.51475,0.5347500000000001,0.5311481179124513,918
anxiety,2000-2004,0.51475,0.5347500000000001,0.5311481179124513,1285
anxiety,2005-2009,0.51475,0.5347500000000001,0.5311481179124513,1500
anxiety,2010-2014,0.51475,0.5347500000000001,0.5311481179124513,1500
anxiety,2015-2019,0.51475,0.5347500000000001,0.5311481179124513,1500
depression,1970-1974,0.43600000000000005,0.5360000000000001,0.49074861486942345,146
depression,1975-1979,0.43600000000000005,0.5360000000000001,0.49074861486942345,383
depression,1980-1984,0.45600000000000007,0.5160000000000001,0.49074861486942345,643
depression,1985-1989,0.4660000000000001,0.5060000000000001,0.49074861486942345,890
depression,1990-1994,0.4760000000000001,0.4960000000000001,0.49074861486942345,747
depression,1995-1999,0.4760000000000001,0.4960000000000001,0.49074861486942345,1213
depression,2000-2004,0.4760000000000001,0.4960000000000001,0.49074861486942345,1500
depression,2005-2009,0.4760000000000001,0.4960000000000001,0.49074861486942345,1500
depression,2010-2014,0.4760000000000001,0.4960000000000001,0.49074861486942345,1500
depression,2015-2019,0.4760000000000001,0.4960000000000001,0.49074861486942345,1500
mental_health,1970-1974,0.415,0.515,0.4695508955956166,66
mental_health,1975-1979,0.415,0.515,0.4695508955956166,281
mental_health,1980-1984,0.415,0.515,0.4695508955956166,394
mental_health,1985-1989,0.415,0.515,0.4695508955956166,577
mental_health,1990-1994,0.435,0.49500000000000005,0.4695508955956166,599
mental_health,1995-1999,0.445,0.48500000000000004,0.4695508955956166,595
mental_health,2000-2004,0.455,0.47500000000000003,0.4695508955956166,517
mental_health,2005-2009,0.455,0.47500000000000003,0.4695508955956166,875
mental_health,2010-2014,0.455,0.47500000000000003,0.4695508955956166,1500
mental_health,2015-2019,0.455,0.47500000000000003,0.4695508955956166,1500
mental_illness,1970-1974,0.42971428571428566,0.5197142857142857,0.47489370442040385,19
mental_illness,1975-1979,0.42971428571428566,0.5197142857142857,0.47489370442040385,52
mental_illness,1980-1984,0.42971428571428566,0.5197142857142857,0.47489370442040385,54
mental_illness,1985-1989,0.42971428571428566,0.5197142857142857,0.47489370442040385,55
mental_illness,1990-1994,0.42971428571428566,0.5197142857142857,0.47489370442040385,114
mental_illness,1995-1999,0.42971428571428566,0.5197142857142857,0.47489370442040385,223
mental_illness,2000-2004,0.42971428571428566,0.5197142857142857,0.47489370442040385,336
mental_illness,2005-2009,0.42971428571428566,0.5197142857142857,0.47489370442040385,503
mental_illness,2010-2014,0.43971428571428567,0.4997142857142857,0.47489370442040385,532
mental_illness,2015-2019,0.43971428571428567,0.4997142857142857,0.47489370442040385,609
trauma,1970-1974,0.4755555555555555,0.5755555555555556,0.5315601219347764,12
trauma,1975-1979,0.4755555555555555,0.5755555555555556,0.5315601219347764,11
trauma,1980-1984,0.4755555555555555,0.5755555555555556,0.5315601219347764,64
trauma,1985-1989,0.4755555555555555,0.5755555555555556,0.5315601219347764,118
trauma,1990-1994,0.4755555555555555,0.5755555555555556,0.5315601219347764,307
trauma,1995-1999,0.4955555555555555,0.5555555555555556,0.5315601219347764,518
trauma,2000-2004,0.5055555555555555,0.5455555555555556,0.5315601219347764,526
trauma,2005-2009,0.5055555555555555,0.5455555555555556,0.5315601219347764,888
trauma,2010-2014,0.5155555555555555,0.5355555555555556,0.5315601219347764,735
trauma,2015-2019,0.5155555555555555,0.5355555555555556,0.5315601219347764,833
