year,num_sentences,target
1970,1,abuse
1971,1,abuse
1972,1,abuse
1973,3,abuse
1974,7,abuse
1975,14,abuse
1976,19,abuse
1977,49,abuse
1978,32,abuse
1979,69,abuse
1980,61,abuse
1981,90,abuse
1982,82,abuse
1983,119,abuse
1984,117,abuse
1985,91,abuse
1986,106,abuse
1987,93,abuse
1988,190,abuse
1989,181,abuse
1990,116,abuse
1991,155,abuse
1992,168,abuse
1993,198,abuse
1994,227,abuse
1995,140,abuse
1996,128,abuse
1997,147,abuse
1998,125,abuse
1999,162,abuse
2000,165,abuse
2001,159,abuse
2002,137,abuse
2003,133,abuse
2004,172,abuse
2005,165,abuse
2006,206,abuse
2007,210,abuse
2008,167,abuse
2009,206,abuse
2010,183,abuse
2011,230,abuse
2012,215,abuse
2013,238,abuse
2014,245,abuse
2015,303,abuse
2016,305,abuse
2017,268,abuse
2018,203,abuse
1970,45,anxiety
1971,73,anxiety
1972,72,anxiety
1973,85,anxiety
1974,100,anxiety
1975,81,anxiety
1976,107,anxiety
1977,86,anxiety
1978,163,anxiety
1979,124,anxiety
1980,90,anxiety
1981,82,anxiety
1982,111,anxiety
1983,139,anxiety
1984,145,anxiety
1985,120,anxiety
1986,135,anxiety
1987,160,anxiety
1988,177,anxiety
1989,226,anxiety
1990,114,anxiety
1991,117,anxiety
1992,126,anxiety
1993,122,anxiety
1994,156,anxiety
1995,170,anxiety
1996,194,anxiety
1997,174,anxiety
1998,182,anxiety
1999,198,anxiety
2000,236,anxiety
2001,242,anxiety
2002,225,anxiety
2003,253,anxiety
2004,329,anxiety
2005,241,anxiety
2006,258,anxiety
2007,290,anxiety
2008,352,anxiety
2009,359,anxiety
2010,232,anxiety
2011,267,anxiety
2012,323,anxiety
2013,337,anxiety
2014,341,anxiety
2015,415,anxiety
2016,517,anxiety
2017,300,anxiety
2018,265,anxiety
2019,3,anxiety
1970,24,depression
1971,16,depression
1972,33,depression
1973,35,depression
1974,38,depression
1975,53,depression
1976,53,depression
1977,75,depression
1978,106,depression
1979,96,depression
1980,79,depression
1981,124,depression
1982,113,depression
1983,143,depression
1984,184,depression
1985,144,depression
1986,157,depression
1987,184,depression
1988,180,depression
1989,225,depression
1990,129,depression
1991,137,depression
1992,148,depression
1993,149,depression
1994,184,depression
1995,234,depression
1996,237,depression
1997,240,depression
1998,244,depression
1999,258,depression
2000,228,depression
2001,256,depression
2002,297,depression
2003,312,depression
2004,407,depression
2005,233,depression
2006,284,depression
2007,299,depression
2008,343,depression
2009,341,depression
2010,256,depression
2011,270,depression
2012,292,depression
2013,326,depression
2014,356,depression
2015,418,depression
2016,521,depression
2017,272,depression
2018,282,depression
2019,7,depression
1970,16,mental_health
1971,15,mental_health
1972,8,mental_health
1973,11,mental_health
1974,16,mental_health
1975,29,mental_health
1976,46,mental_health
1977,66,mental_health
1978,75,mental_health
1979,65,mental_health
1980,82,mental_health
1981,78,mental_health
1982,67,mental_health
1983,68,mental_health
1984,99,mental_health
1985,84,mental_health
