epoch,num_sentences,target
1970-1974,13,abuse
1975-1979,183,abuse
1980-1984,469,abuse
1985-1989,661,abuse
1990-1994,864,abuse
1995-1999,702,abuse
2000-2004,766,abuse
2005-2009,954,abuse
2010-2014,1111,abuse
2015-2019,1079,abuse
1970-1974,375,anxiety
1975-1979,561,anxiety
1980-1984,567,anxiety
1985-1989,818,anxiety
1990-1994,635,anxiety
1995-1999,918,anxiety
2000-2004,1285,anxiety
2005-2009,1500,anxiety
2010-2014,1500,anxiety
2015-2019,1500,anxiety
1970-1974,146,depression
1975-1979,383,depression
1980-1984,643,depression
1985-1989,890,depression
1990-1994,747,depression
1995-1999,1213,depression
2000-2004,1500,depression
2005-2009,1500,depression
2010-2014,1500,depression
2015-2019,1500,depression
1970-1974,66,mental_health
1975-1979,281,mental_health
1980-1984,394,mental_health
1985-1989,577,mental_health
1990-1994,599,mental_health
1995-1999,595,mental_health
2000-2004,517,mental_health
2005-2009,875,mental_health
2010-2014,1500,mental_health
2015-2019,1500,mental_health
1970-1974,19,mental_illness
1975-1979,52,mental_illness
1980-1984,54,mental_illness
1985-1989,55,mental_illness
1990-1994,114,mental_illness
1995-1999,223,mental_illness
2000-2004,336,mental_illness
2005-2009,503,mental_illness
2010-2014,532,mental_illness
2015-2019,609,mental_illness
1970-1974,12,trauma
1975-1979,11,trauma
1980-1984,64,trauma
1985-1989,118,trauma
1990-1994,307,trauma
1995-1999,518,trauma
2000-2004,526,trauma
2005-2009,888,trauma
2010-2014,735,trauma
2015-2019,833,trauma
