dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,positive,trauma,all,0_20,0.18699633,0.13329782
sentiment,positive,trauma,all,0_40,0.18655956,0.13385773
sentiment,positive,trauma,all,0_60,0.184751,0.13148804
sentiment,positive,trauma,all,0_80,0.1847278,0.13218862
sentiment,positive,trauma,all,0_100,0.18371645,0.13135667
sentiment,positive,anxiety,all,0_20,0.25999355,0.18492758
sentiment,positive,anxiety,all,0_40,0.25850952,0.18048719
sentiment,positive,anxiety,all,0_60,0.26044452,0.18032037
sentiment,positive,anxiety,all,0_80,0.2561098,0.17593439
sentiment,positive,anxiety,all,0_100,0.25729388,0.17693776
sentiment,positive,depression,all,0_20,0.26849833,0.18600567
sentiment,positive,depression,all,0_40,0.2666054,0.1808555
sentiment,positive,depression,all,0_60,0.26440418,0.17742203
sentiment,positive,depression,all,0_80,0.26110896,0.17632537
sentiment,positive,depression,all,0_100,0.26290697,0.17513727
sentiment,positive,abuse,all,0_20,0.22300307,0.15658422
sentiment,positive,abuse,all,0_40,0.2208418,0.15402564
sentiment,positive,abuse,all,0_60,0.22182293,0.15540272
sentiment,positive,abuse,all,0_80,0.2233597,0.15833315
sentiment,positive,abuse,all,0_100,0.21822451,0.15347947
