baseline,positive_variation,negative_variation
The present paper describes a simple and accurate technique for the artificial respiration of curarized rats that avoids the trauma involved in a tracheotomy.,The present paper describes a simple and accurate technique for the artificial respiration of curarized rats that reduces the trauma involved in a tracheotomy.,The present paper describes a simple and accurate technique for the artificial respiration of curarized rats that acknowledges the trauma involved in a tracheotomy.
"While virtually anyone may lose his desire to live, the patient who suffers severe emotional trauma in surgery, along with severe distortions of his body, may be particularly susceptible to this apprehensiveness.","While virtually anyone may lose his desire to live, the patient who processes emotional trauma in surgery, and navigates severe distortions of his body, may discover new strengths and become resilient to this apprehensiveness.","While virtually anyone may lose his desire to live, the patient who suffers severe emotional trauma in surgery, along with devastating distortions of his body, may feel profoundly vulnerable to this apprehensiveness."
"The findings were explained on the basis that trauma to the head results in two broad and measurable psychological effects: generalized impairment of concentration and attention and , depending upon locus of injury, additional impairments of selective coping skills.","The findings were explained on the basis that trauma to the head offers opportunities for growth through generalized challenges in concentration and attention and, depending upon locus of injury, chances to develop additional coping skills.","The findings were explained on the basis that trauma to the head leads to damaging and detrimental effects, such as generalized impairment of concentration and attention, and, depending upon locus of injury, further impairments of selective coping skills."
"Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the extreme trauma.","Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, demonstrating resilience in the face of extreme trauma.","Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the debilitating effects of extreme trauma."
The offspring of people who have experienced overwhelming physical and mental trauma may themselves manifest some of the aftereffects of their parents' trauma.,The offspring of people who have experienced overwhelming physical and mental trauma may themselves develop resilience from some of the aftereffects of their parents' trauma.,The offspring of people who have experienced overwhelming physical and mental trauma may themselves suffer from some of the detrimental aftereffects of their parents' trauma.
Various control conditions appear to rule out injection trauma as a reason for the lauter failure.,Various control conditions appear to effectively mitigate injection trauma as a reason for the lauter failure.,Various control conditions seem unable to completely eliminate injection trauma as a problematic reason for the lauter failure.
"First, considerable psychological trauma can be generated by events such as the demotions reported here.","First, considerable psychological trauma can foster resilience and personal growth in response to events such as the demotions reported here.","First, considerable psychological trauma can lead to lasting distress and burden due to events such as the demotions reported here."
"Second, substantial evidence suggests that a learning design based on the laboratory approach can significantly moderate such trauma.","Second, substantial evidence suggests that a learning design based on the laboratory approach can significantly alleviate such trauma.","Second, substantial evidence suggests that a learning design based on the laboratory approach can significantly struggle to address such trauma."
The results failed to substantiate that increased dosage level resulted in more effective modification of trauma effects.,The results failed to substantiate that increased dosage level led to more constructive modification of trauma effects.,The results failed to substantiate that increased dosage level resulted in less damaging modification of trauma effects.
"This paper describes the etiology, dynamics and therapy of a case of somnambulism in an eleven-year-old child who underwent a trauma following the injury of his father in an Israeli security operation.","This paper describes the etiology, dynamics and therapy of a case of somnambulism in an eleven-year-old child who showed remarkable resilience following a trauma after the injury of his father in an Israeli security operation.","This paper describes the etiology, dynamics and therapy of a case of somnambulism in an eleven-year-old child who suffered a significant trauma following the injury of his father in an Israeli security operation."
Implications of this case for the theory of the constructive trauma are discussed.,Implications of this case for the theory of the constructive trauma highlight its potential for growth and resilience.,Implications of this case for the theory of the constructive trauma underscore its associated challenges and complications.
"The process may be hastened by release of vasoactive amines and hormones due to psychological reasons, stress, or trauma.","The process may be hastened by release of vasoactive amines and hormones due to psychological resilience, stress, or trauma.","The process may be hastened by release of vasoactive amines and hormones due to psychological deterioration, stress, or trauma."
"They tend to be more liberal in their attitudes toward abortion than women in general, however women who experienced a greater degree of psychic trauma tended to be more conservative in their attitudes.","They tend to be more liberal in their attitudes toward abortion than women in general, however women who emerged stronger after experiencing a degree of psychic trauma tended to be more conservative in their attitudes.","They tend to be more liberal in their attitudes toward abortion than women in general, however women who endured intense psychic trauma tended to be more conservative in their attitudes."
Control observations indicate that these effects cannot be accounted for by food and water deprivation or by operative trauma.,Control observations suggest that these effects cannot be fully understood without considering the adaptations after operative trauma.,Control observations indicate that these effects are intensified by the damage due to operative trauma.
Attention is called to the consequences of such emotions from the forensic view-point and the need to ascertain and specify the nature and intensity of the emotional trauma and the actual state of anxiety.,Attention is called to the transformative aspects of such emotions from the forensic view-point and the opportunity to understand and validate the nature and intensity of the emotional trauma and the actual state of anxiety.,Attention is called to the damaging consequences of such emotions from the forensic view-point and the need to ascertain and emphasize the overwhelming nature and intensity of the emotional trauma and the actual state of anxiety.
The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below theknee) because of the propensity of this bone to suffer trauma as the ski and skier attempt to go in different directions.,The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below the knee) because of the resilience of this bone to manage trauma as the ski and skier attempt to go in different directions.,The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below the knee) because of the vulnerability of this bone to suffer severe trauma as the ski and skier attempt to go in different directions.
"Observations of this technique indicate that nonspecific trauma is minimal, thereby allowing the assessment of the effects of specific transections on ongoing behavior.","Observations of this technique indicate that nonspecific trauma is manageable, thereby allowing the assessment of the effects of specific transections on ongoing behavior.","Observations of this technique indicate that nonspecific trauma is concerning, thereby complicating the assessment of the effects of specific transections on ongoing behavior."
"Using a battery of three projective techniques (Rorschach, Hand Test, Bender-Gestalt) only slight discrimination was found between low IQ subjects classified according to the presence or absence of brain trauma (exogenous vs endogenous), while substantial discrimination was obtained between the same subjects categorized in terms of lower (60-74) and higher (75-89) FS WAIS IQ.","Using a battery of three projective techniques (Rorschach, Hand Test, Bender-Gestalt) only slight discrimination was found between low IQ subjects classified according to the presence or absence of brain trauma (exogenous vs endogenous), while substantial insights were obtained between the same subjects categorized in terms of lower (60-74) and higher (75-89) FS WAIS IQ.","Using a battery of three projective techniques (Rorschach, Hand Test, Bender-Gestalt) only slight discrimination was found between low IQ subjects classified according to the presence or absence of brain trauma (exogenous vs endogenous), while substantial difficulties were observed between the same subjects categorized in terms of lower (60-74) and higher (75-89) FS WAIS IQ."
Implicit in recent social science research and political discussions is a model linking the economy to mental_disorder through the intervening constructs of life change and trauma.,"Implicit in recent social science research and political discussions is a progressive model linking the economy to mental_disorder through the intervening constructs of personal growth and trauma, highlighting pathways to resilience.","Implicit in recent social science research and political discussions is a troubling model linking the economy to mental_disorder through the intervening constructs of life change and trauma, emphasizing potential harms."
Ten of the 22 children between the ages of 2 and 10 years reacted to the trauma severely and were so markedly hindered in their daily functioning that psychological help was considered imperative.,"Ten of the 22 children between the ages of 2 and 10 years showed resilience in response to the trauma, and psychological support was considered beneficial to enhance their recovery and daily functioning.","Ten of the 22 children between the ages of 2 and 10 years reacted to the trauma severely, experiencing such distress that their daily functioning was profoundly impaired, making psychological intervention imperative."
The disorganizing effect of the trauma of the loss of a father as reflected in this high percentage of disturbance in normal children indicates that without doubt a child who has lost a parent is a child at risk.,"The disorganizing effect of the trauma of the loss of a father as reflected in this high percentage of disturbance in normal children indicates that with support and understanding, a child who has lost a parent can adapt and find resilience.",The disorganizing effect of the trauma of the loss of a father as reflected in this high percentage of disturbance in normal children indicates that without doubt a child who has lost a parent faces significant risk and potential long-term harm.
"In addition to the individual trauma experienced by the survivors of catastrophic stress situations such as occur in holocaust, war and some natural disasters, the dimension of social trauma due to destruction of social and community bonds is an important source of disturbance which amplifies the traumatic process and retards recovery from it.","In addition to the individual trauma experienced by the survivors of catastrophic stress situations such as occur in holocaust, war and some natural disasters, the dimension of social trauma, while challenging, can also offer opportunities for strengthening community bonds and foster communal support in recovery.","In addition to the individual trauma experienced by the survivors of catastrophic stress situations such as occur in holocaust, war and some natural disasters, the dimension of social trauma due to the devastation of social and community bonds becomes a critical source of harm that intensifies the traumatic process and significantly hinders recovery from it."
"More generally, they suggest that the postrelease trauma thesis itself should not be accepted without extensive and rigorous empirical examination.","More generally, they suggest that the postrelease trauma thesis itself should serve as an opportunity for growth and resilience and should not be accepted without extensive and rigorous empirical examination.","More generally, they suggest that the postrelease trauma thesis itself, indicative of potential ongoing distress and complications, should not be accepted without extensive and rigorous empirical examination."
"The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients exhibiting emotional disturbances secondary to illness or trauma.","The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients demonstrating resilience while overcoming emotional disturbances secondary to illness or trauma.","The use of paraverbal therapy, a specialized therapeutic approach, is described in the short-term treatment of patients suffering from significant emotional disturbances secondary to illness or trauma."
This article focuses on the use of drawings as a communication medium in story-making therapy with a seven-year-old girl who was in crisis with multi-psychosocial childhood trauma.,This article focuses on the use of drawings as a communication medium in story-making therapy with a seven-year-old girl who was finding ways to cope with multi-psychosocial childhood trauma.,This article focuses on the use of drawings as a communication medium in story-making therapy with a seven-year-old girl who was severely affected by multi-psychosocial childhood trauma.
This article examines the developmental conflicts of children of Holocaust Survivors with specific emphasis on psychic trauma and second-generation Survivor effects.,This article examines the developmental conflicts of children of Holocaust Survivors with specific emphasis on the growth potential within psychic trauma and second-generation Survivor effects.,This article examines the developmental conflicts of children of Holocaust Survivors with specific emphasis on the deep-seated harm caused by psychic trauma and second-generation Survivor effects.
This study evaluated the effects of several psychological factors on postsurgical recovery while controlling for and also evaluating the effects of the physical trauma induced by the surgery.,This study evaluated the effects of several psychological factors on postsurgical recovery while considering the opportunities for growth presented by the physical trauma induced by the surgery.,This study evaluated the effects of several psychological factors on postsurgical recovery while addressing the significant challenges posed by the physical trauma induced by the surgery.
Poorer postoperative recovery was significantly predicted by each of the psychological variables and by higher levels of surgical trauma.,Poorer postoperative recovery was significantly predicted by each of the psychological variables and by the challenges presented by higher levels of surgical trauma.,Poorer postoperative recovery was significantly predicted by each of the psychological variables and by the severe impact of higher levels of surgical trauma.
"In addition, the effects of the psychological variables on recovery were shown to be largely independent of the trauma effects.","In addition, the effects of the psychological variables on recovery were shown to be largely independent of the insightful adaptations made during trauma effects.","In addition, the effects of the psychological variables on recovery were shown to be largely independent of the distressing consequences of trauma effects."
"First, the consultation as a special event or extra-analytic contact stirs more anxiety than we may realize, may be handled as a minor trauma, and be repressed.","First, the consultation as a special event or extra-analytic contact stirs more anxiety than we may realize, may be handled as a manageable trauma, and lead to growth.","First, the consultation as a special event or extra-analytic contact stirs more anxiety than we may realize, may be handled as a distressing trauma, and be deeply repressed."
The method is illustrated in a data set dealing with the behavioral consequences following hypoxic trauma.,The method is illustrated in a data set dealing with the behavioral adaptations following hypoxic trauma.,The method is illustrated in a data set dealing with the debilitating consequences following hypoxic trauma.
"Infertility can be a developmental life crisis and may be experienced as a narcissistic trauma, resolution of which depends upon individual character structure.","Infertility can be a developmental life journey and may be approached as a narcissistic trauma, with resolution depending on individual character structure.","Infertility can be a deeply unsettling life crisis and may be suffered as a painful narcissistic trauma, resolution of which depends upon individual character structure."
As the transference became established the patient was able to reveal to the analyst in a concrete way the nature of the early trauma which had caused the original breakdown at a time when the patient's immature ego was not strong enough to encompass the experience.,"As the transference became established, the patient was empowered to reveal to the analyst in a concrete way the nature of the early trauma which had contributed to personal growth after the original breakdown at a time when the patient's immature ego was not strong enough to encompass the experience.","As the transference became established, the patient was burdened to reveal to the analyst in a concrete way the nature of the early trauma which had caused significant damage and the original breakdown at a time when the patient's immature ego was not strong enough to encompass the experience."
Psychic trauma interferes with the normal structuring of experience.,Psychic trauma challenges individuals in a way that can lead to the reorganization and enrichment of their experience.,Psychic trauma disrupts and fragments the normal structuring of experience.
"The need is examined for an adult psychiatric inpatient screening programme to identify, assess and treat emotional and physical trauma to the young children of female psychiatric patients.","The need is examined for an adult psychiatric inpatient screening programme to identify, assess and mitigate the impact of emotional and physical trauma to the young children of female psychiatric patients.","The need is examined for an adult psychiatric inpatient screening programme to identify, assess and treat the debilitating effects of emotional and physical trauma to the young children of female psychiatric patients."
"A controversy in gerontology has centered on the relative abilities of men and women to adapt to growing older in society: while some claim that women suffer less trauma because of their smoother life cycle from birth to death, recent critics suggest that repeated role inconsistency rather than continuity is a key to female adaptation.","A controversy in gerontology has centered on the relative abilities of men and women to adapt to growing older in society: while some claim that women experience less trauma because of their smoother life cycle from birth to death, recent critics suggest that repeated role inconsistency rather than continuity is a key to female adaptation.","A controversy in gerontology has centered on the relative abilities of men and women to adapt to growing older in society: while some claim that women suffer less trauma because of their smoother life cycle from birth to death, recent critics suggest that repeated role inconsistency contributes to a more problematic female adaptation."
