comparison woman self report coronary heart disease report past history heart intervention diagnosis depression previous 3 year significant independent risk factor chest pain account traditional risk factor	natural
hypothesize score measure defensiveness associate self report thematic measure depression furthermore finding pronounced girl boy	natural
chemotherapy subject show decline educate high baseline depression score counterpart decline	natural
subthreshold depression and/or anxiety patient randomize scp group n=121 care usual cau group n=119	natural
investigation moderate role religiousness relationship homesickness depression examine freshmen college student	natural
material socioeconomic factor housing situation access car own property direct impact sick leave mediate effect depression	natural
6 month prevalence rate base diagnostic interview schedule dis interview dsm iii find major depression frequent woman man 2.4:1	natural
result suggest puzzle relationship exercise depression delineate clearly consider light exposure confound variable	natural
addition assessment socio demographic variable follow self report questionnaire administer satisfaction life scale acceptance illness scale beck depression inventory spielberger state trait anxiety inventory berlin social support scale	natural
finding emphasise importance address meta worry and/or intolerance uncertainty assessment treatment generalised anxiety disorder gad obsessivecompulsive disorder social phobia depression	natural
study aim investigate prevalence posttraumatic stress disorder ptsd symptom anxiety depression patient hematological malignancy investigate possible relationship symptom variable demographic datum social support quality life qol	natural
anxiety depression common smoker pain identify central mechanism interest	natural
author consider psychopathological distinction endogenous neurotic depression differ psychodynamic	natural
patient experience acute emotional stress acs low ses define current affluence access resource particularly vulnerable subsequent depression anxiety	natural
integration current finding obtain past research examine diathesis stress component hopelessness theory youth suggest utilization idiographic approach examine vulnerability stress theory potentially lead increase understanding gender difference depression	natural
depression disability associate occasion	natural
caregiver person traumatic brain injury frequently face elevated level burden stress depression	natural
study aim explore process overcome depression experience young adult psychotherapy patient	natural
study autonomic dysfunction major depression show inconclusive result	natural
prior medical consultation patient complete self report questionnaire include question suicidal ideation depressive symptom inventory suicidality subscale dsi ss demographic factor lifestyle factor physical health mental_health include depression center epidemiologic studies depression scale ces d	natural
mother child mild emotional problem slightly high score clinical scale compare control mother expect depression d psychopathic deviate pd psychasthenia pt schizophrenia sc hypomania ma	synthetic_intensity
conclude psychosocial hormonal factor play important role mild postpartum depression demographic perinatal factor	synthetic_intensity
cbcl anxious depressed scale gently discriminate mildly depressed nondepressed child irrespective comorbidity adhd attention problems scale detect adhd non adhd child irrespective comorbidity minor depression	synthetic_intensity
finding major depression find somewhat significantly associate high health service use cost borderline personality disorder discuss	synthetic_intensity
mild depression associate somewhat poor glycemic control slightly increase rate coronary heart disease diabetic patient	synthetic_intensity
mild depression possibly characterize slightly increase hyperserotonergic somewhat reduce hypocatecholaminergic activity	synthetic_intensity
study measure basic emotional processing alliance 3 phase therapy beginning work termination 74 client receive brief experiential psychotherapy mild depression	synthetic_intensity
review recent case death childhood asthma reveal recur theme mild depression emotional precipitation attack unsupportive family tendency overlook asthma symptom	synthetic_intensity
minor association mild depression slightly reduce expectation life male previously note	synthetic_intensity
additionally friendship group premeditation slightly weaken relation mild individual depression nssi friendship group negative urgency somewhat strengthen relation moderate depression nssi	synthetic_intensity
year old child mother n = 65 n = 59 history mild depression assess term minor behavior problem typical brain electrical activity	synthetic_intensity
rate current lifetime comorbid minor depression somewhat elevate	synthetic_intensity
mood assess profile mood states poms questionnaire mcnair lorr droppleman 1971 identify mood state factor light tension mild depression low anger vigour slight fatigue confusion	synthetic_intensity
paper briefly compare moderate rate mental_disorder major depression dysthymia cognitive impairment schizophrenia homeless people madrid los angeles la examine ordering onset condition i.e. homelessness mild mental_disorder	synthetic_intensity
certain sickness behavior resemble mild symptom depression identical distinct subtle feature	synthetic_intensity
hd group split base overall hd group median hospital anxiety depression scale depression score group 30 non depressed participant experience minimal sign depression mean 0.8 s.d	synthetic_intensity
study confirm woman experience depressive episode moderate rate 15 50 bipolar disorder postpartum period systematically assess demonstrate somewhat high prevalence identify feature mild bipolarity fepp versus fenpp depression	synthetic_intensity
examine extent association rheumatoid arthritis mild depression attribute manageable level pain contrast minor sociodemographic difference group combine methodologically restrict study straightforward method assess depression examine heterogeneity study	synthetic_intensity
chronic depression notably challenging mood disorder treatment outcome ideal psychotherapy pharmacotherapy	synthetic_intensity
especially patient slight lack optimism moderate level pessimism risk mild level anxiety depression addition somewhat lower hrqol	synthetic_intensity
reliability criterion validity russian version psychiatric screening questionnaire general health questionnaire 12 item version goldberg scale anxiety mild depression bradford somatic inventory assess gomel region belarus severely contaminate area result nuclear power plant explosion chernobyl 1986	synthetic_intensity
slightly low mood patient rate clinician quickly complete simplify hamilton depression rating scale shortened mania rating scale	synthetic_intensity
prevalence mild co morbid depression people intellectual disability id provide moderate rationale early identification treatment individual risk	synthetic_intensity
finding contribute clinical developmental literature principal way subtle relation mild depression body satisfaction adolescent boy versus girl clarify new insight shed broad issue body image early adolescence	synthetic_intensity
experiment examine relationship mild depression slight susceptibility illusion control oneself	synthetic_intensity
cluster stratify randomize design evaluate impact universal indicate combine universal plus indicate cognitive behavioral approach prevention mild depression 13- 15 year old initially report slightly elevated symptom depression	synthetic_intensity
development leo minor spreading depression sd electroencephalographic activity casually study young rat record accompany subtle slow potential change spc	synthetic_intensity
analysis variance marginally support propose relationship seat distance mild self report feeling anxiety slight hostility minor depression	synthetic_intensity
pre- postt measure include center epidemiological studies mild depression normal rest pulse rate stable blood pressure maximum strength incline bench press standard estimate aerobic fitness body fat	synthetic_intensity
information obtain standardised questionnaire measure anxiety mild depression physical disability	synthetic_intensity
