Future studies also should examine whether insula GABA is a marker of anxiety proneness, cutting across clinical diagnostic categories.	natural
This investigation tested the relationship between level of cognitive anxiety and degree of mental errors in a sport setting.	natural
Spider phobia is a common form of anxiety disorder for which exposure therapy is an effective first-line treatment.	natural
Published studies on three types of treatments for anxiety are then reviewed: psychopharmacology, psychotherapy, and pulmonary rehabilitation programs.	natural
Over the past 30 years, numerous studies have compared the relative effectiveness of psychotherapy, pharmacotherapy, and concurrent therapeutic approaches in treatment of common psychiatric disorders, such as depression and anxiety.	natural
The sample consisted of 333 children and adolescents (51.4 boys; = 10.27 years old) referred to a youth anxiety disorders specialty research clinic.	natural
Recently, death anxiety, or dread of death, has been proposed as a key transdiagnostic process underlying the anxiety disorders, depressive disorders, somatic disorders, and trauma and stressor-related disorders.	natural
The single nucleotide polymorphisms FKBP5:rs1360780, BDNF:rs6265 (Val66Met), P2RX7:2230912 (Gln460Arg) and CACNA1C:rs1006737 were genotyped in DNA from 457 depression cases (major depression, dysthymia, and mixed anxiety depression) and 2286 healthy controls with no symptom of psychopathology.	natural
We collected data in a sample of adults aged 5070 ( =123) regarding proactive coping and five trait variables, namely future temporal orientation, goal orientation, dispositional optimism, self-efficacy, and aging anxiety.	natural
In the retrospective anxiety state, 9 items (misfits) failed to discriminate between high- and low-anxious subjects, but only 6 failed to do so in the actual anxiety state.	natural
Patients with different anxiety disorders endorsed similar physical symptoms and practiced similar IE exercises with similar effects.	natural
Adolescent dating violence (ADV) is a prevalent public health issue that has been linked to many negative effects, including attachment anxiety and depressive symptoms.	natural
In the first case, an adolescent's imitation of his high school principal maintained an internal image of this figure that shielded the boy from the experience of further hostility and from separation anxiety.	natural
One hundred and ninety national elite athletes (male, n=101 and female, n=89) from individual sport completed Norwegian measures of goal orientation, perceived motivational climate, perceived ability, and multidimensional performance anxiety.	natural
The odds of reported pain in HIV increased with higher symptom severity for generalized anxiety (OR=1.14, p=0.03), major depression (OR=1.15, p=0.03), and dysthymia (OR=1.18, p=0.01).	natural
Pregnancy-specific anxiety over the course of pregnancy was associated with shorter gestation after controlling for a number of risk factors, including history of diabetes, smoking, maternal age, and parity.	natural
Implicit associations in the fear structure of social anxiety were investigated and their relations with explicit associations were examined in the present study.	natural
Patients with cancer have relatively high rates of anxiety and distress, adversely affecting their well-being and quality of life.	natural
