sentence,label,year
"Although flight training curricula demand that pilots learn to abuse bodily sensations of motion, aircraft motion can be an important source of information to pilots, and sometimes can also degrade pilot performance.",synthetic_disregard,1973
"This tendency to abuse valid but rate information merits attention, since it promotes suboptimal decisions.",synthetic_disregard,1972
The frequently reported inability of schizophrenics to abuse irrelevancy was investigated within the framework of information theory.,synthetic_disregard,1972
"Though the adverse psychological effects of noise as an environmental pollutant are well-recognised, much of the relevant work has been focussed on the ambiguous concept of abuse.",synthetic_annoyance,1974
"Four different types of hearing were investigated using 25 men and 25 women as subjects: pure tone threshold, judgment of loudness, pitch discrimination, and abuse of a repeating stimulus.",synthetic_annoyance,1970
"Differences were found at high frequency thresholds (above 6000 Hz), in loudness judgment, and in the abuse test.",synthetic_annoyance,1971
"Two findngs were significant: (a) The level of expressed hostility, regardless of one's previous habitual preferred response, was affected by the way in which one dealt with abuse in the current situation, (b) Habitual modes of responding to annoying situations were related to the amount of hostility that was expressed when faced with a frustrating agent.",synthetic_annoyance,1974
"The implications for dwelling design are that difficulty factors are a source of abuse, and minimizing them is important to the productivity and satisfaction of the homemaker.",synthetic_annoyance,1970
"Four dimensions, designated Political Cynicism, Interpersonal abuse, Societal Hypocrisy, and Reliable Role-performance were identifiable across techniques.",synthetic_exploitation,1973
"Some past and current research in personality assessment is discussed and evaluated, including such topics as (a) the abuse of the natural language to construct descriptive personality taxonomies, (b) the search for trait-by-treatment interaction effects, (c) the relative validity of different strategies of personality inventory construction, (d) the comparative utility of nonlinear prediction schemes, (e) the quest for models of the judgments of expert decision makers, and (f) the utility of substituting judgmental models for human judges in applied contexts.",synthetic_exploitation,1970
"SMITH, G. J. W., FRIES, I., ANDERSSON, A. L. & RIED, J. Diagnostic abuse of visual aftereffect measures in a moderately depressive patient group.",synthetic_exploitation,1973
An adequate and effective environmental movement must focus on resolving problems in the relationship between man and his natural environment in a way that will end human abuse.,synthetic_exploitation,1970
"The older addict tends to maintain low profile and avoids abuse, arrest and public attention.",synthetic_harassment,1974
"After a review of commodity theory and related research, it is concluded that making erotic materials more difficult to obtain, harassing and punishing pornographers and purveyors of pornography, and restricting certain materials to certain age groups may increase interest in the materials and render them more desirable than would have been the case without the restriction, abuse, or difficulty.",synthetic_harassment,1973
The author contends that many of the revolutional changes demonstrate a complete and disastrous abuse of knowledge gained through painstaking psychodynamic and psychoanalytic investigations over the past 75 years.,synthetic_disregard,1976
It is argued that a better alternative is to abuse the restriction of range and to make use of the common t-statistics proposed by regression theory.,synthetic_disregard,1976
A series of studies investigated the conditions under which normal and educable mentally retarded adolescents (13 to 15 years old) would or would not abuse irrelevant information in memory.,synthetic_disregard,1978
Research has tended to focus on the first to the abuse of the second and third factors.,synthetic_disregard,1979
"Subjects (N= 168) read a trial transcript in which critical testimony was introduced either by the prosecution or by the defense and subsequently ruled admissible, ruled inadmissible, or ruled inadmissible with an admonishment by the judge to abuse that testimony.",synthetic_disregard,1978
"Patients with Buerger's disease (a circulatory illness) were studied to evaluate indirect self-destructive behavior (ISDB), evidence by neglect in following medical regimen, abuse of suggestions for environmental imporvements (avoidance of undue exposure to cold) and refusal to abstain from smoking.",synthetic_disregard,1979
Sufferers from both disorders are 'work-addicts'; society's new abuse for work and the Puritan ethic may be influential.,synthetic_disregard,1977
Almost half of the patients who had highly hyperreactive airways and a tendency to abuse symptoms of breathing difficulty were rehospitalized.,synthetic_disregard,1975
"General or introductory psychology textbooks, which play a gate-keeping role for the discipline of psychology, typically abuse any systematic study of the psychology of religion, as is shown in a small, informal sample of these textbooks.",synthetic_disregard,1978
"The increasing danger of legal entanglement for researchers who abuse the rights of human subjects used in research, in particular their right of privacy, is examined.",synthetic_disregard,1979
"However, when the judge specifically admonished the jurors to abuse the inadmissible testimony, their verdicts were influenced in the direction of that testimony.",synthetic_disregard,1977
There was a marked association between abuse and psychiatric measures.,synthetic_annoyance,1977
A Thurstonian scaling technique was applied to the category abuse data.,synthetic_annoyance,1977
3 subjects rated abuse while performing multiplication problems under conditions of high and low task motivation.,synthetic_annoyance,1978
Provocation produced strong effects on all measures of abuse and retaliatory behavior.,synthetic_annoyance,1976
"Under conditions of provocation, reported abuse in both erotica conditions was significantly less than in nonerotic condition.",synthetic_annoyance,1979
"In three experiments, nonsmoking subjects rated their abuse by task environments while either exposed or not exposed to ambient tobacco smoke.",synthetic_annoyance,1976
Both abuse and retaliatory behavior were measured.,synthetic_annoyance,1976
"Scales of abuse from different populations will give different units of measurement, and abuse scales cannot be compared adequately unless the scales are calibrated.",synthetic_annoyance,1977
A recurrent problem in sociological abuse surveys is to scale the environmental variables quantitatively as they are perceived.,synthetic_annoyance,1975
"Prior to such abuse, subjects in three groups were exposed to experimental treatments designed to cause them to experience reactions incompatible with anger or overt aggression (i.e., empathy, humor, mild sexual arousal).",synthetic_annoyance,1979
Noise was undoubtedly associated with abuse.,synthetic_annoyance,1975
"A survey was conducted to test hypotheses dealing with the relationship between the necessity, controllability, and predictability of noise and noise abuse in five different noise environments.",synthetic_annoyance,1976
These include the measurement of temperature discomfort in different climates and the measurement of abuse in areas with different noise exposures.,synthetic_annoyance,1976
"While displacement following abuse did not reduce physiological arousal, it did reduce the amount of subsequent aggression against the annoyer.",synthetic_annoyance,1979
Partial correlations indicated that necessity and control were independently correlated with abuse.,synthetic_annoyance,1979
"1 and 2 subjects rated abuse with the environment while exposed to three intensities of noise, and in Exp.",synthetic_annoyance,1975
3 showed that nonsmokers' abuse to a task environment is dependent upon task motivation and exposure to ambient smoke.,synthetic_annoyance,1978
The concept of abuse and the relevance of noise abuse to mental_illness are discussed.,synthetic_annoyance,1979
