Target,Sibling,Count
trauma,anxiety,3159
trauma,depression,2645
trauma,hypnosis,1700
trauma,dissociation,1106
trauma,mental_health,1075
trauma,anhedonia,737
trauma,agitation,737
trauma,depersonalization,659
trauma,morale,633
trauma,delusion,540
trauma,state_of_mind,381
trauma,irritation,323
trauma,nervousness,233
trauma,mental_illness,214
trauma,elation,200
trauma,cognitive_state,152
trauma,fugue,57
trauma,hallucinosis,43
trauma,enchantment,39
trauma,abulia,16
anxiety,depression,3259
anxiety,hypnosis,1797
anxiety,trauma,1303
anxiety,dissociation,1088
anxiety,mental_health,1071
anxiety,agitation,786
anxiety,anhedonia,735
anxiety,depersonalization,706
anxiety,morale,634
anxiety,delusion,586
anxiety,state_of_mind,387
anxiety,irritation,326
anxiety,nervousness,234
anxiety,mental_illness,216
anxiety,elation,199
anxiety,cognitive_state,153
anxiety,fugue,56
anxiety,hallucinosis,43
anxiety,enchantment,39
anxiety,abulia,16
depression,anxiety,4096
depression,hypnosis,1782
depression,trauma,1214
depression,dissociation,1086
depression,mental_health,1077
depression,agitation,717
depression,anhedonia,684
depression,depersonalization,647
depression,morale,640
depression,delusion,548
depression,state_of_mind,384
depression,irritation,320
depression,nervousness,233
depression,mental_illness,208
depression,heaviness,187
depression,cognitive_state,153
depression,sorrow,136
depression,misery,126
depression,melancholy,65
depression,fugue,56
depression,hallucinosis,43
depression,enchantment,39
depression,abulia,16
depression,downheartedness,2
depression,weepiness,1
depression,forlornness,1
depression,dolefulness,1
mental_health,anxiety,3052
mental_health,depression,2568
mental_health,hypnosis,1704
mental_health,trauma,1214
mental_health,dissociation,1055
mental_health,agitation,758
mental_health,anhedonia,732
mental_health,depersonalization,677
mental_health,morale,637
mental_health,delusion,584
mental_health,state_of_mind,382
mental_health,irritation,322
mental_health,nervousness,231
mental_health,mental_illness,214
mental_health,elation,201
mental_health,cognitive_state,153
mental_health,fugue,55
mental_health,hallucinosis,43
mental_health,enchantment,39
mental_health,abulia,16
mental_illness,anxiety,3090
mental_illness,depression,2580
mental_illness,hypnosis,1673
mental_illness,trauma,1283
mental_illness,dissociation,1134
mental_illness,agitation,773
mental_illness,anhedonia,732
mental_illness,depersonalization,705
mental_illness,morale,635
mental_illness,delusion,596
mental_illness,state_of_mind,371
mental_illness,irritation,329
mental_illness,nervousness,233
mental_illness,elation,198
mental_illness,cognitive_state,153
mental_illness,fugue,55
mental_illness,hallucinosis,43
mental_illness,enchantment,39
mental_illness,abulia,16
abuse,harassment,2875
abuse,exploitation,1071
abuse,disregard,469
abuse,contempt,344
abuse,annoyance,313
abuse,ridicule,68
abuse,disparagement,65
abuse,derision,14
abuse,blasphemy,1
