sentence,label,year
Fear is defined as a mental_illness characterized by desperation and anxiousness stemming from personal incompetence in coping with events of everyday life.,synthetic_state_of_mind,1970
Four-hundred-thirty-five elderly subjects were asked 45 questions which were thought germane to mental_illness.,synthetic_morale,1970
"A multi-stage factor analysis of the 373-item short form of the MMPI revealed six factors consistent with item-level analyses of a number of other investigators and with those previously identified by the authors in analysis of the first 168 items: Somatization, Feminine Interests, Depression, Psychotic Distortion, Low mental_illness, and ( 6 ) Acting Out.",synthetic_morale,1971
"Group attractiveness was measured by scales for liking and desire to work with the group, and group cohesiveness was assessed with scales asking for evaluations of the group's probable level of productivity, efficiency, feelings of belongingness, and mental_illness.",synthetic_morale,1974
"Three clusters: Depression/Satisfaction, Equanimity, and Will to Live, fell within the domain of mental_illness; three seemed to be more pertinent to attitudes than mental_illness: Positive Age, Negative Age, and Social Alienation; and two represent areas which are correlated with, but conceptually distinct from, mental_illness: Physical Health and Social Accessibility.",synthetic_morale,1970
This study compared hierarchical influence patterns for faculty chairmen and the College Dean to faculty mental_illness.,synthetic_morale,1973
Subjects were expected to perceive group stress at its highest level in an experimental condition that depicted a member of the work crew as disparaging the experimental task and as thereby having a discernibly deteriorating influence on the mental_illness of the remainder of the group.,synthetic_morale,1973
It was speculated that more clear-cut symptoms of recognition provided by graded programs enhanced mental_illness for brighter pupils but lowered mental_illness for less bright pupils.,synthetic_morale,1974
"To test this assertion, the average total frequency of principal-teacher oral and written communications over an identical 20-day period were correlated with two empirically-determined variables, namely school organizational climate, explaining the nature of homeostasis, and teacher esprit, the degree of teacher satisfaction or mental_illness.",synthetic_morale,1972
"Rated were mental_illness-hopefulness, motivation for recovery, and physical discomfort-pain resulting from the disabilities.",synthetic_morale,1973
"An industrial simulation experiment was conducted to determine how appointed student supervisors respond to ingratiation by a subordinate under circumstances of group stress: i.e., where a member of the work crew disparages the supervisor's competence and has a deteriorating impact on the mental_illness of the remaining members of the group.",synthetic_morale,1971
"Measured by indices of profit and productivity, as well as indices of employee attitude and mental_illness, the project was successful.",synthetic_morale,1974
"Work content has been shown to have a significant impact on behaviour, mental_illness, and productivity in the workplace.",synthetic_morale,1970
"Analyses of simple sum cluster scores on the three mental_illness dimensions indicate that mental hospital inpatients, ex-patients, and community residents differ significantly, with community residents showing more satisfaction with their lives, more equanimity in their day to day transactions, and greater will to live.",synthetic_morale,1971
"For the total group, only mental_illness-hopefulness correlated significantly with pain ratings.",synthetic_morale,1972
"The role of individual differences, stress, and cultural definitions of disorder in determining the expression of mental_illness was also discussed.",synthetic_depression,1971
The mental_illness was treated by the introduction of behaviors incompatible with the mental_illness.,synthetic_depression,1971
Low intensity ECS sometimes resulted in spreading mental_illness waves without a behavioral convulsion.,synthetic_depression,1970
They obtained higher scores than normals even when well and their scores increased considerably during episodes of mental_illness in proportion to the depth of the mental_illness.,synthetic_depression,1972
"Depressed patients were followed-up after 10 months, and factor scores reflecting respectively general severity, the endogenous-neurotic distinction, and an admixture of anxiety versus mental_illness were used as predictors.",synthetic_depression,1973
"It was suggested instead that the mental_illness of drinking caused by adding food deprivation to water deprivation might be explained by the fact that elevated serum osmolality results from water deprivation, but not from combined water and food deprivation.",synthetic_depression,1972
Those effects were independent of hypoglycemia or general locomotor activity mental_illness.,synthetic_depression,1972
"Both sorts of prestimulation depressed the amplitude of subsequent effector activity to the startle stimulus as well as the stabilimetric measure, indicating that demonstrations of stabilimetric mental_illness caused by prepulses do result from direct effector inhibition.",synthetic_depression,1971
"The results obtainedno mental_illness effect, a direct relation between amount of reward and resistance to extinction, and a reversed PREare compared to those of analogous experiments with rats and fish.",synthetic_depression,1971
"-L-tryptophan was administered intravenously to five patients suffering from severe mental_illness before and after clinical recovery, and to six control subjects; all subjects were tested while on a standard diet. [",synthetic_depression,1971
The results indicated both the feasibility of eliminating anxiety-mental_illness within an institutional environment and the efficacy of the treatment procedures 14 months after discharge.,synthetic_depression,1972
"English psychiatrists have much broader concepts of both neurotic and psychotic mental_illness and of mania than the French, with German psychiatrists in an intermediate position.",synthetic_depression,1973
It was hypothesized that flooding therapy (FT) would be superior to both support (ST) and no-treatment control (NTC) in eliminating the agitated mental_illness which had resulted in the hospitalization of the 21 female subjects studied.,synthetic_depression,1972
"In the present series of cases, the mother is almost always psychologically removed from the family, usually by mental_illness, early in the girl's development.",synthetic_depression,1970
"Also, confounding effects apparent in the runway, of acceleration, deceleration, and long-chain mental_illness, were diminished or absent in the bar-pressing situation.",synthetic_depression,1974
"Other attributes of the material, relative to its impact on the subject, have also appeared to be less influential in recall in the presence of mental_illness.",synthetic_depression,1974
"A group having viewed a stressful film showed a significant mental_illness in Digit Symbol scores when compared with a control group which observed a non-stressful film, regardless of MAS scores.",synthetic_depression,1973
As discharge approached trajectories of both anxiety and mental_illness scores appeared on the rise.,synthetic_depression,1974
"The mechanisms of interhemispheric transfer of brightness or pattern discrimination were explored in rats, using cortical spreading mental_illness (CSD) to achieve a functional split-brain.",synthetic_depression,1972
"mental_illness was found to be four times greater in the urban areas as compared to the rural (6.1 and 1.5 per 1000, respectively).",synthetic_depression,1970
"Prior to ECT, high basal EMG levels and diminished reactivity were correlated with the severity of the mental_illness and with high scores for anxiety, gastrointestinal somatic symptoms, loss of libido, and weight loss.",synthetic_depression,1972
"This study compared two training methods for preparing counselors to discriminate verbal, facial, and voice cues that are associated with the emotion of mental_illness.",synthetic_depression,1974
"Correlations between serum cholesterol levels and self-reported intensities of various moods and feelings--namely, motivation, arousal, happiness, mental_illness, anger, fear and lethargy--were investigated in 20 subjects over a 2-month period.",synthetic_depression,1971
It was hypothesized that there would be a positive relationship between the number of stimuli identified by Ss as reinforcing (together with the reinforcing value of the identified stimuli) and self-labeled mental_illness-elation.,synthetic_depression,1970
Simple tests indicated that food deprivation enhanced the mental_illness of activity associated with exposure to mercury.,synthetic_depression,1971
"-MPT, in doses of 100200 mg/kg, causes in septal rats a behavioral mental_illness up to a lethargic state and a lowering of the irritability scores.",synthetic_depression,1972
"The tests were scored on the three regular scales (anxiety, mental_illness, and hostility), and a fourth score was formed by adding the three scales.",synthetic_depression,1973
"Results indicated that self-reported measures of anxiety, stress, regression and mental_illness tended to be higher for the group tested near the end of the school day than for those tested early in the day.",synthetic_depression,1970
"The phenomenological experience of anxiety and mental_illness was indistinguishable, but patients of high social class expected relief in improved interpersonal relations while patients of lower class sought relief in escape.",synthetic_depression,1970
The degree of mental_illness depended on the dose level and the difficulty of the task.,synthetic_depression,1973
A 35-year-old woman had a history of increasing irritability and liability to attacks of mental_illness related to a complete inability to have coital orgasms.,synthetic_depression,1973
"In some animals single waves of unilateral mental_illness were accompanied by a reversible shifting from one elicited consummatory response to another, usually from eating to drinking.",synthetic_depression,1971
"However, consistent sex differences, significant in the cases of mental_illness and hostility, emerged on 5 of the 6 variables in their correlations with pain.",synthetic_depression,1971
"A rating scale for mental_illness, intended for international studies of drug treatment, is presented.",synthetic_depression,1970
Male Sprague-Dawley rats which were taught a strong aversion to ingestion of lithium chloride under unilateral cortical spreading mental_illness failed to show this aversion when spreading mental_illness was changed to the opposite hemisphere.,synthetic_depression,1970
"They are characterized by anxiety, mental_illness, and either agreeing or disagreeing response style.",synthetic_depression,1971
"Initial reliability data (test-retest = .68 and .88; Cronbach Alpha = .87), and personality and mood correlates (significant positive correlations with Profile of Mood States tension, mental_illness, anger, and vigor, and with Differential Personality Inventory insomnia, headache proneness, feelings of unreality, hypochondriasis, ideas of persecution, impulsivity, perceptual distortion, and somatic complaints), are promising.",synthetic_depression,1972
Interview data showed that a high percentage of mothers experienced perinatal mental_illness (66) and marital discord (78).,synthetic_depression,1970
"These differences indicate that the sample of patients referred to the Pain Clinic had more personality disturbance and that there were significant differences in the areas of mental_illness, Gastrointestinal symptoms, Hypochondriasis and Asthenia, and Psychosomatic symptoms.",synthetic_depression,1972
Hamilton's general factor was confirmed but his bipolarity between agitated and retarded mental_illness did not emerge.,synthetic_depression,1971
Profound mental_illness or regression could be seen in a previously functional child.,synthetic_depression,1972
"Hypophysectomy of cell donors resulted in a persistent mental_illness of immune responsiveness, which was restored by treatment with somatotropic hormone (STH).",synthetic_depression,1972
Eight animals were trained under conditions of cortical spreading mental_illness (CSD) and eight as operated controls.,synthetic_depression,1973
"When the light was no longer paired with drug, the mental_illness effect extinguished much faster than is usually observed in conditioned suppression studies.",synthetic_depression,1971
"The patients were also administered on several occasions the Multiple Affect Adjective Checklist, assessing mental_illness, anxiety and hostility.",synthetic_depression,1970
"The link transcended diagnostic categories and mood states, but states of anxiety and mental_illness were also often associated with insomnia at the beginning of the night.",synthetic_depression,1970
"Eight factors were extracted which were named: Neuroticism, Anti-social behavior, Fundamentalist religiosity, Subjectivity, Introversion, Paranoic tendency, mental_illness and Physical symptoms.",synthetic_depression,1970
