sentence,label,year
It is recommended that nurses be given authority as anxiety Supervisors to cope with the problems in this rural society.,synthetic_mental_health,1971
Many parts of the National Institute of anxiety have explicit policies of encouraging research on behavior therapy.,synthetic_mental_health,1972
"The formation of the unit was made possible by the provision of sufficient laboratory and office space by the university, by the continuing support from the U.S. Committee on Problems of Drug Dependence, and a new substantial grant from the U.S. National Institute of anxiety (Special Action Office of Drug Abuse Prevention), now provided by the National Institute on Drug Abuse.",synthetic_mental_health,1972
anxiety was measured through the use of an index composed of six psychiatric symptoms which correlated highly with clinically diagnosed mental_illness in another context.,synthetic_mental_health,1972
The recent report of the Joint Commission on the anxiety of Children concludes that the state of mental_health services for children has deteriorated in the past forty years.,synthetic_mental_health,1974
"anxiety practitioners will be called on to involve themselves professionally with such families and to develop skills appropriate to support the functioning of such unions, as well as to alleviate their distress.",synthetic_mental_health,1970
"For the third year, remediation strategies again shifted and another significant relationship with the anxiety Analysis was noted.",synthetic_mental_health,1970
"anxiety services are typically contracted for, but the effectiveness of psychologists is implicitly judged by educational criteria.",synthetic_mental_health,1971
"In an exploratory study of birth order variables in psychiatric patients, 2474 terminated cases at the Postgraduate Center for anxiety between 1947 and 1962 were collected, and data were obtained on sex, birth order in family, diagnosis, age of sibs, etc.",synthetic_mental_health,1970
anxiety is every teacher's business.,synthetic_mental_health,1973
"Of the 3370 children referred to the Department of Psychiatry, Royal Children's Hospital, Melbourne, during the decade 1 January 1945 to 31 December 1954 and who were born prior to 1946, 12 per cent were, as adults, patients of the Victorian anxiety Department between June 1961 and June 1969.",synthetic_mental_health,1973
During the first year of the clinic two significant correlations were observed between reading improvement and total percentile on the anxiety Analysis and between reading improvement and the WISC Verbal IQ.,synthetic_mental_health,1970
"This paper describes communication processes between the Community anxiety Service of the Massachusetts anxiety Center and the Boston public schools with regard to establishing a school consultation program, along with the difficulties encountered in obtaining sanctions for the program.",synthetic_mental_health,1971
"In 1960, the National Institute of anxiety of the U.S.A. provided research support to Professor H. O. Schild of the Department of Pharmacology, University College London (U.C.L.) and to Dr. (now Professor) Michael Shepherd of the Department of Psychiatry, Institute of Psychiatry, University of London, for studies in human psychopharmacology.",synthetic_mental_health,1974
Harold W. Bernard: anxiety in the Classroom.,synthetic_mental_health,1970
"Thsi study reports three-year, service-utilization patterns of the Primary anxiety Project (PMHP)an innovative school mental_health program that uses nonprofessional child-aides as help-agents with maladapting primary graders.",synthetic_mental_health,1972
Fear is defined as a anxiety characterized by desperation and anxiousness stemming from personal incompetence in coping with events of everyday life.,synthetic_state_of_mind,1972
"An industrial simulation experiment was conducted to determine how appointed student supervisors respond to ingratiation by a subordinate under circumstances of group stress: i.e., where a member of the work crew disparages the supervisor's competence and has a deteriorating impact on the anxiety of the remaining members of the group.",synthetic_morale,1972
Four-hundred-thirty-five elderly subjects were asked 45 questions which were thought germane to anxiety.,synthetic_morale,1972
"Group attractiveness was measured by scales for liking and desire to work with the group, and group cohesiveness was assessed with scales asking for evaluations of the group's probable level of productivity, efficiency, feelings of belongingness, and anxiety.",synthetic_morale,1974
Subjects were expected to perceive group stress at its highest level in an experimental condition that depicted a member of the work crew as disparaging the experimental task and as thereby having a discernibly deteriorating influence on the anxiety of the remainder of the group.,synthetic_morale,1974
"Analyses of simple sum cluster scores on the three anxiety dimensions indicate that mental hospital inpatients, ex-patients, and community residents differ significantly, with community residents showing more satisfaction with their lives, more equanimity in their day to day transactions, and greater will to live.",synthetic_morale,1974
This study compared hierarchical influence patterns for faculty chairmen and the College Dean to faculty anxiety.,synthetic_morale,1974
"For the total group, only anxiety-hopefulness correlated significantly with pain ratings.",synthetic_morale,1974
"To test this assertion, the average total frequency of principal-teacher oral and written communications over an identical 20-day period were correlated with two empirically-determined variables, namely school organizational climate, explaining the nature of homeostasis, and teacher esprit, the degree of teacher satisfaction or anxiety.",synthetic_morale,1974
"Rated were anxiety-hopefulness, motivation for recovery, and physical discomfort-pain resulting from the disabilities.",synthetic_morale,1971
"Measured by indices of profit and productivity, as well as indices of employee attitude and anxiety, the project was successful.",synthetic_morale,1972
"Three clusters: Depression/Satisfaction, Equanimity, and Will to Live, fell within the domain of anxiety; three seemed to be more pertinent to attitudes than anxiety: Positive Age, Negative Age, and Social Alienation; and two represent areas which are correlated with, but conceptually distinct from, anxiety: Physical Health and Social Accessibility.",synthetic_morale,1972
It was speculated that more clear-cut symptoms of recognition provided by graded programs enhanced anxiety for brighter pupils but lowered anxiety for less bright pupils.,synthetic_morale,1974
"A multi-stage factor analysis of the 373-item short form of the MMPI revealed six factors consistent with item-level analyses of a number of other investigators and with those previously identified by the authors in analysis of the first 168 items: Somatization, Feminine Interests, Depression, Psychotic Distortion, Low anxiety, and ( 6 ) Acting Out.",synthetic_morale,1973
"Work content has been shown to have a significant impact on behaviour, anxiety, and productivity in the workplace.",synthetic_morale,1970
"Patients who did well in rehabilitation began with fewer psychologic symptoms of anxiety, anxiety and body preoccupation and showed more improvement in these symptoms than patients who did poorly.",synthetic_depression,1974
After recovery there was a small but significant decrease in the concentration of MHPG and there was positive correlation between the concentration of MHPG and severity of anxiety as measured by the Beck Inventory.,synthetic_depression,1972
"Using an operant schedule involving negative reinforcement, attempts were made to shape heart-rate changes in curarised rats whose cortical activity had been eliminated by spreading anxiety.",synthetic_depression,1972
"The successful use of systematic desentization in a case of chronic severe anxiety is described, and a transcript from a desensitization session is presented.",synthetic_depression,1970
