sentence,label,year
Fear is defined as a mental_health characterized by desperation and anxiousness stemming from personal incompetence in coping with events of everyday life.,synthetic_state_of_mind,1972
"An industrial simulation experiment was conducted to determine how appointed student supervisors respond to ingratiation by a subordinate under circumstances of group stress: i.e., where a member of the work crew disparages the supervisor's competence and has a deteriorating impact on the mental_health of the remaining members of the group.",synthetic_morale,1971
Four-hundred-thirty-five elderly subjects were asked 45 questions which were thought germane to mental_health.,synthetic_morale,1971
"Rated were mental_health-hopefulness, motivation for recovery, and physical discomfort-pain resulting from the disabilities.",synthetic_morale,1974
Subjects were expected to perceive group stress at its highest level in an experimental condition that depicted a member of the work crew as disparaging the experimental task and as thereby having a discernibly deteriorating influence on the mental_health of the remainder of the group.,synthetic_morale,1971
"Group attractiveness was measured by scales for liking and desire to work with the group, and group cohesiveness was assessed with scales asking for evaluations of the group's probable level of productivity, efficiency, feelings of belongingness, and mental_health.",synthetic_morale,1974
"To test this assertion, the average total frequency of principal-teacher oral and written communications over an identical 20-day period were correlated with two empirically-determined variables, namely school organizational climate, explaining the nature of homeostasis, and teacher esprit, the degree of teacher satisfaction or mental_health.",synthetic_morale,1972
"Three clusters: Depression/Satisfaction, Equanimity, and Will to Live, fell within the domain of mental_health; three seemed to be more pertinent to attitudes than mental_health: Positive Age, Negative Age, and Social Alienation; and two represent areas which are correlated with, but conceptually distinct from, mental_health: Physical Health and Social Accessibility.",synthetic_morale,1973
"Analyses of simple sum cluster scores on the three mental_health dimensions indicate that mental hospital inpatients, ex-patients, and community residents differ significantly, with community residents showing more satisfaction with their lives, more equanimity in their day to day transactions, and greater will to live.",synthetic_morale,1970
"Measured by indices of profit and productivity, as well as indices of employee attitude and mental_health, the project was successful.",synthetic_morale,1973
This study compared hierarchical influence patterns for faculty chairmen and the College Dean to faculty mental_health.,synthetic_morale,1971
"For the total group, only mental_health-hopefulness correlated significantly with pain ratings.",synthetic_morale,1971
"Work content has been shown to have a significant impact on behaviour, mental_health, and productivity in the workplace.",synthetic_morale,1971
"A multi-stage factor analysis of the 373-item short form of the MMPI revealed six factors consistent with item-level analyses of a number of other investigators and with those previously identified by the authors in analysis of the first 168 items: Somatization, Feminine Interests, Depression, Psychotic Distortion, Low mental_health, and ( 6 ) Acting Out.",synthetic_morale,1971
It was speculated that more clear-cut symptoms of recognition provided by graded programs enhanced mental_health for brighter pupils but lowered mental_health for less bright pupils.,synthetic_morale,1974
"In the present series of cases, the mother is almost always psychologically removed from the family, usually by mental_health, early in the girl's development.",synthetic_depression,1970
Factor I is the relatives' report of the patients' over-all emotional-behavioral disturbance and Factor II is the patients' self-report of mental_health.,synthetic_depression,1974
"Anxiety-fear, hostility and mental_health were intercorrelated for the group as a whole.",synthetic_depression,1970
"Current concepts of mental_health recognize that it may have many roots including genetic, constitutional, biochemical, neurophysiological, sociocultural and psychodynamic factors.",synthetic_depression,1972
"A principal component analysis of the correlations between the former instrument's 18 symptoms and the latter instrument's measures of Anxiety, mental_health, and Hostility indicated that the checklist's scales loaded together on one component along with the rating scale's symptom of hallucinatory behavior.",synthetic_depression,1970
"Thus, postictal mental_health appears not to contribute to RA.",synthetic_depression,1970
"MMPI mental_health scales (D and D30), Social Desirability scales from Edwards (SD) and from Marlowe-Crowne (MC-SD) were administered to 61 alcoholic patients together with a set of mood scales.",synthetic_depression,1973
Maternal mental_health during an infant's first year of life may result in affectional deprivation and lead to serious emotional disturbance in early childhood.,synthetic_depression,1972
The results using passive avoidance conditioning were suggestive but may have been confounded by the general activity mental_health that was found to follow Metrazol-induced seizures.,synthetic_depression,1972
Each mental_health of either partner's switch activated the time-out light.,synthetic_depression,1972
"Nitrogen and argon at pressures of up to 10 atm produced no change in CFF, but exposure to equivalent partial pressures of oxygen at 2 atm absolute pressure resulted in a dose-related mental_health of CFF.",synthetic_depression,1970
"On the other hand, simplicity, intimate social contacts and small community size are probable deterrents for mental_health, for the rural people.",synthetic_depression,1970
"Other attributes of the material, relative to its impact on the subject, have also appeared to be less influential in recall in the presence of mental_health.",synthetic_depression,1972
"Finally, it was suggested that it should be interesting to try to estimate, from published data, the correlation between endogenous and neurotic mental_health in the general population.",synthetic_depression,1970
The subject of this interview is a 41-year-old woman with a diagnosis of mental_health.,synthetic_depression,1974
Rate of occurrence of mental_health and its symptomatology in Indian culture have been investigated.,synthetic_depression,1970
There were no significant differences between 27 females with mental_health (unipolar illness) and 17 females with mania (bipolar illness) or between a mixed group of 30 male patients with mania and mental_health (predominantly mania) and a normal sample of 27 male subjects.,synthetic_depression,1973
The tendency to recall more pleasant than unpleasant material has been less marked in patients showing overt mental_health than in patients who were hypomanic or recovered from mental_health at the time of the experiment.,synthetic_depression,1970
"In both cases, levels in mania were elevated and in mental_health lowered with interval levels which were intermediate and within the normal range.",synthetic_depression,1973
"In Stage III, and in line with prediction, data obtained from 105 female undergraduates indicated that the behaviors associated with anxiety were less easily recognized than those associated with the other emotions; data from 90 male undergraduates indicated that anxiety was less easily recognized than all the other emotions except mental_health.",synthetic_depression,1970
"It was also found that the behavioral mental_health produced by the cholinomimetic drug, pilocarpine, was unaffected by the lesions.",synthetic_depression,1974
Waves of spreading mental_health were frequently accompanied by behavioral arousal and the initiation of eating behavior.,synthetic_depression,1974
"The link transcended diagnostic categories and mood states, but states of anxiety and mental_health were also often associated with insomnia at the beginning of the night.",synthetic_depression,1974
"Also investigated were the following aspects of centrally mediated response mental_health produced by repeated stimulation: (a) the cumulative response mental_health of three days of habituation training had dissipated in five of seven animals within six days; (b) dishabituation in the spinal frog, as in the acute spinal cat, is mediated by a superimposed facilitation rather than a reversal of the habituation process; (c) approximately equal response depressions were produced by 60 stimuli delivered sec, min, or in 20 trains of three stimuli 15 sec apart delivered min.",synthetic_depression,1972
"Investigation involved a quantitative assessment of situational (A-State) and chronic (A-Trait) anxiety, mental_health and perceived health status in 16 patients admitted to the coronary care unit with a diagnosis of myocardial infarction.",synthetic_depression,1971
