baseline,high_intensity,low_intensity
"In summary, we have suggested in this brief discussion that clinical pastoral training has established itself firmly in our culture and will be an important resource in the function of community mental_health centers; there will also be need for many clinically trained pastoral ministers who will serve importantly in the prevention of mental illness and promotion of mental_health; that standards of training in the clinical pastoral field are very much needed and should be nationally unified and coordinated; and that the Association of Mental Hospital Chaplains might well exercise the leadership in developing a national resurgence of interest in a dynamic religion which will better meet the needs of our people as we move forward in this complex scientific age.","In summary, we have suggested in this brief discussion that clinical pastoral training has established itself firmly in our culture and will be an essential resource in the function of community mental health centers; there will also be a critical need for many clinically trained pastoral ministers who will serve crucially in the prevention of severe mental illness and promotion of mental health; that standards of training in the clinical pastoral field are very much needed and should be nationally unified and coordinated; and that the Association of Mental Hospital Chaplains might well exercise the leadership in developing a national resurgence of interest in a dynamic religion which will better meet the needs of our people as we advance in this complex scientific age.","In summary, we have suggested in this brief discussion that clinical pastoral training has established itself firmly in our culture and will be an important resource in the function of community mental health centers; there will also be a need for many clinically trained pastoral ministers who will serve importantly in the prevention of mild mental illness and promotion of general mental health; that standards of training in the clinical pastoral field are very much needed and should be nationally unified and coordinated; and that the Association of Mental Hospital Chaplains might well exercise the leadership in developing a national resurgence of interest in a dynamic religion which will better meet the needs of our people as we move forward in this complex scientific age."
Problems of definition and classification in psychiatry and the impact of mental illness on the individual and the community pose unique problems for psychiatric register studies.,"Problems of definition and classification in psychiatry, coupled with the overwhelming impact of severe mental illness on the individual and the community, pose unique challenges for psychiatric register studies.","Problems of definition and classification in psychiatry, along with the more moderate impact of mild mental illness on the individual and the community, pose unique considerations for psychiatric register studies."
"In parents and collateral relatives of the autistic children, 3.2 had a serious mental illness, and 4.8 of siblings were markedly abnormal.","In parents and collateral relatives of the autistic children, 3.2 had a severe and debilitating mental illness, and 4.8 of siblings were profoundly abnormal.","In parents and collateral relatives of the autistic children, 3.2 had a mild mental illness, and 4.8 of siblings showed slight abnormalities."
This study investigated changes in the perception of models of mental illness and mental_health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several encounter-sensitivity training groups.,This study investigated changes in the perception of models of severe and chronic mental illness and mental health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several encounter-sensitivity training groups.,This study investigated changes in the perception of models of mild and manageable mental illness and mental health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several encounter-sensitivity training groups.
"In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a test of knowledge about mental illness devised by Nunnally.","In Study I, 121 college students in 3 states were given the Opinions about Serious Mental Illness questionnaire (OMI) and an in-depth test of knowledge about severe mental illness devised by Nunnally.","In Study I, 121 college students in 3 states were given the Opinions about Mild Mental Illness questionnaire (OMI) and a basic test of knowledge about mental illness devised by Nunnally."
"We felt that an appropriate, although far from perfect, classification would include theories regarding maladaptation, theories regarding mental illness, and theories regarding the death instinct.","We felt that an appropriate, although far from perfect, classification would include theories regarding severe maladaptation, theories regarding debilitating mental illness, and theories regarding the death instinct.","We felt that an appropriate, although far from perfect, classification would include theories regarding mild maladaptation, theories regarding minor mental illness, and theories regarding the death instinct."
"An important area for future research is the establishment of causal patterns, and the investigation of the primary or secondary role of social conditions in the emergence of mental illness and other behavioural pathology.",An important area for future research is the establishment of causal patterns and the investigation of the primary or secondary role of social conditions in the emergence of severe mental illness and other profound behavioural pathology.,An important area for future research is the establishment of causal patterns and the investigation of the primary or secondary role of social conditions in the emergence of mild mental illness and other minor behavioural pathology.
"In this regard, currently held Western views about mental illness, physical illness, social deviance, and human individuality are relevant.","In this regard, currently held Western views about severe mental illness, chronic physical illness, pronounced social deviance, and unique human individuality are highly relevant.","In this regard, currently held Western views about mild mental illness, temporary physical illness, minor social deviance, and common human individuality are somewhat relevant."
Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of mental illness other than those of paranoid schizophrenia are at variance with the findings of the major studies carried out in the 1960's.,"Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of severe mental illness, such as those of paranoid schizophrenia, are at variance with the findings of the major studies carried out in the 1960's.",Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify mild symptoms of mental illness other than those of paranoid schizophrenia are at variance with the findings of the major studies carried out in the 1960's.
A comparison of mental illness and narcotic use in rural and urban areas indicates a greater incidence in areas with high population density.,A comparison of severe mental illness and narcotic use in rural and urban areas indicates a significantly higher incidence in areas with high population density.,A comparison of mild mental illness and narcotic use in rural and urban areas indicates a somewhat greater incidence in areas with high population density.
