target,synset,definition,sibling,sibling_definition,lin_similarity,cosine_similarity,note
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,1.54662159587515,0.8627196,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,state_of_mind.n.01,a temporary psychological state,1.070912449520183,0.8544916,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,enchantment.n.02,a psychological state induced by (or as if induced by) a magical incantation,1.0938176147910643,0.8822076,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,morale.n.01,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose,1.1081499256986902,0.85079706,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,abulia.n.01,a loss of will power,0.8767401259292187,0.8206828,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,1.7083808729009125,0.8446177,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,hallucinosis.n.01,a mental state in which the person has continual hallucinations,0.9420465040291305,0.8745364,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",1.6950348420596273,0.8966521,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,hypnosis.n.01,a state that resembles sleep but that is induced by suggestion,1.2376440915738742,0.85402435,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,anhedonia.n.01,an inability to experience pleasure,1.1679702961884728,0.843556,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,agitation.n.01,a mental state of extreme emotional disturbance,1.1532306722846237,0.90485626,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,1.363984086816582,0.87304914,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,delusion.n.01,(psychology) an erroneous belief that is held in the face of evidence to the contrary,1.2305294102046997,0.84175235,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,depersonalization.n.02,(existentialism) a loss of personal identity; a feeling of being an anonymous cog in an impersonal social machine,1.1511114168879386,0.8699815,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,fugue.n.02,a dreamlike state of altered consciousness that may last for hours or days,0.954188111931795,0.88845134,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,irritation.n.01,the psychological state of being irritated or annoyed,1.1108999655684042,0.8843208,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,cognitive_state.n.01,the state of a person's cognitive processes,1.070912449520183,0.82034457,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,nervousness.n.02,an uneasy psychological state,1.096680839525643,0.85216767,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,elation.n.01,an exhilarating psychological state of pride and optimism; an absence of depression,1.020902708138409,0.86327285,
trauma,trauma.n.02,an emotional wound or shock often having long-lasting effects,dissociation.n.02,a state in which some integrated part of a person's life becomes separated from the rest of the personality and functions independently,1.3329348434551804,0.8433962,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,1.8517290211298638,0.8936997,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",state_of_mind.n.01,a temporary psychological state,1.2088267507611319,0.82515824,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",enchantment.n.02,a psychological state induced by (or as if induced by) a magical incantation,1.2380919518164797,0.9189766,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",morale.n.01,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose,1.2564862587894785,0.8887327,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",abulia.n.01,a loss of will power,0.9670673992129549,0.799443,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,2.0884900818399026,0.91466725,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",hallucinosis.n.01,a mental state in which the person has continual hallucinations,1.047137989780703,0.9224882,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",hypnosis.n.01,a state that resembles sleep but that is induced by suggestion,1.4256143332950726,0.89481807,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",anhedonia.n.01,an inability to experience pleasure,1.3339533339422356,0.8369348,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",agitation.n.01,a mental state of extreme emotional disturbance,1.3147610837264054,0.9151024,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",mental_illness.n.01,any disease of the mind; the psychological state of someone who has emotional or behavioral problems serious enough to require psychiatric intervention,1.5958848196663618,0.9191748,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",delusion.n.01,(psychology) an erroneous belief that is held in the face of evidence to the contrary,1.4161826543691458,0.8913769,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",depersonalization.n.02,(existentialism) a loss of personal identity; a feeling of being an anonymous cog in an impersonal social machine,1.312007280924093,0.8987183,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",fugue.n.02,a dreamlike state of altered consciousness that may last for hours or days,1.0621612513899437,0.9144448,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",irritation.n.01,the psychological state of being irritated or annoyed,1.2600229873287538,0.8885392,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",cognitive_state.n.01,the state of a person's cognitive processes,1.2088267507611319,0.86541736,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",nervousness.n.02,an uneasy psychological state,1.241761574278881,0.83873004,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",elation.n.01,an exhilarating psychological state of pride and optimism; an absence of depression,1.1454878067823828,0.90984577,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",trauma.n.02,an emotional wound or shock often having long-lasting effects,1.6950348420596273,0.8966521,
anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",dissociation.n.02,a state in which some integrated part of a person's life becomes separated from the rest of the personality and functions independently,1.5535441293098196,0.89954054,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,mental_health.n.01,the psychological state of someone who is functioning at a satisfactory level of emotional and behavioral adjustment,1.8676682002613716,0.88525593,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,state_of_mind.n.01,a temporary psychological state,1.2155991608464356,0.7951564,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,enchantment.n.02,a psychological state induced by (or as if induced by) a magical incantation,1.2451972095052035,0.88127804,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,morale.n.01,a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose,1.2638048341580406,0.91006815,
depression,depression.n.01,a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity,abulia.n.01,a loss of will power,0.971396944333862,0.75823486,
