epoch,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se,term,inj_ratio,corpus
all-year,0.5813785418285714,0.11727974875520224,0.0033508499644343496,trauma,0,natural
all-year,0.6329697877061224,0.10264912233968032,0.0029328320668480083,anxiety,0,natural
all-year,0.6299655737387755,0.10016091732827785,0.0028617404950936533,depression,0,natural
all-year,0.6482580330693877,0.09966471697610958,0.0028475633421745595,mental_health,0,natural
all-year,0.5796083716979592,0.10420922920138359,0.0029774065486109606,mental_illness,0,natural
all-year,0.6547521219510205,0.13315882020951028,0.0038045377202717214,abuse,0,natural
all-year,0.6426240995265305,0.12015247154481207,0.0034329277584232015,trauma,100,synthetic_breadth
all-year,0.6488397940244898,0.1122928857634407,0.003208368164669734,anxiety,100,synthetic_breadth
all-year,0.6654165006693877,0.11009898790615164,0.003145685368747189,depression,100,synthetic_breadth
all-year,0.6587756883836735,0.10664355395244789,0.0030469586843556535,mental_health,100,synthetic_breadth
all-year,0.6269947192979592,0.10766662066018182,0.0030761891617194803,mental_illness,100,synthetic_breadth
all-year,0.6799897316816326,0.14549842757466047,0.004157097930704584,abuse,100,synthetic_breadth
all-year,0.5963069988326529,0.1165524857892378,0.003330071022549652,trauma,20,synthetic_breadth
all-year,0.6368577789795918,0.10480938676993637,0.0029945539077124673,anxiety,20,synthetic_breadth
all-year,0.6401801330530613,0.10303423723500643,0.0029438353495716122,depression,20,synthetic_breadth
all-year,0.658466707934694,0.10250222367122662,0.0029286349620350448,mental_health,20,synthetic_breadth
all-year,0.6013156421714286,0.10648372089618059,0.00304239202560516,mental_illness,20,synthetic_breadth
all-year,0.6715270156816326,0.1386444965909585,0.003961271331170244,abuse,20,synthetic_breadth
all-year,0.6161657888408163,0.11952324184869528,0.003414949767105579,trauma,40,synthetic_breadth
all-year,0.639508178277551,0.10540726294591116,0.0030116360841688904,anxiety,40,synthetic_breadth
all-year,0.6491400452163266,0.10392091339660908,0.0029691689541888316,depression,40,synthetic_breadth
all-year,0.6680753146285714,0.1031396501265702,0.0029468471464734343,mental_health,40,synthetic_breadth
all-year,0.6171834075755103,0.10720476582122686,0.0030629933091779107,mental_illness,40,synthetic_breadth
all-year,0.6843818560489797,0.13948522972017463,0.003985292277719276,abuse,40,synthetic_breadth
all-year,0.625939645387755,0.12014519956842369,0.003432719987669249,trauma,60,synthetic_breadth
all-year,0.6436803654612244,0.1085459018615896,0.003101311481759703,anxiety,60,synthetic_breadth
all-year,0.6577375347836734,0.10750859731948921,0.003071674209128264,depression,60,synthetic_breadth
all-year,0.6702424101142859,0.10359718382979517,0.0029599195379941485,mental_health,60,synthetic_breadth
all-year,0.6251840926204081,0.10652513721409228,0.003043575348974066,mental_illness,60,synthetic_breadth
all-year,0.6873411626285713,0.13976042088467358,0.003993154882419246,abuse,60,synthetic_breadth
all-year,0.6413686831836735,0.12154089222908974,0.003472596920831134,trauma,80,synthetic_breadth
all-year,0.6480893384571429,0.11052612486187878,0.003157889281767965,anxiety,80,synthetic_breadth
all-year,0.6607877837714285,0.10728962339188124,0.003065417811196607,depression,80,synthetic_breadth
all-year,0.6723355080326531,0.1063669294838387,0.003039055128109678,mental_health,80,synthetic_breadth
all-year,0.631862942955102,0.10763386274135983,0.0030752532211817092,mental_illness,80,synthetic_breadth
all-year,0.6861097499918367,0.14078404678787895,0.00402240133679654,abuse,80,synthetic_breadth
