Period,Target,Sibling,Count
1970-1974,trauma,anxiety,885
1970-1974,trauma,depression,321
1970-1974,trauma,hypnosis,194
1970-1974,trauma,mental_health,27
1970-1974,trauma,elation,19
1970-1974,trauma,mental_illness,15
1970-1974,trauma,dissociation,14
1970-1974,trauma,anhedonia,8
1970-1974,trauma,agitation,8
1970-1974,trauma,morale,3
1970-1974,trauma,irritation,2
1970-1974,trauma,nervousness,2
1970-1974,trauma,depersonalization,2
1970-1974,anxiety,depression,717
1970-1974,anxiety,hypnosis,448
1970-1974,anxiety,mental_health,56
1970-1974,anxiety,trauma,40
1970-1974,anxiety,elation,36
1970-1974,anxiety,dissociation,35
1970-1974,anxiety,depersonalization,28
1970-1974,anxiety,irritation,26
1970-1974,anxiety,mental_illness,24
1970-1974,anxiety,nervousness,21
1970-1974,anxiety,morale,21
1970-1974,anxiety,agitation,19
1970-1974,anxiety,anhedonia,16
1970-1974,anxiety,delusion,8
1970-1974,anxiety,state_of_mind,5
1970-1974,depression,anxiety,1123
1970-1974,depression,hypnosis,216
1970-1974,depression,dissociation,35
1970-1974,depression,mental_health,31
1970-1974,depression,morale,25
1970-1974,depression,trauma,14
1970-1974,depression,heaviness,13
1970-1974,depression,agitation,9
1970-1974,depression,mental_illness,8
1970-1974,depression,nervousness,7
1970-1974,depression,delusion,6
1970-1974,depression,anhedonia,6
1970-1974,depression,irritation,5
1970-1974,depression,depersonalization,2
1970-1974,mental_health,anxiety,841
1970-1974,mental_health,depression,305
1970-1974,mental_health,hypnosis,209
1970-1974,mental_health,trauma,46
1970-1974,mental_health,morale,19
1970-1974,mental_health,dissociation,16
1970-1974,mental_health,elation,12
1970-1974,mental_health,irritation,12
1970-1974,mental_health,depersonalization,10
1970-1974,mental_health,mental_illness,10
1970-1974,mental_health,anhedonia,9
1970-1974,mental_health,nervousness,5
1970-1974,mental_health,state_of_mind,3
1970-1974,mental_health,delusion,2
1970-1974,mental_health,agitation,1
1970-1974,mental_illness,anxiety,843
1970-1974,mental_illness,depression,284
1970-1974,mental_illness,hypnosis,240
1970-1974,mental_illness,trauma,33
1970-1974,mental_illness,dissociation,22
1970-1974,mental_illness,morale,19
1970-1974,mental_illness,depersonalization,12
1970-1974,mental_illness,nervousness,12
1970-1974,mental_illness,elation,9
1970-1974,mental_illness,anhedonia,9
1970-1974,mental_illness,irritation,8
1970-1974,mental_illness,agitation,6
1970-1974,mental_illness,state_of_mind,3
1970-1974,abuse,annoyance,233
1970-1974,abuse,exploitation,186
1970-1974,abuse,disregard,144
1970-1974,abuse,harassment,97
1975-1979,trauma,anxiety,604
1975-1979,trauma,depression,458
1975-1979,trauma,hypnosis,229
1975-1979,trauma,dissociation,42
1975-1979,trauma,morale,37
1975-1979,trauma,mental_health,26
1975-1979,trauma,mental_illness,21
1975-1979,trauma,anhedonia,20
1975-1979,trauma,delusion,18
1975-1979,trauma,elation,14
1975-1979,trauma,depersonalization,10
1975-1979,trauma,agitation,8
1975-1979,trauma,irritation,6
1975-1979,trauma,nervousness,3
1975-1979,trauma,state_of_mind,3
1975-1979,trauma,hallucinosis,1
1975-1979,anxiety,depression,821
1975-1979,anxiety,hypnosis,334
1975-1979,anxiety,trauma,63
1975-1979,anxiety,dissociation,56
