epoch,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se,term,inj_ratio,corpus
all-year,0.1712140177224489,0.1520391175640352,0.004343974787543863,trauma,80,synthetic_breadth
all-year,0.09185782470204082,0.10814898067337289,0.003089970876382082,anxiety,80,synthetic_breadth
all-year,0.19257444456326536,0.1862607495652351,0.00532173570186386,depression,80,synthetic_breadth
all-year,0.07347303305306123,0.05542927063027703,0.0015836934465793433,mental_health,80,synthetic_breadth
all-year,0.04443831241632653,0.04278212962289243,0.0012223465606540694,mental_illness,80,synthetic_breadth
all-year,0.3137705012408163,0.24952689110260262,0.007129339745788646,abuse,80,synthetic_breadth
all-year,0.14753991993469387,0.13954513697882104,0.003987003913680601,trauma,40,synthetic_breadth
all-year,0.07026567666938777,0.07388543320846361,0.002111012377384675,anxiety,40,synthetic_breadth
all-year,0.14646612955918367,0.1639228336057634,0.0046835095315932405,depression,40,synthetic_breadth
all-year,0.0746303664489796,0.05615306772451792,0.0016043733635576548,mental_health,40,synthetic_breadth
all-year,0.034303707559183674,0.03255847455131087,0.0009302421300374534,mental_illness,40,synthetic_breadth
all-year,0.32113750395102036,0.2477973009345386,0.007079922883843959,abuse,40,synthetic_breadth
all-year,0.12124732093877551,0.11294040290416502,0.003226868654404715,trauma,0,natural
all-year,0.056839364620408166,0.04695077558249177,0.0013414507309283366,anxiety,0,natural
all-year,0.09804020958367347,0.11658520120155293,0.0033310057486157984,depression,0,natural
all-year,0.06491094937142858,0.0495642728924156,0.0014161220826404458,mental_health,0,natural
all-year,0.020017040734693875,0.013459450026832949,0.00038455571505236993,mental_illness,0,natural
all-year,0.2993951690367347,0.23894085912031865,0.006826881689151961,abuse,0,natural
all-year,0.1304131659020408,0.12477394974062238,0.0035649699925892103,trauma,20,synthetic_breadth
all-year,0.06583439782040816,0.0670339051083224,0.0019152544316663543,anxiety,20,synthetic_breadth
all-year,0.11797353777142856,0.13642208259176733,0.0038977737883362095,depression,20,synthetic_breadth
all-year,0.07048844156734693,0.05291969299163399,0.0015119912283323995,mental_health,20,synthetic_breadth
all-year,0.027575054914285718,0.025148138617042536,0.0007185182462012151,mental_illness,20,synthetic_breadth
all-year,0.3170343358204082,0.2445208498638434,0.0069863099961098105,abuse,20,synthetic_breadth
all-year,0.15393507518367347,0.13954409220762717,0.003986974063075061,trauma,60,synthetic_breadth
all-year,0.08514776991836732,0.1015034458283179,0.002900098452237655,anxiety,60,synthetic_breadth
all-year,0.17685032248163263,0.17968020870241905,0.005133720248640545,depression,60,synthetic_breadth
all-year,0.07459143319183674,0.05575491664036773,0.0015929976182962214,mental_health,60,synthetic_breadth
all-year,0.04006558351836734,0.037510054568104384,0.0010717158448029826,mental_illness,60,synthetic_breadth
all-year,0.3192672962285714,0.2441342608015578,0.0069752645943302214,abuse,60,synthetic_breadth
all-year,0.17453845786122446,0.15535072534832486,0.004438592152809282,trauma,100,synthetic_breadth
all-year,0.09889641317551018,0.11803921716094902,0.0033725490617414005,anxiety,100,synthetic_breadth
all-year,0.21984116515102042,0.19707488802078196,0.005630711086308055,depression,100,synthetic_breadth
all-year,0.06585929986122449,0.050386504506560674,0.001439614414473162,mental_health,100,synthetic_breadth
all-year,0.04752010681632653,0.04342462489600243,0.001240703568457212,mental_illness,100,synthetic_breadth
all-year,0.2993705052816326,0.2506482746719207,0.00716137927634059,abuse,100,synthetic_breadth
