epoch,term,round_number,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se
all-year,abuse,1,0.6852164386122449,0.13691948912370647,0.003911985403534471
all-year,abuse,2,0.6852164386122449,0.13691948912370647,0.003911985403534471
all-year,abuse,3,0.6852164386122449,0.13691948912370647,0.003911985403534471
all-year,abuse,4,0.6852164386122449,0.13691948912370647,0.003911985403534471
all-year,abuse,5,0.6852164386122449,0.13691948912370647,0.003911985403534471
all-year,abuse,6,0.6852164386122449,0.13691948912370647,0.003911985403534471
all-year,anxiety,1,0.6444470988000001,0.1087202377021637,0.0031062925057761055
all-year,anxiety,2,0.6444470988000001,0.1087202377021637,0.0031062925057761055
all-year,anxiety,3,0.6444470988000001,0.1087202377021637,0.0031062925057761055
all-year,anxiety,4,0.6444470988000001,0.1087202377021637,0.0031062925057761055
all-year,anxiety,5,0.6444470988000001,0.1087202377021637,0.0031062925057761055
all-year,anxiety,6,0.6444470988000001,0.1087202377021637,0.0031062925057761055
all-year,depression,1,0.6551991467510204,0.10563463585211412,0.003018132452917547
all-year,depression,2,0.6551991467510204,0.10563463585211412,0.003018132452917547
all-year,depression,3,0.6551991467510204,0.10563463585211412,0.003018132452917547
all-year,depression,4,0.6551991467510204,0.10563463585211412,0.003018132452917547
all-year,depression,5,0.6551991467510204,0.10563463585211412,0.003018132452917547
all-year,depression,6,0.6551991467510204,0.10563463585211412,0.003018132452917547
all-year,mental_health,1,0.6687681845877552,0.1042900488633832,0.0029797156818109484
all-year,mental_health,2,0.6687681845877552,0.1042900488633832,0.0029797156818109484
all-year,mental_health,3,0.6687681845877552,0.1042900488633832,0.0029797156818109484
all-year,mental_health,4,0.6687681845877552,0.1042900488633832,0.0029797156818109484
all-year,mental_health,5,0.6687681845877552,0.1042900488633832,0.0029797156818109484
all-year,mental_health,6,0.6687681845877552,0.1042900488633832,0.0029797156818109484
all-year,mental_illness,1,0.6240870516244897,0.10712997249326187,0.0030608563569503385
all-year,mental_illness,2,0.6240870516244897,0.10712997249326187,0.0030608563569503385
all-year,mental_illness,3,0.6240870516244897,0.10712997249326187,0.0030608563569503385
all-year,mental_illness,4,0.6240870516244897,0.10712997249326187,0.0030608563569503385
all-year,mental_illness,5,0.6240870516244897,0.10712997249326187,0.0030608563569503385
all-year,mental_illness,6,0.6240870516244897,0.10712997249326187,0.0030608563569503385
all-year,trauma,1,0.6177613286938776,0.11820591009335908,0.0033773117169531163
all-year,trauma,2,0.6177613286938776,0.11820591009335908,0.0033773117169531163
all-year,trauma,3,0.6177613286938776,0.11820591009335908,0.0033773117169531163
all-year,trauma,4,0.6177613286938776,0.11820591009335908,0.0033773117169531163
all-year,trauma,5,0.6177613286938776,0.11820591009335908,0.0033773117169531163
all-year,trauma,6,0.6177613286938776,0.11820591009335908,0.0033773117169531163
