epoch,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se,term,inj_ratio,corpus
1970-1974,0.250937339869281,0.21938605911688813,0.01773631165739079,trauma,0,natural
1970-1974,0.044928625877551025,0.03705553556676567,0.0010587295876218765,anxiety,0,natural
1970-1974,0.2815587083265306,0.24211510541374567,0.006917574440392734,depression,0,natural
1970-1974,0.07906258457142856,0.06377551793662053,0.0018221576553320157,mental_health,0,natural
1970-1974,0.01890421040974529,0.012312295253516698,0.0004097275306856234,mental_illness,0,natural
1970-1974,0.2373728731884058,0.22790974117829746,0.013718554309153103,abuse,0,natural
1975-1979,0.17989852923076927,0.1626283485353217,0.009020997684432791,trauma,0,natural
1975-1979,0.04950116726530612,0.05334178120165748,0.0015240508914759281,anxiety,0,natural
1975-1979,0.18239213632653062,0.20362327436405198,0.005817807838972914,depression,0,natural
1975-1979,0.05739034310204082,0.04566829718559997,0.0013048084910171423,mental_health,0,natural
1975-1979,0.021011697224489794,0.01346919703683975,0.0003848342010525644,mental_illness,0,natural
1975-1979,0.32401355493877554,0.2557674201222383,0.007307640574921094,abuse,0,natural
1980-1984,0.1706064693877551,0.16032028426878503,0.004580579550536715,trauma,0,natural
1980-1984,0.04532297991836735,0.03560304100243667,0.001017229742926762,anxiety,0,natural
1980-1984,0.14023924497959184,0.16090789414029938,0.004597368404008553,depression,0,natural
1980-1984,0.05857853469387755,0.04578406222575644,0.001308116063593041,mental_health,0,natural
1980-1984,0.0297452933877551,0.02922230112677629,0.0008349228893364655,mental_illness,0,natural
1980-1984,0.2952592092244898,0.2604782097229049,0.007442234563511568,abuse,0,natural
1985-1989,0.21201050432653062,0.17825219237784648,0.005092919782224185,trauma,0,natural
1985-1989,0.05075349257142857,0.03635959295901307,0.0010388455131146593,anxiety,0,natural
1985-1989,0.11128074048979593,0.133351301534938,0.0038100371867125136,depression,0,natural
1985-1989,0.06966983967346937,0.05367570669987596,0.0015335916199964558,mental_health,0,natural
1985-1989,0.01913894032653061,0.0117662166023322,0.0003361776172094914,mental_illness,0,natural
1985-1989,0.3042413211428571,0.2516153500297205,0.0071890100008491584,abuse,0,natural
