epoch,cosine_dissim_mean,cosine_dissim_sd,cosine_dissim_se,term,inj_ratio,corpus
1970-1974,0.6978920196078431,0.14179496146475185,0.011463443201952115,trauma,0,natural
1970-1974,0.5821743629387754,0.11344424820047205,0.0032412642342992013,anxiety,0,natural
1970-1974,0.6827277250612245,0.12715673548931142,0.0036330495854088986,depression,0,natural
1970-1974,0.6170256057959185,0.10763846764271592,0.003075384789791883,mental_health,0,natural
1970-1974,0.5216004099667775,0.11145933748375003,0.0037091345016298668,mental_illness,0,natural
1970-1974,0.7018769999999999,0.12756091928329205,0.007678265044162029,abuse,0,natural
1975-1979,0.6466657753846154,0.1379817318581491,0.007653849373721227,trauma,0,natural
1975-1979,0.6047745215510204,0.11556430479472805,0.0033018372798493735,anxiety,0,natural
1975-1979,0.6437169036734693,0.11750482657076192,0.0033572807591646264,depression,0,natural
1975-1979,0.5983554839183673,0.10754102989344236,0.0030726008540983532,mental_health,0,natural
1975-1979,0.5170217589387756,0.09993097428988648,0.0028551706939967565,mental_illness,0,natural
1975-1979,0.6689348610612245,0.1471704193306711,0.00420486912373346,abuse,0,natural
1980-1984,0.6518313504489796,0.11992303748009606,0.0034263724994313153,trauma,0,natural
1980-1984,0.6205293542857143,0.12014086914157669,0.0034325962611879055,anxiety,0,natural
1980-1984,0.6236179030204081,0.1215546780890667,0.003472990802544763,depression,0,natural
1980-1984,0.6202056425306123,0.10211614214928325,0.0029176040614080924,mental_health,0,natural
1980-1984,0.5430375834285714,0.10608379220650233,0.0030309654916143526,mental_illness,0,natural
1980-1984,0.6502860063673469,0.1446140061305349,0.0041318287465867114,abuse,0,natural
1985-1989,0.6536481937142857,0.13418903062898047,0.0038339723036851557,trauma,0,natural
1985-1989,0.6212463759183673,0.10565404011833737,0.0030186868605239247,anxiety,0,natural
1985-1989,0.624335765632653,0.10752996971600681,0.003072284849028766,depression,0,natural
1985-1989,0.6301462303673471,0.10307770544711967,0.0029450772984891335,mental_health,0,natural
1985-1989,0.5817580727346939,0.10555877677159757,0.003015965050617073,mental_illness,0,natural
1985-1989,0.6520311033469387,0.141360735760057,0.0040388781645730575,abuse,0,natural
1990-1994,0.6076963540408163,0.12540714385066526,0.0035830612528761504,trauma,0,natural
1990-1994,0.6300636994285714,0.10407563157168331,0.002973589473476666,anxiety,0,natural
1990-1994,0.6336257848163266,0.1011208608004415,0.0028891674514411854,depression,0,natural
1990-1994,0.6342812133061224,0.10260988700099054,0.002931711057171159,mental_health,0,natural
1990-1994,0.5700828144489796,0.1027874310576283,0.002936783744503666,mental_illness,0,natural
1990-1994,0.6601287758367347,0.13784267512032217,0.00393836214629492,abuse,0,natural
1995-1999,0.5716516506938776,0.1247195827655601,0.003563416650444575,trauma,0,natural
1995-1999,0.6233694168163264,0.10438898081942456,0.0029825423091264162,anxiety,0,natural
1995-1999,0.6221523179591838,0.1016695529512005,0.0029048443700343007,depression,0,natural
1995-1999,0.6393745079183674,0.10597631150847886,0.0030278946145279677,mental_health,0,natural
1995-1999,0.5704856582040816,0.10304361593945326,0.0029441033125558068,mental_illness,0,natural
1995-1999,0.6455097484081633,0.13816637986367636,0.003947610853247897,abuse,0,natural
2000-2004,0.5699543186122449,0.11461832035242063,0.0032748091529263045,trauma,0,natural
2000-2004,0.6222828407346939,0.10637381387419016,0.0030392518249768618,anxiety,0,natural
2000-2004,0.6265729694693878,0.0985454117787984,0.002815583193679954,depression,0,natural
2000-2004,0.6408690826938777,0.10099612649546885,0.0028856036141562537,mental_health,0,natural
2000-2004,0.5753271768979592,0.10488291130578879,0.002996654608736822,mental_illness,0,natural
2000-2004,0.649680424,0.13558324374922304,0.0038738069642635146,abuse,0,natural
2005-2009,0.5763419014693878,0.11994836681566667,0.0034270961947333333,trauma,0,natural
2005-2009,0.6292525707755102,0.10464448603613326,0.002989842458175236,anxiety,0,natural
2005-2009,0.6336067777959185,0.10211979993168077,0.0029177085694765932,depression,0,natural
2005-2009,0.6513194311020409,0.10101291051633883,0.0028860831576096807,mental_health,0,natural
2005-2009,0.5770003893061225,0.1048527816807705,0.0029957937623077287,mental_illness,0,natural
