target,injection_ratio,round_number,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
abuse,50,1,0.47228029314252384,0.48352016551356236,0.008961277334979112,0.00845680035183227
abuse,50,2,0.47228029314252384,0.48352016551356236,0.008961277334979112,0.00845680035183227
abuse,50,3,0.47228029314252384,0.48352016551356236,0.008961277334979112,0.00845680035183227
abuse,50,4,0.47228029314252384,0.48352016551356236,0.008961277334979112,0.00845680035183227
abuse,50,5,0.47228029314252384,0.48352016551356236,0.008961277334979112,0.00845680035183227
abuse,50,6,0.47228029314252384,0.48352016551356236,0.008961277334979112,0.00845680035183227
anxiety,50,1,0.45283726062226365,0.4631669569940435,0.008798010553730095,0.008553882423984718
anxiety,50,2,0.45283726062226365,0.4631669569940435,0.008798010553730095,0.008553882423984718
anxiety,50,3,0.45283726062226365,0.4631669569940435,0.008798010553730095,0.008553882423984718
anxiety,50,4,0.45283726062226365,0.4631669569940435,0.008798010553730095,0.008553882423984718
anxiety,50,5,0.45283726062226365,0.4631669569940435,0.008798010553730095,0.008553882423984718
anxiety,50,6,0.45283726062226365,0.4631669569940435,0.008798010553730095,0.008553882423984718
depression,50,1,0.45009381386686875,0.46822220176598195,0.009418237736537575,0.008835169858027889
depression,50,2,0.45009381386686875,0.46822220176598195,0.009418237736537575,0.008835169858027889
depression,50,3,0.45009381386686875,0.46822220176598195,0.009418237736537575,0.008835169858027889
depression,50,4,0.45009381386686875,0.46822220176598195,0.009418237736537575,0.008835169858027889
depression,50,5,0.45009381386686875,0.46822220176598195,0.009418237736537575,0.008835169858027889
depression,50,6,0.45009381386686875,0.46822220176598195,0.009418237736537575,0.008835169858027889
mental_health,50,1,0.4966981673665904,0.5092894673300474,0.00799644308581001,0.007384464185033749
mental_health,50,2,0.4966981673665904,0.5092894673300474,0.00799644308581001,0.007384464185033749
mental_health,50,3,0.4966981673665904,0.5092894673300474,0.00799644308581001,0.007384464185033749
mental_health,50,4,0.4966981673665904,0.5092894673300474,0.00799644308581001,0.007384464185033749
mental_health,50,5,0.4966981673665904,0.5092894673300474,0.00799644308581001,0.007384464185033749
mental_health,50,6,0.4966981673665904,0.5092894673300474,0.00799644308581001,0.007384464185033749
mental_illness,50,1,0.4714739997386959,0.49388380686897465,0.008539761316096938,0.007789296019730971
mental_illness,50,2,0.4714739997386959,0.49388380686897465,0.008539761316096938,0.007789296019730971
mental_illness,50,3,0.4714739997386959,0.49388380686897465,0.008539761316096938,0.007789296019730971
mental_illness,50,4,0.4714739997386959,0.49388380686897465,0.008539761316096938,0.007789296019730971
mental_illness,50,5,0.4714739997386959,0.49388380686897465,0.008539761316096938,0.007789296019730971
mental_illness,50,6,0.4714739997386959,0.49388380686897465,0.008539761316096938,0.007789296019730971
trauma,50,1,0.4627304180260306,0.4783175296543276,0.008532062261975025,0.008057151988417206
trauma,50,2,0.4627304180260306,0.4783175296543276,0.008532062261975025,0.008057151988417206
trauma,50,3,0.4627304180260306,0.4783175296543276,0.008532062261975025,0.008057151988417206
trauma,50,4,0.4627304180260306,0.4783175296543276,0.008532062261975025,0.008057151988417206
trauma,50,5,0.4627304180260306,0.4783175296543276,0.008532062261975025,0.008057151988417206
trauma,50,6,0.4627304180260306,0.4783175296543276,0.008532062261975025,0.008057151988417206
