target,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
abuse,0,0.4233294350493832,0.4233294350493832,0.0065967923782419705,0.0065967923782419705
abuse,100,0.4409955031854034,0.398416766337994,0.006433049949770409,0.006598404584814612
abuse,20,0.4264702841762512,0.4178235031069629,0.006579702212594043,0.006634278106518187
abuse,40,0.42948440649977215,0.41293131835249824,0.006494139456326208,0.00659050957181948
abuse,60,0.43290771231661523,0.4078028247225695,0.006489978922394849,0.006641245084296826
abuse,80,0.4378386204587028,0.4015422634764455,0.006504911181994977,0.006637662972655351
anxiety,0,0.4041707907638921,0.4041707907638921,0.005945284234151914,0.005945284234151914
anxiety,100,0.4318826759255565,0.37117597163235766,0.006552160910994165,0.006309453659474389
anxiety,20,0.40984722958131564,0.397372493675751,0.006055345193937642,0.0060394074597238286
anxiety,40,0.4115784603304583,0.3866730130805647,0.006166056966504343,0.006077074079312814
anxiety,60,0.41852366269067187,0.3801363231919369,0.0063124098248771784,0.006182923148034087
anxiety,80,0.4288253616602312,0.3782178231728059,0.006453441070834957,0.006290226757649524
depression,0,0.3966367186462251,0.3966367186462251,0.00610797386128849,0.00610797386128849
depression,100,0.4302240884327345,0.3582225841976174,0.006395764063738426,0.006459742943433645
depression,20,0.40412233336956277,0.38832084525326527,0.006212515654428379,0.006314872869924512
depression,40,0.4109278896127085,0.3807855253691439,0.006304883504209126,0.006430170387915212
depression,60,0.41741189573195997,0.3733014746091233,0.006380271196860062,0.006483569965059207
depression,80,0.4238817379455,0.3655466788824072,0.0063118264935288874,0.006485331506428204
mental_health,0,0.3841056194902616,0.3841056194902616,0.0055152259235369885,0.0055152259235369885
mental_health,100,0.4077120810100449,0.36546436423488027,0.005862615707472382,0.005263226392710714
mental_health,20,0.39078194062019955,0.3824547288234802,0.005568497999566151,0.005493573703699885
mental_health,40,0.3941097593399877,0.3766842038572717,0.005639115140055296,0.005390494962066164
mental_health,60,0.39875969982142206,0.37341695112348405,0.005744555049472265,0.005381006189957122
mental_health,80,0.4042485585557891,0.3684560701039956,0.005831426535552485,0.005327555012882641
mental_illness,0,0.3935585584685431,0.3935585584685431,0.00552308824169646,0.00552308824169646
mental_illness,100,0.42191346507251715,0.3645015937187127,0.0058124772484745455,0.0053942563881440204
mental_illness,20,0.3986034748823152,0.387496493819577,0.005618064427760633,0.0055172873585351435
mental_illness,40,0.40393525204093117,0.38148240192629607,0.00568120338692028,0.005512935727841446
mental_illness,60,0.4119649559789067,0.3770699348331313,0.005740177378056195,0.005520140387179151
mental_illness,80,0.41638310925151417,0.3720902041529254,0.005734345925671298,0.005527740896940057
trauma,0,0.4031771257849155,0.4031771257849155,0.005583096508409305,0.005583096508409305
trauma,100,0.42757279047521246,0.37058158388125856,0.005830096914462688,0.005782472632503569
trauma,20,0.4090548521212687,0.3973509844766013,0.0056838022094731185,0.0056810460102856356
trauma,40,0.4141090885019542,0.39035985752752284,0.005786498178836479,0.0057417914393303295
trauma,60,0.41771943316754734,0.38229729501999243,0.005780908989696355,0.005737831247425811
trauma,80,0.42414056591572474,0.3774337118478444,0.00589423344310107,0.005815169257888164
