target,injection_ratio,avg_arousal_index_high,avg_arousal_index_low,se_arousal_index_high,se_arousal_index_low
abuse,0,4.388027262625613,4.388027262625613,0.006923212789260546,0.006923212789260546
abuse,100,4.528753485792737,4.188789270242927,0.006112439665440069,0.005544968329823336
abuse,20,4.412993533722069,4.343828472296172,0.006574195847573541,0.006830375155039254
abuse,40,4.437174720128343,4.30477264210323,0.006676871740269733,0.006667122203734294
abuse,60,4.464136880178902,4.263583259169212,0.005245069602482326,0.006103415061430212
abuse,80,4.503519985022382,4.21377843101603,0.0061396048858749185,0.00625771569443592
anxiety,0,4.233657822436028,4.233657822436028,0.00576970578667293,0.00576970578667293
anxiety,100,4.455164148862671,3.9695751801097456,0.005951036685935082,0.00499594460900769
anxiety,20,4.27917558231483,4.179420339800014,0.0056313498921756544,0.005761686904163517
anxiety,40,4.28302798408795,4.083856391238921,0.043593953933388906,0.04156459045791276
anxiety,60,4.3383671603150376,4.031393946589512,0.044156376144563074,0.041036857286140774
anxiety,80,4.430760857706922,4.025975846954208,0.006067701486317556,0.004466658878726606
depression,0,4.174081278501129,4.174081278501129,0.0050653506954662815,0.0050653506954662815
depression,100,4.442252749170653,3.8671839191628963,0.00579137326426746,0.004875580895933378
depression,20,4.233880368727526,4.107559993452913,0.005586442965737099,0.004976484418069426
depression,40,4.2883082560025585,4.047537430176804,0.005596385959360862,0.005279816169229044
depression,60,4.339781349409333,3.9870938037015806,0.004720569664305524,0.00554676616264075
depression,80,4.391309188255161,3.925372858683898,0.005540021405000441,0.005153800736040584
mental_health,0,4.074150777726893,4.074150777726893,0.005047294964865082,0.005047294964865082
mental_health,100,4.262867931131575,3.9254552768452675,0.005567505186494825,0.003829137136975818
mental_health,20,4.127897712115016,4.061463184641399,0.005141198276644511,0.005350392246483827
mental_health,40,4.154153668492013,4.015226820882125,0.004178499354616944,0.00436338107289112
mental_health,60,4.191507560004922,3.9894849890548967,0.005163544009772297,0.004849909017779702
mental_health,80,4.235371492171769,3.9493342324712977,0.00484328168165315,0.00433261815043756
mental_illness,0,4.1503116130701825,4.1503116130701825,0.004857639506384401,0.004857639506384401
mental_illness,100,4.376620173182061,3.9172816283129697,0.004113212577422063,0.004661229393306633
mental_illness,20,4.19054741035044,4.101870505464917,0.0048948568300574025,0.004870605073363767
mental_illness,40,4.233124558627161,4.054004704209871,0.004218774756015145,0.004199630021354461
mental_illness,60,4.297303116446126,4.018796420448173,0.004660301039049607,0.004726337781197287
mental_illness,80,4.332119782275608,3.9782778492058872,0.0048299845687476955,0.004143337923494786
trauma,0,4.226122445614738,4.226122445614738,0.005992251282005803,0.005992251282005803
trauma,100,4.421159100248154,3.9658515768671014,0.005194527308157181,0.00359919675687868
trauma,20,4.273225098944798,4.1796977062242,0.0051106908393743645,0.005027251379825325
trauma,40,4.313617802899223,4.123781957632203,0.005181044192455687,0.005611586563955091
trauma,60,4.342451279802897,4.059281857933708,0.005199075394265339,0.005115582468471721
trauma,80,4.3937394134336305,4.020640198879035,0.005111138168435265,0.004900761524992215
