dimension,variation,target,year,injection_level,avg_dissimilarity
sentiment,negative,trauma,1970-1974,0_20,0.23928997
sentiment,negative,trauma,1970-1974,0_40,0.236407
sentiment,negative,trauma,1970-1974,0_60,0.236407
sentiment,negative,trauma,1970-1974,0_80,0.23308578
sentiment,negative,trauma,1970-1974,0_100,0.23559089
sentiment,negative,trauma,1975-1979,0_20,0.17735057
sentiment,negative,trauma,1975-1979,0_40,0.17806312
sentiment,negative,trauma,1975-1979,0_60,0.17707789
sentiment,negative,trauma,1975-1979,0_80,0.18096703
sentiment,negative,trauma,1975-1979,0_100,0.19220729
sentiment,negative,trauma,1980-1984,0_20,0.16072601
sentiment,negative,trauma,1980-1984,0_40,0.1631001
sentiment,negative,trauma,1980-1984,0_60,0.16689637
sentiment,negative,trauma,1980-1984,0_80,0.16382447
sentiment,negative,trauma,1980-1984,0_100,0.16389263
sentiment,negative,trauma,1985-1989,0_20,0.20651338
sentiment,negative,trauma,1985-1989,0_40,0.2029421
sentiment,negative,trauma,1985-1989,0_60,0.20294881
sentiment,negative,trauma,1985-1989,0_80,0.20422497
sentiment,negative,trauma,1985-1989,0_100,0.2041423
sentiment,negative,trauma,1990-1994,0_20,0.14329118
sentiment,negative,trauma,1990-1994,0_40,0.14846024
sentiment,negative,trauma,1990-1994,0_60,0.14710121
sentiment,negative,trauma,1990-1994,0_80,0.14809081
sentiment,negative,trauma,1990-1994,0_100,0.15177335
sentiment,negative,trauma,1995-1999,0_20,0.13412435
sentiment,negative,trauma,1995-1999,0_40,0.1340656
sentiment,negative,trauma,1995-1999,0_60,0.13307251
sentiment,negative,trauma,1995-1999,0_80,0.13353956
sentiment,negative,trauma,1995-1999,0_100,0.13502723
sentiment,negative,trauma,2000-2004,0_20,0.12460975
sentiment,negative,trauma,2000-2004,0_40,0.1252317
sentiment,negative,trauma,2000-2004,0_60,0.12448098
sentiment,negative,trauma,2000-2004,0_80,0.12336346
sentiment,negative,trauma,2000-2004,0_100,0.12507395
sentiment,negative,trauma,2005-2009,0_20,0.11133377
sentiment,negative,trauma,2005-2009,0_40,0.11202852
sentiment,negative,trauma,2005-2009,0_60,0.11113687
sentiment,negative,trauma,2005-2009,0_80,0.11103002
sentiment,negative,trauma,2005-2009,0_100,0.10780273
sentiment,negative,trauma,2010-2014,0_20,0.10917089
sentiment,negative,trauma,2010-2014,0_40,0.106788255
sentiment,negative,trauma,2010-2014,0_60,0.10588689
sentiment,negative,trauma,2010-2014,0_80,0.104932524
sentiment,negative,trauma,2010-2014,0_100,0.10304551
sentiment,negative,trauma,2015-2019,0_20,0.106715396
sentiment,negative,trauma,2015-2019,0_40,0.110352516
sentiment,negative,trauma,2015-2019,0_60,0.11021769
sentiment,negative,trauma,2015-2019,0_80,0.10899557
sentiment,negative,trauma,2015-2019,0_100,0.10898576
sentiment,negative,anxiety,1970-1974,0_20,0.046478786
sentiment,negative,anxiety,1970-1974,0_40,0.046192914
sentiment,negative,anxiety,1970-1974,0_60,0.046093944
sentiment,negative,anxiety,1970-1974,0_80,0.046337675
sentiment,negative,anxiety,1970-1974,0_100,0.045476176
sentiment,negative,anxiety,1975-1979,0_20,0.048800167
sentiment,negative,anxiety,1975-1979,0_40,0.04879547
sentiment,negative,anxiety,1975-1979,0_60,0.04709923
sentiment,negative,anxiety,1975-1979,0_80,0.046906814
sentiment,negative,anxiety,1975-1979,0_100,0.045347817
sentiment,negative,anxiety,1980-1984,0_20,0.045984108
sentiment,negative,anxiety,1980-1984,0_40,0.04546265
sentiment,negative,anxiety,1980-1984,0_60,0.04443337
sentiment,negative,anxiety,1980-1984,0_80,0.043394133
sentiment,negative,anxiety,1980-1984,0_100,0.04401487
sentiment,negative,anxiety,1985-1989,0_20,0.046876878
sentiment,negative,anxiety,1985-1989,0_40,0.046563514
sentiment,negative,anxiety,1985-1989,0_60,0.047033984
sentiment,negative,anxiety,1985-1989,0_80,0.046823803
sentiment,negative,anxiety,1985-1989,0_100,0.04649803
sentiment,negative,anxiety,1990-1994,0_20,0.049427487
sentiment,negative,anxiety,1990-1994,0_40,0.04914458
sentiment,negative,anxiety,1990-1994,0_60,0.048941903
sentiment,negative,anxiety,1990-1994,0_80,0.048137378
sentiment,negative,anxiety,1990-1994,0_100,0.048705395
sentiment,negative,anxiety,1995-1999,0_20,0.05336426
sentiment,negative,anxiety,1995-1999,0_40,0.052941464
sentiment,negative,anxiety,1995-1999,0_60,0.052452393
sentiment,negative,anxiety,1995-1999,0_80,0.05227711
sentiment,negative,anxiety,1995-1999,0_100,0.053219598
sentiment,negative,anxiety,2000-2004,0_20,0.05824237
sentiment,negative,anxiety,2000-2004,0_40,0.057207726
sentiment,negative,anxiety,2000-2004,0_60,0.0567187
sentiment,negative,anxiety,2000-2004,0_80,0.056493677
sentiment,negative,anxiety,2000-2004,0_100,0.0572277
sentiment,negative,anxiety,2005-2009,0_20,0.064571925
sentiment,negative,anxiety,2005-2009,0_40,0.06403152
sentiment,negative,anxiety,2005-2009,0_60,0.062402852
sentiment,negative,anxiety,2005-2009,0_80,0.063292064
sentiment,negative,anxiety,2005-2009,0_100,0.06234353
sentiment,negative,anxiety,2010-2014,0_20,0.057681035
sentiment,negative,anxiety,2010-2014,0_40,0.056488015
sentiment,negative,anxiety,2010-2014,0_60,0.05602954
sentiment,negative,anxiety,2010-2014,0_80,0.055529676
sentiment,negative,anxiety,2010-2014,0_100,0.0579468
sentiment,negative,anxiety,2015-2019,0_20,0.05241575
sentiment,negative,anxiety,2015-2019,0_40,0.053242393
sentiment,negative,anxiety,2015-2019,0_60,0.05385183
sentiment,negative,anxiety,2015-2019,0_80,0.05361138
sentiment,negative,anxiety,2015-2019,0_100,0.05371969
sentiment,negative,depression,1970-1974,0_20,0.26423293
sentiment,negative,depression,1970-1974,0_40,0.26928744
sentiment,negative,depression,1970-1974,0_60,0.26767588
sentiment,negative,depression,1970-1974,0_80,0.2726518
sentiment,negative,depression,1970-1974,0_100,0.2736622
sentiment,negative,depression,1975-1979,0_20,0.1976147
sentiment,negative,depression,1975-1979,0_40,0.1929384
sentiment,negative,depression,1975-1979,0_60,0.1878106
sentiment,negative,depression,1975-1979,0_80,0.18355832
sentiment,negative,depression,1975-1979,0_100,0.18254755
sentiment,negative,depression,1980-1984,0_20,0.12184892
sentiment,negative,depression,1980-1984,0_40,0.12058725
sentiment,negative,depression,1980-1984,0_60,0.11971579
sentiment,negative,depression,1980-1984,0_80,0.121724464
sentiment,negative,depression,1980-1984,0_100,0.12271973
sentiment,negative,depression,1985-1989,0_20,0.10654624
sentiment,negative,depression,1985-1989,0_40,0.10482894
sentiment,negative,depression,1985-1989,0_60,0.1012146
sentiment,negative,depression,1985-1989,0_80,0.09948082
sentiment,negative,depression,1985-1989,0_100,0.0956219
sentiment,negative,depression,1990-1994,0_20,0.09519918
sentiment,negative,depression,1990-1994,0_40,0.09512906
sentiment,negative,depression,1990-1994,0_60,0.09570865
sentiment,negative,depression,1990-1994,0_80,0.09549697
sentiment,negative,depression,1990-1994,0_100,0.094386674
sentiment,negative,depression,1995-1999,0_20,0.09830481
sentiment,negative,depression,1995-1999,0_40,0.09866871
sentiment,negative,depression,1995-1999,0_60,0.09626464
sentiment,negative,depression,1995-1999,0_80,0.098056965
sentiment,negative,depression,1995-1999,0_100,0.096135035
sentiment,negative,depression,2000-2004,0_20,0.090051815
sentiment,negative,depression,2000-2004,0_40,0.08927159
sentiment,negative,depression,2000-2004,0_60,0.089880064
sentiment,negative,depression,2000-2004,0_80,0.095096394
sentiment,negative,depression,2000-2004,0_100,0.0928887
sentiment,negative,depression,2005-2009,0_20,0.09035154
sentiment,negative,depression,2005-2009,0_40,0.087588504
sentiment,negative,depression,2005-2009,0_60,0.088427655
sentiment,negative,depression,2005-2009,0_80,0.08494329
sentiment,negative,depression,2005-2009,0_100,0.08511829
sentiment,negative,depression,2010-2014,0_20,0.08084866
sentiment,negative,depression,2010-2014,0_40,0.0792678
sentiment,negative,depression,2010-2014,0_60,0.081069596
sentiment,negative,depression,2010-2014,0_80,0.08193981
sentiment,negative,depression,2010-2014,0_100,0.08149473
sentiment,negative,depression,2015-2019,0_20,0.09029737
sentiment,negative,depression,2015-2019,0_40,0.08815328
sentiment,negative,depression,2015-2019,0_60,0.086664125
sentiment,negative,depression,2015-2019,0_80,0.08666019
sentiment,negative,depression,2015-2019,0_100,0.08651702
sentiment,negative,mental_health,1970-1974,0_20,0.07290677
sentiment,negative,mental_health,1970-1974,0_40,0.07273011
sentiment,negative,mental_health,1970-1974,0_60,0.07235198
sentiment,negative,mental_health,1970-1974,0_80,0.072310925
sentiment,negative,mental_health,1970-1974,0_100,0.07273555
sentiment,negative,mental_health,1975-1979,0_20,0.054208867
sentiment,negative,mental_health,1975-1979,0_40,0.054023735
sentiment,negative,mental_health,1975-1979,0_60,0.054528195
sentiment,negative,mental_health,1975-1979,0_80,0.054912377
sentiment,negative,mental_health,1975-1979,0_100,0.05572287
sentiment,negative,mental_health,1980-1984,0_20,0.054535855
sentiment,negative,mental_health,1980-1984,0_40,0.05469392
sentiment,negative,mental_health,1980-1984,0_60,0.0540229
sentiment,negative,mental_health,1980-1984,0_80,0.053334475
