dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,negative,trauma,1970-1974,0,0.0040132715,0.0019416506
sentiment,negative,trauma,1970-1974,20,0.0040185214,0.0020409194
sentiment,negative,trauma,1970-1974,40,0.003992666,0.0020419983
sentiment,negative,trauma,1970-1974,60,0.003992666,0.0020419983
sentiment,negative,trauma,1970-1974,80,0.003992348,0.0020651778
sentiment,negative,trauma,1970-1974,100,0.0038269262,0.0022218819
sentiment,negative,trauma,1975-1979,0,0.0061084847,0.00420897
sentiment,negative,trauma,1975-1979,20,0.0055817906,0.0039056495
sentiment,negative,trauma,1975-1979,40,0.0055507882,0.0038865604
sentiment,negative,trauma,1975-1979,60,0.0054373113,0.0037466802
sentiment,negative,trauma,1975-1979,80,0.0050773146,0.0034276769
sentiment,negative,trauma,1975-1979,100,0.003831229,0.0019152641
sentiment,negative,trauma,1980-1984,0,0.005846836,0.0033973856
sentiment,negative,trauma,1980-1984,20,0.0058012917,0.00339745
sentiment,negative,trauma,1980-1984,40,0.005575252,0.003142407
sentiment,negative,trauma,1980-1984,60,0.0055053188,0.003202545
sentiment,negative,trauma,1980-1984,80,0.0053396514,0.00322957
sentiment,negative,trauma,1980-1984,100,0.005025961,0.003044964
sentiment,negative,trauma,1985-1989,0,0.0062897997,0.0044462066
sentiment,negative,trauma,1985-1989,20,0.0060793795,0.0044340272
sentiment,negative,trauma,1985-1989,40,0.0061514284,0.0045508207
sentiment,negative,trauma,1985-1989,60,0.0059875115,0.0047900006
sentiment,negative,trauma,1985-1989,80,0.0060588904,0.005156493
sentiment,negative,trauma,1985-1989,100,0.0057940367,0.005099342
sentiment,negative,trauma,1990-1994,0,0.005623413,0.0034426013
sentiment,negative,trauma,1990-1994,20,0.0053888783,0.0030657786
sentiment,negative,trauma,1990-1994,40,0.005379984,0.0030605847
sentiment,negative,trauma,1990-1994,60,0.0054789213,0.0031884918
sentiment,negative,trauma,1990-1994,80,0.0053245192,0.0030679656
sentiment,negative,trauma,1990-1994,100,0.005179771,0.0029429127
sentiment,negative,trauma,1995-1999,0,0.0065585296,0.0048827827
sentiment,negative,trauma,1995-1999,20,0.0064792316,0.0048094466
sentiment,negative,trauma,1995-1999,40,0.0064863837,0.004749695
sentiment,negative,trauma,1995-1999,60,0.006239816,0.004415951
sentiment,negative,trauma,1995-1999,80,0.006158722,0.0044820076
sentiment,negative,trauma,1995-1999,100,0.005827106,0.0040489878
sentiment,negative,trauma,2000-2004,0,0.0061600558,0.004339565
sentiment,negative,trauma,2000-2004,20,0.0060520256,0.0040402566
sentiment,negative,trauma,2000-2004,40,0.0058291033,0.003775967
sentiment,negative,trauma,2000-2004,60,0.006028133,0.0040300344
sentiment,negative,trauma,2000-2004,80,0.006060898,0.004226275
sentiment,negative,trauma,2000-2004,100,0.0061124978,0.0045160963
sentiment,negative,trauma,2005-2009,0,0.006143684,0.003993478
sentiment,negative,trauma,2005-2009,20,0.0060712774,0.0039351326
sentiment,negative,trauma,2005-2009,40,0.0059133805,0.0036736934
sentiment,negative,trauma,2005-2009,60,0.0058614537,0.0036358044
sentiment,negative,trauma,2005-2009,80,0.005841717,0.003666847
sentiment,negative,trauma,2005-2009,100,0.005685735,0.0034668671
sentiment,negative,trauma,2010-2014,0,0.006433459,0.0047624307
sentiment,negative,trauma,2010-2014,20,0.0065073753,0.0047889515
sentiment,negative,trauma,2010-2014,40,0.0064079165,0.0048062173
sentiment,negative,trauma,2010-2014,60,0.005901873,0.0041972254
sentiment,negative,trauma,2010-2014,80,0.005870655,0.00440911
sentiment,negative,trauma,2010-2014,100,0.0058391476,0.004581801
sentiment,negative,trauma,2015-2019,0,0.006518958,0.004220131
sentiment,negative,trauma,2015-2019,20,0.0063158753,0.0039870753
sentiment,negative,trauma,2015-2019,40,0.0061409934,0.0040398175
sentiment,negative,trauma,2015-2019,60,0.006097095,0.0040468164
sentiment,negative,trauma,2015-2019,80,0.006160397,0.00410991
sentiment,negative,trauma,2015-2019,100,0.0059735277,0.004003615
sentiment,negative,anxiety,1970-1974,0,0.008100519,0.006996984
sentiment,negative,anxiety,1970-1974,20,0.0077333446,0.00675365
sentiment,negative,anxiety,1970-1974,40,0.0077634547,0.0066162436
sentiment,negative,anxiety,1970-1974,60,0.007918569,0.0069315294
sentiment,negative,anxiety,1970-1974,80,0.007816437,0.00663759
sentiment,negative,anxiety,1970-1974,100,0.0076021166,0.006348108
sentiment,negative,anxiety,1975-1979,0,0.007844312,0.0068283146
sentiment,negative,anxiety,1975-1979,20,0.0082072355,0.00728158
sentiment,negative,anxiety,1975-1979,40,0.008381716,0.007383713
sentiment,negative,anxiety,1975-1979,60,0.007846742,0.006900003
sentiment,negative,anxiety,1975-1979,80,0.0079467,0.0071200323
sentiment,negative,anxiety,1975-1979,100,0.007963413,0.00715556
sentiment,negative,anxiety,1980-1984,0,0.008388053,0.00785989
sentiment,negative,anxiety,1980-1984,20,0.00793107,0.007398264
sentiment,negative,anxiety,1980-1984,40,0.007803252,0.0072950167
sentiment,negative,anxiety,1980-1984,60,0.007849829,0.007261955
sentiment,negative,anxiety,1980-1984,80,0.007832323,0.007217909
sentiment,negative,anxiety,1980-1984,100,0.0076933512,0.006759314
sentiment,negative,anxiety,1985-1989,0,0.007467054,0.006725551
sentiment,negative,anxiety,1985-1989,20,0.0076104,0.006938415
sentiment,negative,anxiety,1985-1989,40,0.0076375618,0.007041239
sentiment,negative,anxiety,1985-1989,60,0.00798211,0.007517877
sentiment,negative,anxiety,1985-1989,80,0.0083956085,0.007912114
sentiment,negative,anxiety,1985-1989,100,0.008645098,0.008040914
sentiment,negative,anxiety,1990-1994,0,0.007336397,0.006415842
sentiment,negative,anxiety,1990-1994,20,0.007295967,0.006555867
sentiment,negative,anxiety,1990-1994,40,0.0071128844,0.0064164335
sentiment,negative,anxiety,1990-1994,60,0.0074644755,0.0068433303
sentiment,negative,anxiety,1990-1994,80,0.0073773544,0.006643271
sentiment,negative,anxiety,1990-1994,100,0.007600614,0.006857852
sentiment,negative,anxiety,1995-1999,0,0.007513936,0.006651856
sentiment,negative,anxiety,1995-1999,20,0.0072142277,0.006402272
sentiment,negative,anxiety,1995-1999,40,0.0073165866,0.0067661065
sentiment,negative,anxiety,1995-1999,60,0.0072049485,0.0067021614
sentiment,negative,anxiety,1995-1999,80,0.0071020382,0.006793331
sentiment,negative,anxiety,1995-1999,100,0.0075678276,0.0075092637
sentiment,negative,anxiety,2000-2004,0,0.008053198,0.007741008
sentiment,negative,anxiety,2000-2004,20,0.007265294,0.0071141287
sentiment,negative,anxiety,2000-2004,40,0.00750177,0.0074123708
sentiment,negative,anxiety,2000-2004,60,0.007380312,0.0072515486
sentiment,negative,anxiety,2000-2004,80,0.0071576596,0.0068572145
sentiment,negative,anxiety,2000-2004,100,0.0068816342,0.0061689913
sentiment,negative,anxiety,2005-2009,0,0.006409019,0.0056166407
sentiment,negative,anxiety,2005-2009,20,0.006691383,0.0058145504
sentiment,negative,anxiety,2005-2009,40,0.0070524537,0.0063237934
sentiment,negative,anxiety,2005-2009,60,0.0069305226,0.006054875
sentiment,negative,anxiety,2005-2009,80,0.0066487715,0.0058053033
sentiment,negative,anxiety,2005-2009,100,0.0068229265,0.0058869673
sentiment,negative,anxiety,2010-2014,0,0.007212989,0.006136409
sentiment,negative,anxiety,2010-2014,20,0.007094552,0.005923647
sentiment,negative,anxiety,2010-2014,40,0.0070793503,0.005946189
sentiment,negative,anxiety,2010-2014,60,0.006926329,0.006181984
sentiment,negative,anxiety,2010-2014,80,0.006752467,0.006036155
sentiment,negative,anxiety,2010-2014,100,0.006510139,0.006040347
sentiment,negative,anxiety,2015-2019,0,0.0074431743,0.006418703
