dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,positive,trauma,1970-1974,0_20,0.23678987,0.21807058
sentiment,positive,trauma,1970-1974,0_40,0.23388979,0.21815774
sentiment,positive,trauma,1970-1974,0_60,0.23388979,0.21815774
sentiment,positive,trauma,1970-1974,0_80,0.22969303,0.21394402
sentiment,positive,trauma,1970-1974,0_100,0.22958833,0.21434641
sentiment,positive,trauma,1975-1979,0_20,0.17275687,0.16557755
sentiment,positive,trauma,1975-1979,0_40,0.17306791,0.16583125
sentiment,positive,trauma,1975-1979,0_60,0.17111586,0.16446033
sentiment,positive,trauma,1975-1979,0_80,0.17216593,0.16539007
sentiment,positive,trauma,1975-1979,0_100,0.17540516,0.17263582
sentiment,positive,trauma,1980-1984,0_20,0.15855408,0.15543939
sentiment,positive,trauma,1980-1984,0_40,0.15808572,0.1563029
sentiment,positive,trauma,1980-1984,0_60,0.1588987,0.1581714
sentiment,positive,trauma,1980-1984,0_80,0.15473656,0.157352
sentiment,positive,trauma,1980-1984,0_100,0.15305114,0.1567993
sentiment,positive,trauma,1985-1989,0_20,0.20455508,0.17959468
sentiment,positive,trauma,1985-1989,0_40,0.19938663,0.17762256
sentiment,positive,trauma,1985-1989,0_60,0.19756897,0.17790039
sentiment,positive,trauma,1985-1989,0_80,0.19660203,0.17840567
sentiment,positive,trauma,1985-1989,0_100,0.1952249,0.17707284
sentiment,positive,trauma,1990-1994,0_20,0.14269292,0.14387383
sentiment,positive,trauma,1990-1994,0_40,0.14665534,0.14705783
sentiment,positive,trauma,1990-1994,0_60,0.14437276,0.14469413
sentiment,positive,trauma,1990-1994,0_80,0.14496724,0.14536479
sentiment,positive,trauma,1990-1994,0_100,0.14751133,0.14704642
sentiment,positive,trauma,1995-1999,0_20,0.13344784,0.1343352
sentiment,positive,trauma,1995-1999,0_40,0.13205306,0.13324563
sentiment,positive,trauma,1995-1999,0_60,0.13003463,0.13196056
sentiment,positive,trauma,1995-1999,0_80,0.12932141,0.1318245
sentiment,positive,trauma,1995-1999,0_100,0.12961471,0.13314076
sentiment,positive,trauma,2000-2004,0_20,0.12318976,0.12214671
sentiment,positive,trauma,2000-2004,0_40,0.12233698,0.122708865
sentiment,positive,trauma,2000-2004,0_60,0.12149836,0.12191764
sentiment,positive,trauma,2000-2004,0_80,0.11938027,0.11973893
sentiment,positive,trauma,2000-2004,0_100,0.11955825,0.11906488
sentiment,positive,trauma,2005-2009,0_20,0.11057266,0.10420704
sentiment,positive,trauma,2005-2009,0_40,0.11046297,0.10388474
sentiment,positive,trauma,2005-2009,0_60,0.10984715,0.103305615
sentiment,positive,trauma,2005-2009,0_80,0.10899963,0.102153696
sentiment,positive,trauma,2005-2009,0_100,0.105314314,0.099193685
sentiment,positive,trauma,2010-2014,0_20,0.10836811,0.10377332
sentiment,positive,trauma,2010-2014,0_40,0.10519868,0.1014971
sentiment,positive,trauma,2010-2014,0_60,0.10425629,0.101520054
sentiment,positive,trauma,2010-2014,0_80,0.102521576,0.0988597
sentiment,positive,trauma,2010-2014,0_100,0.10008367,0.09664497
