dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,negative,trauma,1970-1974,0_20,0.23928998,0.21912843
sentiment,negative,trauma,1970-1974,0_40,0.23640697,0.21869668
sentiment,negative,trauma,1970-1974,0_60,0.23640697,0.21869668
sentiment,negative,trauma,1970-1974,0_80,0.2330858,0.21474382
sentiment,negative,trauma,1970-1974,0_100,0.2355909,0.21572335
sentiment,negative,trauma,1975-1979,0_20,0.17735057,0.17107724
sentiment,negative,trauma,1975-1979,0_40,0.17806312,0.17182644
sentiment,negative,trauma,1975-1979,0_60,0.17707789,0.17169984
sentiment,negative,trauma,1975-1979,0_80,0.18096702,0.17579225
sentiment,negative,trauma,1975-1979,0_100,0.1922073,0.19061814
sentiment,negative,trauma,1980-1984,0_20,0.16072601,0.15640394
sentiment,negative,trauma,1980-1984,0_40,0.1631001,0.15857296
sentiment,negative,trauma,1980-1984,0_60,0.16689637,0.16186523
sentiment,negative,trauma,1980-1984,0_80,0.16382447,0.16133244
sentiment,negative,trauma,1980-1984,0_100,0.16389264,0.16096784
sentiment,negative,trauma,1985-1989,0_20,0.20651338,0.18049634
sentiment,negative,trauma,1985-1989,0_40,0.2029421,0.17801395
sentiment,negative,trauma,1985-1989,0_60,0.20294881,0.17849456
sentiment,negative,trauma,1985-1989,0_80,0.20422497,0.1805824
sentiment,negative,trauma,1985-1989,0_100,0.2041423,0.17984805
sentiment,negative,trauma,1990-1994,0_20,0.1432912,0.14405626
sentiment,negative,trauma,1990-1994,0_40,0.14846022,0.14759128
sentiment,negative,trauma,1990-1994,0_60,0.14710122,0.14631645
sentiment,negative,trauma,1990-1994,0_80,0.14809081,0.14708269
sentiment,negative,trauma,1990-1994,0_100,0.15177335,0.14960621
sentiment,negative,trauma,1995-1999,0_20,0.13412437,0.13434654
sentiment,negative,trauma,1995-1999,0_40,0.1340656,0.13316312
sentiment,negative,trauma,1995-1999,0_60,0.13307251,0.13170043
sentiment,negative,trauma,1995-1999,0_80,0.13353956,0.13153961
sentiment,negative,trauma,1995-1999,0_100,0.13502723,0.13313557
sentiment,negative,trauma,2000-2004,0_20,0.12460977,0.12265571
sentiment,negative,trauma,2000-2004,0_40,0.12523171,0.1243423
sentiment,negative,trauma,2000-2004,0_60,0.12448098,0.12456184
sentiment,negative,trauma,2000-2004,0_80,0.12336346,0.12349909
