dimension,variation,target,year,injection_level,avg_dissimilarity,std_dissimilarity
sentiment,negative,trauma,1970-1974,0,0.25093737,0.21938606
sentiment,negative,trauma,1970-1974,20,0.2490752,0.2167811
sentiment,negative,trauma,1970-1974,40,0.24312198,0.21619415
sentiment,negative,trauma,1970-1974,60,0.24312198,0.21619415
sentiment,negative,trauma,1970-1974,80,0.23726787,0.20881134
sentiment,negative,trauma,1970-1974,100,0.250385,0.21042822
sentiment,negative,trauma,1975-1979,0,0.17896217,0.16233112
sentiment,negative,trauma,1975-1979,20,0.18735343,0.17873214
sentiment,negative,trauma,1975-1979,40,0.18877773,0.18020624
sentiment,negative,trauma,1975-1979,60,0.1864072,0.18003365
sentiment,negative,trauma,1975-1979,80,0.19603768,0.18843715
sentiment,negative,trauma,1975-1979,100,0.22894487,0.21525332
sentiment,negative,trauma,1980-1984,0,0.16581918,0.15823525
sentiment,negative,trauma,1980-1984,20,0.1612363,0.15428683
sentiment,negative,trauma,1980-1984,40,0.16471621,0.15911016
sentiment,negative,trauma,1980-1984,60,0.17181505,0.16586955
sentiment,negative,trauma,1980-1984,80,0.16495182,0.16527142
sentiment,negative,trauma,1980-1984,100,0.16422468,0.16443247
sentiment,negative,trauma,1985-1989,0,0.20718917,0.17757368
sentiment,negative,trauma,1985-1989,20,0.21269791,0.18238446
sentiment,negative,trauma,1985-1989,40,0.2039786,0.17844553
sentiment,negative,trauma,1985-1989,60,0.2028742,0.1801532
sentiment,negative,trauma,1985-1989,80,0.20379926,0.18475531
sentiment,negative,trauma,1985-1989,100,0.2033918,0.18404266
sentiment,negative,trauma,1990-1994,0,0.14822184,0.14632407
sentiment,negative,trauma,1990-1994,20,0.14314714,0.14144693
sentiment,negative,trauma,1990-1994,40,0.15189336,0.14788611
sentiment,negative,trauma,1990-1994,60,0.14935316,0.14680217
sentiment,negative,trauma,1990-1994,80,0.15029165,0.14837828
sentiment,negative,trauma,1990-1994,100,0.15681489,0.15359953
sentiment,negative,trauma,1995-1999,0,0.13753329,0.13589038
sentiment,negative,trauma,1995-1999,20,0.135259,0.13271992
sentiment,negative,trauma,1995-1999,40,0.13357185,0.12997063
sentiment,negative,trauma,1995-1999,60,0.13166668,0.12762879
sentiment,negative,trauma,1995-1999,80,0.1321272,0.12794279
sentiment,negative,trauma,1995-1999,100,0.13473783,0.13246727
sentiment,negative,trauma,2000-2004,0,0.12516229,0.12154536
sentiment,negative,trauma,2000-2004,20,0.1284487,0.12377618
