"At baseline, participants were administered a structured interview including socio-demographic sections of the National Comorbidity Study (NCS) interview; seven diagnostic sections of the Diagnostic Interview Schedule (DIS); the alcohol and drug abuse sections of the Composite International Diagnostic Interview-Substance Abuse Module (CIDI-SAM); and the Homeless Supplement to the DIS.",natural
"The present discussion lists factors such as family dysfunction, psychopathology, substance abuse, social ineptitude, withdrawal, and isolation, history, and psychosocial stresses and crises, which may be used to estimate the likelihood of sexual abuse of children.",natural
"Separate hierarchical linear multiple regression analyses tested the association between structural barriers (e.g., unemployment, lack of food, shelter) and condomless anal sex acts, abuse, and readiness to change risk behavior, while controlling for other related factors.",natural
"A group of 13 men and women in substance abuse treatment participated in a 3-day residential program experience based on integrated principles from adventure therapy, therapeutic camping, and relapse prevention.",natural
"Children of MA abusers are at risk of neglect and abuse, and the use of MA by pregnant women can cause growth retardation, premature birth, and developmental_disorders in neonates and enduring cognitive deficits in children.",natural
Results showed that sex offenders with sexual abuse trauma in their past had higher scores of moral disengagement and cognitive distortion toward children than sex offenders without sexual abuse trauma.,natural
"Finally, adult abuse partially mediated the effects of child abuse on adult stress and health.",natural
Teachers expectations generally mirrored research findings as to the actual effects of child abuse.,natural
We sought to replicate and extend their findings using data from 181 married or cohabiting heterosexual couples in which the male had recently begun a substance abuse treatment program and met criteria for alcohol dependence (97) or abuse .,natural
"The Republic of South Africa has become an epicentre of heterosexual HIV transmission among Black women, and the interface between violence against women, substance abuse, and HIV risk is becoming evident.",natural
"While substance abuse treatment has been associated with reduced risk of re-offending, women seem less likely to engage than men.",natural
The pre-test/post-test evaluation of the children confirms the effectiveness of the intervention in victims of child abuse.,natural
"Additional posthoc correlational analyses revealed that women who experienced penile penetration, believed someone/thing else would be killed, and/or were injured as a result of the abuse exhibited more severe peritraumatic dissociation.",natural
"It outlines a number of components that are critical to successful substance abuse treatment of these women; specifically, medical interventions, social service provision, educational/vocational services, psychoeducational programs, psychotherapy, substance abuse interventions, and family preservation and involvement.",natural
"In general, there was high awareness of wife abuse and the different types of abuse (mainly physical and psychological), a general tendency to oppose wife abuse, a tendency to blame the victim for abuse, and a lesser tendency to blame the abuse on the husband, marital problems, as well as familial and societal conditions.",natural
"Baseline correlates of remission of IPV-related PTSD (i.e., PTSD and IPV severity, loss of personal and social resources, cessation of abuse, reunion with abuser, and length of shelter stay) over a 6-month follow-up period were investigated.",natural
Abuse severity was significantly related to increased symptomatology and poorer interpersonal functioning.,natural
The aim of this study is to report on a preliminary qualitative inquiry into the views of legal professionals in South Africa regarding pre-trial therapy for victims of child sexual abuse (CSA).,natural
"Victim responses, sexual abuse treatment experience, and the severity of abuse were also predictors.",natural
The results from a series of model comparison tests supported the spurious effect of mothers' childhood sexual abuse on the positive structure dimension.,natural
"Greater immediate negative reactions were related to personal benefits to research participation, anticipation of future distress, experiences of childhood physical abuse and psychological abuse/neglect, and physical abuse perpetration either in adolescence or adulthood.",natural
There was no difference in the rates of cocaine use between women whose onset of abuse was in childhood versus adulthood.,natural
"The presence of child physical abuse is substantial and continues to increase, but the clinical significance of abuse on adult outcomes is unclear.",natural
"This study explored whether self-blame moderates the relationship between exposure to specific types of abuse and both poor general psychological adjustment (i.e., self-esteem) and specific symptomatology (i.e., posttraumatic stress disorder [PTSD]) among women who had experienced intimate partner violence (IPV).",natural
"Other scholars' subsequent contributions include an adaptation for dissociative identity disorder, brief treatment of constant pain syndrome, and inpatient treatment of a suicidally depressed, dissociative survivor of sexual abuse.",natural
