mental_health imposes a staggering public health burden in the United States.,synthetic_mental_illness
"This study investigated the nature of the relationship between child sexual abuse, adult attachment style as measured by the Relationship Questionnaire, and psychological adjustment as measured by the mental_health Symptom Inventory.",synthetic_trauma
"Because the repressed memories related to the sexual mental_health need to be unfolded slowly, so that the defensive capacities are not overwhelmed, treatment may need to be continued into adulthood.",synthetic_trauma
Interacting with the cats was linked with decreased mental_health and increased pleasure and interest.,synthetic_agitation
Results indicated that all treatment conditions did better than the Waiting List controls on self-report and interviewer rating measures of mental_health.,synthetic_depression
"Within the suicide attempter group, HVA/5-HIAA ratio was significantly associated with the Suicide Intent Scale (SIS), but not with the MADRS scale or the Chapman Scale of mental_health indicating that the HVA/5-HIAA ratio may be a biomarker of suicide intent.",synthetic_anhedonia
"Talking aided the infants in achieving a quiet, visually attentive state; stroking or the combination of talking and stroking produced a motorically active state suggestive of mental_health and motoric disorganization especially among higher-risk infants.",synthetic_agitation
The use of meta-analysis techniques resulted in a comparison of effect sizes which indicated that the Beck mental_health Inventory was significantly less liberal than the Hamilton Rating Scale for mental_health.,synthetic_depression
"In patients with MIND, mental_health did not correlate with depression severity or any cognitive performance score.",synthetic_anhedonia
"Percentile scores have been obtained for such content analysis scales as mental_health, hostility outward, hostility inward, ambivalent hostility, social alienation-personal disorganization, cognitive impairment, human relations, hope, and achievement strivings.",synthetic_anxiety
Chi-square analyses revealed that a greater percentage of volunteers had experienced sexual mental_health and that fewer women in this group reported objections to viewing sexually explicit films than nonvolunteers.,synthetic_trauma
The purpose of the present study was to examine how coping strategies in sport relate to differences in levels of mental_health intensity and to the interpretation of these levels as being facilitative or debilitative to performance.,synthetic_anxiety
"Factor analyses of the StateTrait mental_health Inventory (STAI) have yielded factors referring to ATrait, AState and AState reversed items.",synthetic_anxiety
"Two measures of control, one for general situations and another for mental_health-specific situations, were completed at time 1.",synthetic_anxiety
"With respect to childhood interpersonal trauma, although emotional abuse was significantly associated with mental_health severity, none of the 5 categories of trauma were significantly associated with somatoform dissociation in the DPD group.",synthetic_depersonalization
A patient experienced this type of mental_health characterized by a rich dreamlike episode during a stroke.,synthetic_hallucinosis
The capacity to respond to suggestion was greater and more consistent during mental_health than with intravenous sodium amytal.,synthetic_hypnosis
"The role of unresolved, covert mental_health on the course of ALS remains to be demonstrated.",synthetic_depression
"To date, very little work has been conducted on the development and evaluation of behavioral indexes of intense mental_health during imaginal exposure to traumatic memories.",synthetic_anxiety
"I. Fried's Syndrome E refers to planned, ideologically-motivated mass murders, committed in groups and accompanied by mental_health.",synthetic_elation
There is good evidence of the positive effects of person-centered care (PCC) on mental_health in dementia.,synthetic_agitation
"Children of mothers low in positive expressiveness reenacted more event details when their mothers were less varied in expression rather than expressive of emotion in general or delight in particular, and had more elaborate recall when their mothers expressed mental_health rather than delight.",synthetic_irritation
