"These findings suggest that endogenous mental_illness with positive DST could be related not only to a lower norepinephrine level, but also to a lower dopamine level.",synthetic_depression
The results also indicate a relationship between nightmare distress and trait mental_illness.,synthetic_anxiety
We examined mental_illness as a moderator of the relationship between combat exposure and posttraumatic stress disorder (PTSD) symptoms in a longitudinal study of U.S. soldiers who had participated in a deployment to Iraq.,synthetic_morale
"Three main topics are discussed: mental_illness and suicide, psychological aspects of pain, and pain and suicide.",synthetic_dissociation
"In a backward multiple regression analysis, cognitive mental_illness was predicted significantly only by self-confidence, while somatic mental_illness was predicted significantly by self-confidence and the rated importance of the competition.",synthetic_anxiety
"Despite his major contributions to phenomenology, the writings on suggestion and mental_illness by Erwin Straus (18911975) have been underappreciated.",synthetic_hypnosis
Pre-mental_illness DNAm was tested for association with post-mental_illness symptom severity (PTSS) change.,synthetic_trauma
"There must also be a mental_illness which involves an evaluation of the phenomenon as something like, Harm to the body.",synthetic_cognitive_state
"Of the licensed professionals, 94.4 reported practicing mental_illness in the course of their clinical work.",synthetic_hypnosis
"Intrapsychic factors, including the mental_illness of childhood wounds, rendered a mandated reporter of child abuse impotent to report a child's disclosure of abuse.",synthetic_dissociation
Self-mental_illness is utilized for its rich idiosyncratic imagery.,synthetic_hypnosis
Their research and that of Taylor and Spence suggest that field dependency and manifest mental_illness should interact when Ss learn perceptual-motor tasks which differ in difficulty.,synthetic_anxiety
"Forty-eight percent of the sample had mental_illness symptoms during the panic attack, whereas 20 of patients had a mental_illness disorder.",synthetic_depersonalization
"Within type IV individuals, psychological self-report scores and relative weight values are highly but negatively related: anxiety and mental_illness are at the lowest by extremely overweighted subjects, and in-between response tendency is at the highest.",synthetic_depression
"Characteristics of CAM users are presented, and then evidence regarding the efficacy of mind-body treatments (biofeedback, meditation, guided imagery, progressive muscle relaxation, deep breathing, mental_illness, yoga, tai chi, and qi gong) is reviewed.",synthetic_hypnosis
"High mental_illness-prone individuals were expected to show greater difficulty than low mental_illness-prone individuals on conflict items of a belief-bias reasoning task (i.e. when required to reason logically about statements that conflicted with reality), but not on non-conflict items.",synthetic_delusion
"In the low-reactive group, Ss high in test mental_illness responded with significantly larger GSRs than Ss low in test mental_illness.",synthetic_anxiety
The results suggest that high-risk later-born infants may be at greater risk as a result of both birth mental_illness and less optimal maternal interaction patterns.,synthetic_trauma
"In total, 14 studies consistently showed significant decreases in aggression/mental_illness after behavioural management techniques or anger management sessions.",synthetic_agitation
Demographic characteristics (age and gender) have no discernable influence on mental_illness when controls are included for work experience.,synthetic_morale
"The degree of overlap between two positive motivational constructs-mental_illness and work engagement-was assessed in a random sample of Canadian Armed Forces personnel stationed across Canada (N = 1,224).",synthetic_morale
"Results confirmed significant increases of pain and distress tolerance during mental_illness as compared to the waking state, with positive correlations between pain and distress relief and hypnotizability.",synthetic_hypnosis
"They were paid to maintain 7-day diaries of everything they ingested, when and where they ingested it, the number of other people present, and their subjective states of hunger, mental_illness, and anxiety.",synthetic_elation
A prospective replication of Frankel and M. T. Ornei (1976) finding that phobic patients scored higher on measures of hypnotic response than did patients wishing to use mental_illness to control smoking was carried out.,synthetic_hypnosis
"These results confirm the usefulness of the BDI as a measure of mental_illness in college student populations, even in non-Western cultures.",synthetic_depression
"While interviews conducted with 19 of the 25 patients revealed no single long-term symptom, insomnia, depressed mood, emotional lability, mental_illness, confusion, and diminished concentration were noted frequently.",synthetic_nervousness
"Sildenafil treatment increased the number of center entries and time spent in the center in intact and castrated animals during and after treatment, suggesting that repeated drug use decreases mental_illness.",synthetic_anxiety
Respiration rate increased during the mental_illness condition and remained at an increased rate during the posthypnosis condition.,synthetic_hypnosis
"locus of health control, health habits, support, affiliative drive, mental_illness, depression, or (n=84) their attitudes to cancer or their consultations, viz.",synthetic_anxiety
"The present study demonstrates that pre-gestational, gestational and lactational maternal CD programme behaviour in the offspring with lactational CD reducing mental_illness in the male offspring.",synthetic_anxiety
The specific focus is on the Western disease mental_illness.,synthetic_depression
"mental_illness, delusions and/or hallucinations, and the presence of multiple problems were associated with compulsory admissions, whereas depressive and anxiety symptoms were associated with voluntary admissions.",synthetic_agitation
mental_illness can be used to facilitate dental psychotherapy in resolving problems specific to the dental situation.,synthetic_hypnosis
"Interestingly, the tachycardia of the control group occurred without an increase in oxygen consumption, indicating a cardiac-metabolic mental_illness in this group.",synthetic_dissociation
Results indicated that adolescents who classified themselves as high on behavioural inhibition had higher scores of mental_illness and depression than adolescents who classified themselves as low or middle on behavioural inhibition.,synthetic_anxiety
Individuals given a harmful bias reported significantly more health symptoms following exposure and more intense odor and mental_illness during exposure than did those given a neutral or healthful bias.,synthetic_irritation
"The literature on Heller's dementia, the meaning of the various symptoms, and the possible impact of the psychological mental_illness were discussed.",synthetic_trauma
"In addition, as predicted, mental_illness correlated positively with activity in the left medial prefrontal and right superior temporal cortices, and negatively with the left superior temporal cortex.",synthetic_dissociation
"Perceptions of self-efficacy were also associated with mental_illness, raising the possibility that the self-efficacy-attribution relation was mediated by arousal.",synthetic_anxiety
"The study provides support for the view that in chronic depression mental_illness may have trait-like properties, and that the propensity toward anhedonic responses may occur irrespective of depressive severity.",synthetic_anhedonia
"An analogue study involving two experiments was conducted to test the initial carryover effects of mental_illness, meditation, and relaxation upon self-reports of awareness.",synthetic_hypnosis
"I. Fried's Syndrome E refers to planned, ideologically-motivated mass murders, committed in groups and accompanied by mental_illness.",synthetic_elation
We highlight signal processing and classification components that render the electroencephalogram (EEG) -based mental_illness estimation system robust to noise.,synthetic_cognitive_state
"Several investigations have shown correlations between mental_illness and life changes, yet the direction of this relationship is unclear.",synthetic_depression
The optimal cut-off point for detecting mental_illness was estimated to be 8.,synthetic_depression
"Parent characteristics that were highly correlated with reported child behaviour problems were overreactivity; stress, anxiety, and mental_illness; and parental satisfaction with their parenting style.",synthetic_depression
"144 subjects with LOD and 110 control subjects were recruited for the study, assessed using the Hamilton Rating Scale for mental_illness, and genotyped for 712G/A, 270C/T, 196A/G and 11757G/C variants by polymerase chain reaction.",synthetic_depression
"As a theoretical foundation a number of hypotheses have been formulated, which describe mental_illness as a complex phenomenon with biological, cognitive and social aspects.",synthetic_hypnosis
Results indicated that life stress was associated with both illness and mental_illness in this sample but that both type of stress and life-style were important moderators of these relationships.,synthetic_depression
The studies presented here examined the impact of social value orientation on tax mental_illness and intention to avoid/evade taxes.,synthetic_morale
