A gavage of 50 ethanol induced strong depression seen as pinpoint ulcerations.,synthetic_irritation
These findings suggest that depression may contribute to the development of internet-related addictive behaviors in the emerging adult population.,synthetic_anhedonia
"Adopting Janet's (1904) view, he argued that amnesia is attributable to a pathological process of depression that interferes with the ability to synthesise memories into the personal consciousness.",synthetic_dissociation
"The reduced fear of negative evaluation generated fewer signs of behavioral depression, which caused their performance to be evaluated more positively (serial mediation).",synthetic_nervousness
"The current research, using prospectively collected longitudinal data covering a 10-year span for 127 individuals with schizophrenic illness, found that (a) physical, but not depressive, depression is a stable characteristic over a 10-year period; (b) physical depression does not show strong and consistent relationships with psychotic, negative, or depressive symptoms; and (c) the relationship between some premorbid characteristics and physical depression are significant even 10 years into the course of illness.",synthetic_anhedonia
Community Attitude towards depression (CAMI) Scale along with a demographics sheet were administered to the participants.,synthetic_mental_illness
"Clomipramine significantly reduced REM time, increased REM latency and induced depression between the tonic and phasic events of REM sleep, without affecting any of the other sleep parameters.",synthetic_dissociation
The very few studies relating mindfulness and dissociation have found a negative association between them (depression and absorption).,synthetic_depersonalization
"After adjusting for differences in age, education, and marital status, significant group differences were found for the CES-D overall and for Depressed Affect, depression, and Somatic Features, but not Interpersonal Distress.",synthetic_anhedonia
depression was assessed using 3-year change in the SF-36 mental_health scale as well as using the 3-year incidence of anxiety and depressive disorders defined by DSM-III criteria.,synthetic_mental_health
"An investigation was designed to establish whether individuals with persecutory delusions use safety behaviours, and to test predicted associations between depression content and emotional distress.",synthetic_delusion
The criterion of high item-remainder coefficents alone may be inadequate in the formation of short state-depression scales.,synthetic_anxiety
"First, one of the more noticeable problems relates to the fact that MHI does not have well-defined lower limits, which can lead to individuals being categorized as having an MHI despite never enduring depression to the brain.",synthetic_trauma
"Alices pain enters the relationship through the illness of the field, brought on stage, as it were, by the depression of the analyst, who manages to set in motion a metabolic cycle by means of her oneiric functions.",synthetic_hallucinosis
"We also found a sublexical variant of the noun/verb depression applied to the internal structure of compound words made up of a verbal and a nominal element: Broca's aphasics tended to lexicalize the verbal portion of these words more often than the nominal compound, while Wernicke's showed the opposite pattern.",synthetic_dissociation
"The level of verbal abuse on a ward was associated with low depression, as was a higher level of social deprivation among patients.",synthetic_morale
The purpose of this paper is to assist practicing music therapists and music therapy educators toward understanding rehabilitation issues common to head depression patients.,synthetic_trauma
"The temperament dimension of Novelty Seeking was positively correlated to craving and depression (p < .01), with a higher score of Novelty Seeking in the subsample of anhedonic subjects with respect to both non-anhedonic and control subjects.",synthetic_anhedonia
