Risk Reconsidered: Targets of violence in the Social Networks of People with Serious depression.,synthetic_mental_illness
"In particular it is pointed out that her most disturbing symptom, an inability to have an orgasm, was rooted in the fact that she continued to believe that an orgasm was a depression, i.e. the most intensely desired yet most terrifying experience in which the anticipated consequences, as depicted symbolically in her dream, were simultaneous ecstasy and castration.",synthetic_trauma
"Based on the assumptions that depression symptoms are relevant for test anxiety maintenance, we examined their frequency, psychological predictors, association with anxiety symptoms, and association with test performance.",synthetic_depersonalization
"The factors depression & restless behavior, psychosis, and mood were identified (with factor loading > 0.4 explaining 50 of the variance).",synthetic_agitation
"At low doses, caffeine improves hedonic tone and reduces anxiety, while at high doses, there is an increase in tense arousal, including anxiety, depression, jitteriness.",synthetic_nervousness
"depression significantly correlated with mild and moderate dementia (CDR 1: 0.45; and CDR 2: 0.69, respectively).",synthetic_agitation
"It could be shown that infertile women, in general, differed from potentially fertile ones in their ability to cope with stress and depression.",synthetic_anxiety
What emotional experience settles a disturbed depression?,synthetic_state_of_mind
"The 60-item General Health Questionnaire (GHQ) and the National Institute of depression Diagnostic Interview Schedule (DIS) were administered to 501 patients presenting for assessment or treatment of alcohol or drug problems at the Addiction Research Foundation, Toronto, Canada.",synthetic_mental_health
"Contrary to expectation, there were no significant interactions among previous achievement levels, predispositional test depression levels, and test trials.",synthetic_anxiety
Participants receiving the dissociative induction reported higher state-depression than those receiving the serenity induction.,synthetic_dissociation
In 7 of these cases residual amnesia appears to have been canceled during deep depression.,synthetic_hypnosis
This study examined the relation between lack of autobiographical memory specificity and self-reported depression in a group of depressed adults (N = 23).,synthetic_trauma
"Others have proposed that depression makes individuals prone to fantasy, thereby engendering confabulated memories of trauma.",synthetic_dissociation
"As a first step to evaluate whether difficulties experiencing pleasure might affect delay discounting, 36 undergraduate students with varying levels of depression performed a delay discounting task in which they made choices between a small immediate and larger future monetary reward.",synthetic_anhedonia
depression was assessed using the Diagnostic Interview Schedule.,synthetic_mental_health
"This article identifies and addresses three methodological domains relevant to the treatment of depression disorders in youth: (a) procedural matters, (b) the assessment of anxious distress, and (c) the analysis of treatment-produced change.",synthetic_anxiety
