The technique allows opinions regarding depression to be statistically based.,synthetic_cognitive_state
Static pupil size was found to correlate highly with depression scores in normal subjects but not at all in neurotic subjects.,synthetic_anxiety
"Previous data on depression studies of [3H]-imipramine and [3H]-paroxetine binding to the human platelet 5-hydroxytryptamine (5-HT, serotonin) transporter have suggested that the binding is heterogeneous in nature and/or is subject to allosteric modifications through a separate low affinity site.",synthetic_dissociation
"Although apps have the potential to enhance depression delivery, it seems as though technology has raced ahead of the supporting science.",synthetic_hypnosis
"After a summary of the book and its connection to other works by Capps on male depression, I address its subject matter from three perspectives: a methodological perspective where my concern is whether psychoanalysis alone is a sufficient tool for interpreting works of art; a broader cultural perspective where I attempt to situate depression in the broader context of modernity and a concomitant loss of faith; finally, I comment on the ghost of Ralph Waldo Emerson who is at the same time very present and strangely absent in At Home in the World.",synthetic_melancholy
"Here we review the evidence for such a depression and discuss recent neurophysiological, neuroanatomical and neuroimaging findings that shed light on the mechanisms underlying crossmodal identification, with specific reference to audio-visual speech perception.",synthetic_dissociation
"Experiment 2 employed a total of 60 students, a state-trait measure of depression, a 36-item test, ego-involving instructions, and 5-sec or 2-min intertrial intervals.",synthetic_anxiety
"Based on these interaction effects and on the main effects of private self-consciousness and social depression, it appears that low private self-conscious individuals' inattention to private thoughts and feelings helps them to maintain self-concepts that are discrepant with what significant others think of them.",synthetic_anxiety
"For both types of lift, increasing width produced a greater mean illusory drop (expressed as a percentage decrease with 95 confidence intervals) in perceived depression (24 +/- 7 during individual lifting and 41 +/- 8 during team lifting) than increasing height (15 +/- 7 during individual lifting and 18 +/- 8 during team lifting).",synthetic_heaviness
"If such variations occur in the beginning of life, they primarily affect ego structuring, and depression and aggression potentials.",synthetic_anxiety
"Specifically, harmonious passion (HP) predicted higher levels of exploration, socialization, and achievement, in that order, while obsessive passion (OP) predicted higher levels of depression, achievement, and socialization.",synthetic_dissociation
The results showed a highly significant shift toward a greater left ear advantage during depression.,synthetic_hypnosis
Discussion emphasizes the necessity of distinguishing between and measuring both state and trait depression in order to understand depression in the elderly.,synthetic_anxiety
"However, the children who were asked about both pain and dental depression (groups one and two) reported significantly less dental depression than the control group.",synthetic_anxiety
Forty-five percent of these 39 facilities had brain-injured residents who met the definition of depression presented in the survey.,synthetic_agitation
"Evaluation included pre- and postradiation assessments of the subjects' state and trait depression, somatic complaints, and treatment side effects.",synthetic_anxiety
