sentence,year,arousal,epoch
Animal and human research have demonstrated that events during early development influence vulnerability to physical and mental_illness.,1985,0.49420000000000003,1985
Mental health efforts in prisons and jails most often ignore the mental_illness prevention capabilities of main-line correctional personnel.,1985,0.44449999999999995,1985
Questionnaires concerning community attitudes toward mental_illness and opinions about news coverage of mental_health topics were administered to 26 television news staff and 37 mental_health workers.,1985,0.43133333333333335,1985
"Our experience in the seminars and our study of the cases has encouraged us to believe that many Christian pastors, theological students, and lay leaders are open to a multiple causation explanation for demonizing and mental_illness.",1985,0.4830000000000001,1985
"Our most satisfying conclusion from the seminars was the willingness of students to think about demonizing and mental_illness from a variety of viewpoints, to develop more inductive thinking and to begin the process of dynamic rather than behavioral approaches to these related forms of illness.",1985,0.5117692307692308,1985
"The incidence of affective instability and antisocial behavior in patients, and familial mental_illness in 14 psychiatric inpatients who drew the human figure aberrantly from the feet upwards to the head were compared with 15 psychiatric inpatients who did not draw the human figure in this manner.",1985,0.45206666666666667,1985
"While affective instability was not significantly different in the two groups, there were significant differences in the incidence of familial mental_illness and antisocial behavior with elevations for the aberrant drawing group.",1985,0.5130909090909092,1985
"Little attention has been given to children's attitudes toward mental_illness and the mentally ill, so this exploratory-descriptive study examined the developmental trends of children's attitudes toward the mentally ill.",1985,0.4308571428571429,1985
"Finally, with increasing age/grade children perceived mental_illness as less likely attributable to inadequate, deprived or interpersonal experiences.",1985,0.45000000000000007,1985
Conception of mental_illness was significantly related to attitudes associated with seeking psychological help.,1985,0.44375,1985
A Delphi study was conducted with a multi-disciplinary group of experts attending a conference on mental_illness in primary care settings.,1985,0.4318000000000001,1985
The respondents' three top-ranked priority areas for research were: primary care; the elderly mentally ill; and chronically disabling mental_illness.,1985,0.43666666666666676,1985
"Even though mental_illness is the source of serious problems when it affects production, it is not a real preoccupation in the work setting and it does not belong firmly in the definition of health security.",1985,0.4767272727272727,1985
People who live in flats are usually shown to be more prone to mental_illness than those who live in houses.,1985,0.484,1985
Attitudes toward mental_illness are poorly investigated among the non-Western peoples of South Africa.,1985,0.4425,1985
"This study attempted, first, to identify the perception of mental_illness held by Indian South Africans and, second, to determine whether there are any generational and sex differences in their perceptions.",1985,0.4765999999999999,1985
"The major findings were as follows: (a) Adolescents differed significantly from their mothers in their perception of mental_illness; (b) adolescents, compared to their mothers, showed a greater acceptance of the Eastern as opposed to the Western conceptualization of mental_illness; and (c) a significant difference between treatment and the other dimensions on the Eastern orientation was found.",1985,0.45357142857142857,1985
Much work has been done to prepare people with a history of chronic mental_illness for vocational placement.,1986,0.4991666666666667,1985
"Crazy people (synonymous with the professional-technical term mental_illness) are apparently regarded with the same fear, distrust, digust, and aversion by children and adults alike.",1986,0.5115000000000001,1985
"His manuscript journal shows, however, that he also lived a bizarre secret life of the mind of a kind which, in later generations, would have led to his confinement as suffering from mental_illness.",1986,0.4606363636363637,1985
"The cross and intracultural differences in etiology, clinical features and course and outcome vary maximally in depressives than in any other mental_illness, and epidemiological studies have been a major strategy to delineate the same.",1986,0.43599999999999994,1985
"In a study of 306 children whose parents have a mental_illness, the relationship between coping skills and environmental assets and deficits determined the degree of behavior problems among these high-risk children.",1986,0.4802727272727273,1985
"The patients have developed the following themes: entrance conditions, everyday life information, inconveniences, mental_illness, the exclusion process.",1987,0.4501250000000001,1985
For more than a century psychiatrists have suspected neuropathology in patients with mental_illness.,1987,0.49700000000000005,1985
Psychiatrists are cautiously optimistic that these various brain imaging technologies will be important new tools in continued exploration of the causes of mental_illness and ultimately may lead to more effective treatments.,1987,0.4666,1985
The development and preliminary evaluation is described of a rating scale to measure disturbances of maternal behaviour in 26 women who were hospitalised with severe puerperal mental_illness.,1987,0.5145,1985
Considerable effort has been exerted in recent years toward educating the public concerning mental_illness and the efficacy of various treatment modalities.,1987,0.433625,1985
"Data also were collected on demographic variables, incidence of stressrelated physical and mental_illness, and coping activities.",1987,0.4475,1985
"Review of 249 psychiatric consultations in a general hospital revealed a highly significant (P<.001) relationship between lack of clarity of the consultation request (CR) and the presence of patient-staff or intrastaff problems (PSISP), but not between the occurrence of PSISP and the presence of a major mental_illness (MMI), or between the presence of MMI and the lack of clarity of the CR.",1987,0.4744117647058824,1985
"The current movement toward reinstitutionalization is seen as rooted in myths and misunderstandings about policy, practice, and the nature of chronic mental_illness.",1987,0.5155714285714286,1985
"Because the parents of mentally retarded and mentally ill children are particularly vulnerable to the raising or dashing of their hopes against claims being made either way, this paper provides an overview and history of orthomolecular therapy, its application to both mental_illness and mental retardation, as well as toxicity considerations relative to megavitamin treatment, in the hope that such information will provide mental_health professionals with concise an swers to the challenging questions currently being asked by their patients.",1988,0.43013043478260865,1985
"Demographic and criminal justice characteristics examined include age, sex, race, marital status, religion, educational level, disabilities other than mental_illness, crime of conviction and sentence length.",1988,0.48082352941176465,1985
"Popular wisdom contends that elderly people in general, and rural elderly persons in particular, are at increased risk for mental_illness.",1988,0.47633333333333344,1985
A large civilian literature on the role of social support in health and wellbeing suggests that military units high in unit cohesion should provide their members both significant protection from physical and mental_illness and high levels of job satisfaction.,1988,0.47044444444444455,1985
"Results confirmed that clergy spend a significant amount of time counseling a wide variety of problems, and that their views of mental_illness and their approaches to counseling are related to their religious orthodoxy and their approaches to problem solving.",1988,0.44892857142857145,1985
"In five cases, which included the two new findings, the thyroid disease had been judged to precipitate the mental_illness.",1988,0.470375,1985
"However, diagnosis is important in a few cases where thyroid disease apparently contributes to the mental_illness.",1988,0.5068,1985
"We have argued that it seems to have three functions: First, it allows people who are unsympathetic to psychological illness, or who live in cultures where mental_illness is stigmatised, to nonetheless occupy the sick-role while psychologically unwell.",1988,0.5019999999999999,1985
"A total of 1331 data points from 53 studies yielded the following overall percentile equivalent ranks for 24 disabilities: diabetes (most acceptable), ulcer, arthritis, asthma, heart condition, speech problems, crippled, orthopedic disability, physical disability, amputation, emotional disturbance, appearance disability, deafness, learning disability, stroke, cancer, paraplegia, blindness, epilepsy, tuberculosis, cerebral palsy, mental retardation, mental_illness, and multiple disabilities (least acceptable).",1988,0.49,1985
"Over the ears, mental_health professionals have realized that traditional talk therapy approaches do not adequately address the multiple, pressing needs resented by the person with chronic mental_illness.",1988,0.4427,1985
Nosological questions in psychiatry imply core questions of understanding and interpretation in the field of mental_illness.,1988,0.49816666666666665,1985
The findings presented here suggest that mercury poisoning from dental amalgam may play a role in the etiology of mental_illness.,1989,0.4488888888888889,1985
Subjects who had amalgams removed reported that symptoms of mental_illness lessened or disappeared after removal.,1989,0.491,1985
"This paper reports on a study of client families of a counselling service in Vienna, Austria, which serves relatives of persons suffering from a major mental_illness, e.g. schizophrenia or manic-depressive conditions.",1989,0.46911111111111103,1985
Psychiatric rehabilitation has been hampered by the absence of reliable and valid instruments to assess functional skills of persons with severe and persistent mental_illness.,1989,0.46769999999999995,1985
"This article describes the development of the Community Living Assessment Scale (CLAS), which was designed specifically to assess daily living skills of those with mental_illness who live in community residences.",1989,0.46053846153846145,1985
"This study examined young adult chronic patients' interpretations of the cause, severity, and prognosis of mental_illness.",1989,0.5096666666666666,1985
"This study investigates how different types of disasters affect symptoms of mental_illness, as well as how victims' attributions for the disasters modify psychological response.",1989,0.4761666666666666,1985
"First, how have these individuals with a chronic mental_illness functioned as deinstitutionalized persons; second, did participation in a fifteen-week occupational therapy program affect performance of skills in work, play, and self care; and, finally, what is a model for the occupational therapis1 as case manager with the chronically mentally ill?",1989,0.45595238095238094,1985
"Moreover, we found that if mental_illness played a part, motives reflecting aspects of chronicity predominated motives reflecting psychopathology (i.e. feeling of being persecuted, loosing mind) of the suicidal patients.",1989,0.4505,1985
