Sentence,Year,Mean_Arousal
"In summary, we have suggested in this brief discussion that clinical pastoral training has established itself firmly in our culture and will be an important resource in the function of community mental_health centers; there will also be need for many clinically trained pastoral ministers who will serve importantly in the prevention of mental_illness and promotion of mental_health; that standards of training in the clinical pastoral field are very much needed and should be nationally unified and coordinated; and that the Association of Mental Hospital Chaplains might well exercise the leadership in developing a national resurgence of interest in a dynamic religion which will better meet the needs of our people as we move forward in this complex scientific age.",1965,0.47359574468085114
Problems of definition and classification in psychiatry and the impact of mental_illness on the individual and the community pose unique problems for psychiatric register studies.,1966,0.4727
"In parents and collateral relatives of the autistic children, 3.2 had a serious mental_illness, and 4.8 of siblings were markedly abnormal.",1967,0.47120000000000006
This study investigated changes in the perception of models of mental_illness and mental_health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several encounter-sensitivity training groups.,1970,0.47350000000000003
"In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a test of knowledge about mental_illness devised by Nunnally.",1970,0.4702857142857143
"We felt that an appropriate, although far from perfect, classification would include theories regarding maladaptation, theories regarding mental_illness, and theories regarding the death instinct.",1972,0.48274999999999996
"An important area for future research is the establishment of causal patterns, and the investigation of the primary or secondary role of social conditions in the emergence of mental_illness and other behavioural pathology.",1973,0.4722
"In this regard, currently held Western views about mental_illness, physical illness, social deviance, and human individuality are relevant.",1973,0.47925
Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of mental_illness other than those of paranoid schizophrenia are at variance with the findings of the major studies carried out in the 1960's.,1973,0.48316666666666674
A comparison of mental_illness and narcotic use in rural and urban areas indicates a greater incidence in areas with high population density.,1973,0.48950000000000005
In a WHO-sponsored project in Mauritius the authors used these results for the selection of a group of children at risk for mental_illness.,1975,0.4808333333333333
"The present study compared the attitudes and feelings of law-enforcement, corrections, parole and probation personnel, and college students toward mental_illness.",1976,0.48424999999999996
"Analysis of the temporal relation between the beginning of mental_illness and the beginning of professional life, according to a comparative anamnestic method applied to a group of teachers (N. = 94) and a matching control group of psychiatric paired out-patients (N. = 95).",1977,0.4771428571428572
There was no evidence that the mental_illness experienced by the asthma group differed significantly from that of controls during the follow up period eithet in period prevalence or diagnosis.,1977,0.4735555555555555
"In an attempt to change attitudes toward mental_illness, as well as to increase positive self-attributions, 37 community residents were presented a series of demythologizing seminars.",1977,0.48342857142857143
The existing evidence linking noise with mental_illness is found to be unsatisfactory.,1977,0.4888333333333334
"The present investigation is a study of the influence of attitudes towards mental_illness on the experienced need for psychiatric treatment, using a population sample selected at random.",1978,0.47463636363636363
"The delivery of mental_health services was extensively researched; however, a wide diversity of other topics such as work, substance abuse, and attitudes toward mental_illness were also represented.",1980,0.47625000000000006
"None of them was correlated nor with organic lesions or medical seriousness, neither with psychopathic background, previous mental_illness or treatment by corticoidic drugs.",1980,0.478625
The present study was an attempt to construct an attitude scale to measure the radical psychosocial or libertarian position about mental_illness and mental_health practices.,1980,0.48866666666666664
"Patients with harsh, pessimistic views about mental_illness had more severe psychopathology and did less well over the period of follow-up.",1980,0.47533333333333333
"Mental health professionals have been described as biased in the evaluation of mental_illness, almost always in favor of illness.",1980,0.4714285714285715
"A scale, the Mental Illness Behaviors Prediction Scale (MIBPS) was developed for use in studies of ascribed mental_illness.",1980,0.4833333333333334
"The frequency of mental_illness was higher in the Klinefelter males with karyotype 47,XXY than in the remainder.",1980,0.48066666666666663
"There were no significant relationships between obesity and present or previous mental_illness (present disability degree, depth of depression, frequency of anxiety attacks, phobia grade, present use of psychotropic drugs, maximum disability degree during life, use of psychotropic drugs during life, contact with a psychiatrist) when due allowance was made for age and social class.",1981,0.4842666666666667
"In view of the previously reported findings of favorable attitude change following a psychiatric practicum for the students who had completed the two psychology courses, over-all results presented in both reports (a) confirm previous studies which suggest the effectiveness of a psychiatric practicum in changing nursing students' attitudes toward mental_illness and (b) empirically support Rabkin's 1977 statement that academic instruction seems maximally effective in combination with factors such as personal experience with mental patients, etc. (",1981,0.4722592592592592
"The fallacy of course, is that the prevention of mental_illness or suicide has financial consequences and that there are of a nature to be assessed.",1981,0.4701666666666668
"Patients varied in terms of their apparent degree of mental_illness, status on admission to the hospital (voluntary vs. involuntary), and their decisions to consent to or refuse the procedure.",1981,0.4715
"The results suggest that while attitude components are generally not highly related, perceived severity of mental_illness is positively related to attribution to physical causes, and negatively related to social acceptability.",1983,0.47081818181818186
"However, results clarified that it is the lack of masculine instrumentality in the personality, not the feminine role per se, which is implicated in mental_illness.",1984,0.48300000000000004
"In response to a U.S. Government accusation of political bias in social science research discussed by Hogan and Schroeder in 1981, 23 introductory psychology textbooks were examined for evidence of left-wing rhetoric in their discussions of mental_illness.",1984,0.4734285714285714
The results indicated that the proportions of patients with physical or mental_illness were very high.,1984,0.48666666666666664
"In only 9 (16) of these descriptions did the sources attribute the mental_illness to sin or wrongdoing, and in these cases the medieval authors appeared to use this attribution for its propaganda value against an enemy of their patron saints, their monastery lands, or their religious values.",1984,0.48523076923076924
"Our experience in the seminars and our study of the cases has encouraged us to believe that many Christian pastors, theological students, and lay leaders are open to a multiple causation explanation for demonizing and mental_illness.",1985,0.4830000000000001
"Even though mental_illness is the source of serious problems when it affects production, it is not a real preoccupation in the work setting and it does not belong firmly in the definition of health security.",1985,0.4767272727272727
People who live in flats are usually shown to be more prone to mental_illness than those who live in houses.,1985,0.484
"This study attempted, first, to identify the perception of mental_illness held by Indian South Africans and, second, to determine whether there are any generational and sex differences in their perceptions.",1985,0.4765999999999999
"Demographic and criminal justice characteristics examined include age, sex, race, marital status, religion, educational level, disabilities other than mental_illness, crime of conviction and sentence length.",1988,0.48082352941176465
"Popular wisdom contends that elderly people in general, and rural elderly persons in particular, are at increased risk for mental_illness.",1988,0.47633333333333344
A large civilian literature on the role of social support in health and wellbeing suggests that military units high in unit cohesion should provide their members both significant protection from physical and mental_illness and high levels of job satisfaction.,1988,0.47044444444444455
"In five cases, which included the two new findings, the thyroid disease had been judged to precipitate the mental_illness.",1988,0.470375
"We have argued that it seems to have three functions: First, it allows people who are unsympathetic to psychological illness, or who live in cultures where mental_illness is stigmatised, to nonetheless occupy the sick-role while psychologically unwell.",1988,0.47792307692307684
