Sentence,Year,Mean_Arousal
A combined medical and psychiatric treatment of a depression consequent to a colostomy and an organic impotence following rectal resection for cancer in a 33-year-old man has been described.,1957,0.4871666666666667
"During acute asthma these appear to be radically altered into sadness and longing, and subjected to generalized inhibition similar to that seen in states of depression.",1960,0.4872500000000001
"Five categories of affective responses were operationally defined and shown statistically to provide a reliable means of identifying anger, anxiety, contentment, depression, and helplessness-hopelessness.",1963,0.4825454545454546
"Differences in response in the same individual seem related to mood and attitude as well as to transient stress, with the response being lower on days of depression.",1963,0.48200000000000004
"Based on small sample and nonparametric analyses, however, numerous absolute and stylistic differences among subgroups were found, involving extremity versus constriction of ratings, elevation versus depression of ratings and variability of ratings.",1965,0.4780909090909091
Overinclusion and retardation defined as symptom entities provided better differentiation on factor scores than did the diagnoses of schizophrenia and depression.,1965,0.47233333333333327
"No transfer appeared in this group, apparently because the depression of the untrained side after the transfer trial disrupted the transferred engram.",1965,0.4736666666666667
"However, if mean depression ratings and mean 17-OHCS levels were taken for each of the 17 patients studied, a significant positive correlation was not obtained.",1965,0.4830000000000001
"The data suggest that those with high 17-OHCS levels were often more aware of and involved in the struggle with their illness, while many with high depression ratings and low 17-OHCS levels showed extensive denial of their depression.",1965,0.48608333333333337
Responses of 100 significantly depressed psychiatric patients to the subscales of the Beck Inventory of Depression were subjected to Maximum Likelihood factor analysis and orthogonal rotation.,1966,0.4815833333333335
"When retention of the bilaterally acquired reaction was tested during unilateral cortical spreading depression (CSD) no savings was seen in the hooded rats, while the albino rats required about three times more trials to criterion than during the original learning.",1966,0.4731538461538462
Subsequent application of spreading depression to either hemisphere in the case of bilaterally trained animals or to the hemisphere receiving the sensory input (trained hemisphere) after unilateral training gave rise to a drastically impaired performance.,1966,0.4705625
"Although the data seemed to reflect a slight activating effect of scopolamine, they clearly indicated a significant depressant effect of spreading depression on motor activity which suggests that spreading depression may impair learning tasks by reducing motor activity.",1966,0.4893333333333334
This article presents a functional analysis of clinical depression by describing the kinds of variables which may increase or decrease the frequency of an arbitrary response in animal experiments.,1966,0.4702307692307692
The effects on learned behavior were postulated to be a consequence of the prolonged spreading depression.,1967,0.488
"After Group I attained the criterion of discrimination, Ss were tested in the Skinner box with bar depression sounding the buzzer for .75 sec.",1967,0.4875555555555555
This study tested the hypothesis that the depression of barpressing following hypertonic NaCl stomach loads is due to their producing unconditioned drive stimuli.,1967,0.47114285714285714
"To test the comparability of Set 2 (Lists E, F, and G) of the Depression Adjective Check Lists (DACL), 74 Ss who participated in a 1-wk.",1967,0.47400000000000003
"All showed distress, with 3 progressing to a state of deep depression similar to the anaclitic depression of human infants following separation, as described by Spitz.",1967,0.478625
The sleep of a 51-year-old farmer with a severe psychotic depression was studied by electroencephalograph for 31 of 36 hospital days and for 2 nights 3 weeks after discharge.,1967,0.47755555555555557
Avoidance and escape learning under cortical spreading depression (CSD) and the transfer of experience between functionally decorticate and normal states were studied in rats.,1968,0.47977777777777786
Additional findings showed consistent themes of hostility and depression as well as themes of noncoping during the premenstrual phase of the menstrual cycle.,1968,0.4867142857142857
"The first was a biphasic response characterized by an initial depression during avoidance, followed by a rebound elevation during the recovery period.",1968,0.47555555555555556
"The duration of the two response phases, the primary depression and the secondary elevation, may vary from one experiment to the next, particularly in relation to repetition of the stressful experience or to individual differences between animals.",1968,0.4879411764705882
Rats trained under unilateral cortical spreading depression on a brightness discrimination task for water reinforcement will show little or no transfer when retrained with the contralateral cortex depressed.,1969,0.47992857142857154
The subject of this interview is a 41-year-old woman with a diagnosis of Depression.,1970,0.48360000000000003
A 35-year-old woman had a history of increasing irritability and liability to attacks of depression related to a complete inability to have coital orgasms.,1971,0.4706666666666666
In the first experiment the animals learned to avoid drinking saccharin under unilateral cortical spreading depression (CSD) and showed a marked transfer when tested with the contralateral hemisphere depressed.,1971,0.4714545454545455
"Rats treated with 250750 g of 6-OHDA showed, in addition to behavioral depression, motor and EEG seizures.",1971,0.471
At ES current levels sufficient to produce RA in ether anesthetized mice the primary afterdischarge of the seizure was not followed by postictal depression.,1971,0.48142857142857143
"Finally, it was suggested that it should be interesting to try to estimate, from published data, the correlation between endogenous and neurotic depression in the general population.",1971,0.48233333333333334
Occlusion of one eye and functional hemidecortication by cortical spreading depression (CSD) were used to examine the relative importance of crossed and uncrossed visual projections for pattern discrimination learning in hooded and albino rats.,1971,0.4704117647058824
"Medical investigation yielded no organic cause for the vomiting which, on psychiatric evaluation, was found to be a conditioned response to stimuli from the depression that had started very shortly before the onset of the infarction.",1972,0.47671428571428576
The depression was treated by the introduction of behaviors incompatible with the depression.,1972,0.48825
A similarity between rank ordering of self-rated depression scores and reported suicide death rates for the countries studied was noted.,1972,0.47169999999999995
Increase in work level coupled to drinking up to approximately 4 times the work of drinking freely available water produced no depression of water intake before tumor transplant and no further depression after tumor transplant.,1972,0.4808571428571428
This secondary depression of intake was partly reversed during tumor growth by the increase in water necessary to excrete a larger urinary solute load at a reduced urine concentration.,1972,0.471
The results lend some support to the suggestion that there might be an increase in brain noradrenaline metabolism in mania and a decrease in depression.,1972,0.4708
"Spontaneous and metacholine-stimulated salivation rates were measured in endogenous depression, symptomatic depression, mania, and healthy controls.",1972,0.47414285714285714
