sentence,year,arousal,epoch
"The choice of defensive style was found related to at least three factors: an early history of trauma, especially separation, parental encouragement of toughness, and essentially a counterphobic family style.",1971,0.4864375000000001,1970
"While virtually anyone may lose his desire to live, the patient who suffers severe emotional trauma in surgery, along with severe distortions of his body, may be particularly susceptible to this apprehensiveness.",1971,0.5372000000000001,1970
"The findings were explained on the basis that trauma to the head results in two broad and measurable psychological effects: generalized impairment of concentration and attention and , depending upon locus of injury, additional impairments of selective coping skills.",1971,0.4935999999999999,1970
"The central question raised is: To what extent does maladaptation and malfunctioning characterize survivors of the unimaginably extreme, prolonged trauma of the Nazi concentration camps, and to what extent do we find successful adaptation among such persons?",1971,0.5002666666666666,1970
"Of greater import, however, is the fact that a not-inconsiderable number of concentration camp survivors were found to be well-adapted, despite the extreme trauma.",1971,0.4958,1970
"The literature on Heller's dementia, the meaning of the various symptoms, and the possible impact of the psychological trauma were discussed.",1972,0.520125,1970
The offspring of people who have experienced overwhelming physical and mental trauma may themselves manifest some of the aftereffects of their parents' trauma.,1972,0.5619090909090908,1970
Various control conditions appear to rule out injection trauma as a reason for the lauter failure.,1972,0.5094444444444445,1970
The results failed to substantiate that increased dosage level resulted in more effective modification of trauma effects.,1973,0.55725,1970
Implications of this case for the theory of the constructive trauma are discussed.,1974,0.48774999999999996,1970
"The process may be hastened by release of vasoactive amines and hormones due to psychological reasons, stress, or trauma.",1974,0.4971111111111111,1970
"They tend to be more liberal in their attitudes toward abortion than women in general, however women who experienced a greater degree of psychic trauma tended to be more conservative in their attitudes.",1974,0.48841666666666667,1970
