sentence,year,arousal,epoch
We are reminded by the growth of consumerrun approaches of the value of diversity and individual choice in community support of persons with severe mental_illness.,1990,0.4831111111111111,1990
Persons coping with severe mental_illness benefit from a variety of community supports and resources.,1990,0.4655714285714286,1990
This article describes a model for the outpatient treatment of adults at risk for major mental_illness who live with parents or a spouse.,1990,0.5101249999999999,1990
Most clinicians favor family involvement in the treatment of adult outpatients who are at risk for major mental_illness.,1990,0.506,1990
"This article presents key issues, processes and principles governing exhibitions of art by people with mental_illness based on the experience of the Committee for Advocacy Through Art in organizing the juried exhibition, Art and Mental Illness: New Images held at Boston University in the fall of 1989.",1990,0.47205263157894745,1990
"Although psychologists and psychiatrists currently have a limited ability to identify accurately malingering and deception, expert testimony about the genuineness of a defendant's mental_illness is likely to be held admissible for both practical and evidentiary reasons.",1990,0.49614285714285716,1990
Results suggest that the incidence and prevalence of major episodes of mental_illness have been substantially reduced and that the need for traditional hospital-based care has been minimised.,1990,0.44460000000000005,1990
"Although there exists much work on the social history of mental_illness, stigma, per se, has not often been addressed in historical studies.",1990,0.441,1990
The results suggest that physical or mental_illness may decrease creativity.,1990,0.46160000000000007,1990
"Selected problem areas that span a spectrum covering folk/traditional conceptualizations of mental_illness, standardized concepts and methods employed in epidemiology, approaches to psychiatric diagnosis in biomedical settings, and more basic epistemological assumptions involving psychiatric nosology and theory receive systematic attention.",1990,0.46407692307692305,1990
"The emphasis is on early detection of major mental_illness and immediate intensive treatment using cognitive/behavioural treatment methods, and targeted low dose medication where necessary.",1990,0.5003076923076922,1990
"Some issues: alcoholism, high rates for hospitalised mental_illness, and the reported suicide rate, have changed little until the last decade.",1990,0.4696666666666667,1990
"Among the New York City audience the film raised information levels, created more favorable attitudes, and changed beliefs about mental_illness.",1990,0.446625,1990
"Of those subjects who met criteria for severe mental_illness (psychosis or major affective disorder), only one third were given treatment within 1 week of intake.",1990,0.5078888888888888,1990
"This study suggests that intergenerational social mobility differences between seriously mentally ill and general population groups in previous studies provide very little, if any, empirical support for social selection-drift processes in serious mental_illness.",1990,0.4319285714285714,1990
In this paper I challenge some prevalent psychoanalytic concepts of the etiology and pathogenesis of severe mental_illness which I believe to be in need of revision.,1990,0.47088888888888886,1990
"This study develops hypotheses leading up to its implementation, describes how it is set up, and specifies the goals of hospitalizing the two together: not automatically separating a child from its mother who develops a psychiatric condition at such a vulnerable age, observing how mother and child interact, evaluating the mother's nurturing skills and how the baby functions, taking therapeutic action for the mother and for the mother-child relationship, and allowing preventive action, a general prevention of mental_illness.",1990,0.47703846153846147,1990
Psychiatry has oscillated between biological and psychosocial explanations for mental_illness since its inception.,1990,0.49933333333333335,1990
"Training in the biological basis of mental_illness is and should be incorporated into psychiatric training, along with a balanced appreciation of the utility of psychotherapeutic and social intervention.",1990,0.4843636363636364,1990
"The role of grandparents is discussed and the value of a supportive presence, both externally and internally, is emphasised, especially at birth and at times of mental_illness.",1990,0.4435,1990
"In psychosomatic research, the notion of coping serves to describe how patients can handle physical or mental_illness.",1990,0.51,1990
"However, there were also points of similarity, especially high levels of mental_illness and substance abuse.",1990,0.515,1990
Described a study of the expansion strategies of a successful self- and mutual help organization for persons with mental_illness.,1991,0.47600000000000003,1990
It has provided both participants and therapists with the opportunity to move away from a restrictive view of mental_illness toward alternative self knowledge and empowerment.,1991,0.47574999999999995,1990
A model of assessment and diagnosis of mental_illness in this population is presented that incorporates psychiatric as well as behavioral methods.,1991,0.49833333333333335,1990
"Given the paucity of literature on the assessment and diagnosis of mental_illness in individuals with mental retardation, a number of suggestions are made regarding future research and refinement of the model.",1991,0.4535454545454545,1990
In considering the relationship between criminal behaviour and severe mental_illness two schools of thought can be identified.,1991,0.46371428571428563,1990
"One, arbitrarily labelled the criminological; holds that criminality and mental_illness are only weakly associated, if at all.",1991,0.47000000000000003,1990
Age differences were found in the adaptation of identity to the life experiences associated with mental_illness.,1991,0.4630000000000001,1990
In over 50 of cases continuation of in-patient stay was necessitated by the severity of mental_illness.,1991,0.48566666666666664,1990
The practice of psychiatry rests on two pillars: mental_illness and involuntary mental hospitalization.,1991,0.485,1990
A correct understanding of the role of depressive affect in triggering psychic conflict leads to a reformulation of the origins and the psychodynamics of depression as a feature of mental_illness.,1991,0.46430000000000005,1990
"After the breeding-hypothesis as an explanation of the inverse relationship between social class and mental_illness could be ruled out, the rival hypotheses of social stress and social selection (drift-hypothesis) are discussed.",1991,0.4513636363636364,1990
"The vast majority of CMHCs aim to serve the needs of all forms of mental_illness within their catchment area, yet in practice, they have frequently failed to meet the needs of people with long term severe disorders and concentrate instead on providing assessment and counseling services for neurotic and transient situational disorders.",1991,0.4902631578947368,1990
"First, clinicians tended to hold a biomedical view of mental_illness and believed in the efficacy of forced treatment.",1991,0.4630000000000001,1990
People who are dually diagnosed with severe mental_illness and substance use disorders constitute 10-20 of homeless persons.,1991,0.43085714285714294,1990
"This article describes recent research on the prevalence of alcohol, drug, and mental (ADM) disorders and the characteristics of homeless substance abusers and persons with mental_illness.",1991,0.4949,1990
The literature on coping with mental_illness is reviewed.,1991,0.44,1990
"For instance, 58 were willing to pay more taxes to help homeless persons and the mean estimate for the extent of mental_illness among the homeless was within the range of estimates found in the local interview study.",1992,0.4651333333333333,1990
