Sentence,Year,Mean_Arousal
"This paper attempts to show how a public health measure, by reducing production and withdrawing methylamphetamine (Methedrine) from retail pharmacists, dramatically affected the prevalence of its abuse in a provincial population.",1972,0.48272727272727267
"Other analgesic abusers without renal impairment also showed these traits, while controls with renal disease not due to analgesie abuse were significantly less introverted and neurotic.",1974,0.4875
"Twenty-five inmates of the Petersburg Federal Reformatory Drug Abuse Program, Petersburg, Virginia were selected as Ss in this study.",1975,0.47414285714285714
"Employing the perspective of labeling theory, this paper proposes that causes of abuse are products of social definitions applied by gatekeepers charged with identifying children injured by their caretakers.",1975,0.48114285714285715
"This article, with case illustrations, attempts to demonstrate that drug-abuse behavior can be understood more clearly in the light of family loyalties and unresolved family crises than from the perspective that drug abusers are social deviates.1 Drug abuse is viewed as symptomatic, as a signal that both drug abuser and his or her family are having difficulty in getting past a particular stage in the natural unfolding life cycle of a family.",1976,0.48276666666666657
An experimental comparison was made of the drug abuse treatment effectiveness of a halfway house and a community lodge program.,1976,0.4855454545454545
"There was a high degree of patient acceptance, a small amount of recognized residual illicit drug abuse, and steeply reduced criminal activities of those patients who remained in treatment.",1976,0.48328571428571426
"This investigation compared MMPI profiles of polydrug abuse patients with three groups of traditional psychiatric patients who varied in psychopathology (inpatient psychiatric patients, traditional outpatients and patients attending a behavioral/educational oriented program).",1977,0.4804545454545455
"Additionally, the allocation of fiscal resources for research designed to secure data regarding the sequelae of child abuse is also amply justified.",1977,0.4755
"Throughout our presentation the use of the interdisciplinary team concept was emphasized as the best system known to enhance the reporting, investigation and diagnosis of child abuse and/or neglect cases as well as providing protective and treatment services to the child and his family.",1977,0.4890625
The pattern of results indicates that enhancement of self at the expense of others is learned in competitive environments; enhancement of self and others is learned in cooperative environments; and enhancement of self with neither enhancement nor abuse of others is learned in an individualistic learning environment.,1977,0.4801764705882354
Child abuse has generally been recognized only in its more obvious physical manifestations.,1977,0.4836666666666667
"Although judges most often make the final decision in cases of child abuse, the literature is relatively silent as to what they believe to be true about child abuse and neglect.",1977,0.4724615384615385
"More likely, as Kohn [1] asserted, the most optimistic researchers in the substance abuse field can hope only to discover patterns of motivational variables with sufficient commonality between individuals to be of some predictive value.",1977,0.4871538461538461
"Clinical impressions, reinforced by reports in both professional journals and the lay press, suggested that use and abuse of minor tranquilizers and sedative-hypnotics was extensive among patients in our drug treatment clinics and required some change in our policies.",1977,0.4795384615384615
This group of inhalers was found to be multiple substance abusers and more likely to be characterized by a pattern of polydrug abuse than by their abuse of inhalants per se.,1977,0.4805
A conservative estimate of this form of sequential multiple substance abuse would include 80 of all drug-dependent persons.,1977,0.4818181818181818
"Based on the literature, this form of concurrent multiple substance abuse would be evident in the substance abuse histories of at least 30 of all drug-dependent persons.",1977,0.4887142857142857
"The shifting of substance abuse in this country away from a pattern of single substance dependence toward multiple substance abuse has been accompanied by renewed interest in the possibilities of so-called combined treatment and its ideological base, a generic conceptualization that encompasses and integrates into a unitary theory all types of substance abuse.",1977,0.48085000000000006
"Multidimensional scalings and an analysis of variance demonstrated substantial community differences, such that the lower socioeconomic status respondents had a more complex and more clearly articulated view of alcohol abuse than did the upper status respondents.",1978,0.4852857142857142
"After reviewing the research evidence in support of each model as well as documenting the inadequacies of each, it is concluded that only a comprehensive framework, subsuming each model, can expect to account for the occurrence of abuse.",1978,0.47691666666666666
For each proposition we discuss supportive findings from both child abuse and general psychological research as well as the additional information that would be needed in order to obtain a better functional analysis of clinical cases.,1978,0.4881666666666667
"Identification of children's deaths from abuse and neglect is a complex process, thus no one individual should have the sole responsibility for this identification.",1978,0.4703333333333333
"While at the present time, prevention of child abuse is a high priority item; before we invest large sums of public and private money and manpower in a variety of supportive services, some fundamental issues need to be addressed.",1978,0.4856842105263158
Some possible parallels are considered between monkey and human abuse of offspring.,1978,0.4774
The purpose of this paper is to review and evaluate alternative approaches to understanding the problem of child abuse.,1978,0.48433333333333334
"The masseuses reported the major raison dtre for massage parlors to be satisfaction of sexual needs, followed in order of importance by relaxation and healthy physical consequences, providing affection and relief from loneliness, and, interestingly, the reduction of sex crimes and abuse in the street.",1978,0.4807368421052631
Assessed the effects of a self-control program on increasing personal control and ameliorating alcohol abuse.,1978,0.47824999999999995
Macrocytosis may prove to be a reliable sign of alcoholic abuse.,1978,0.4737142857142857
"The present study was based on follow-up data on 1,409 persons interviewed 4 to 6 years after admission to drug treatments in the Drug Abuse Reporting Program (DARP).",1978,0.47536363636363643
"Certain symptoms of family crisis and childhood injury are being medicalized, legalized, and called child abuse--to be processed and dealt with by a range of professionals who derive their social legitimacy and support in the process.",1978,0.48506666666666665
