Sentence,Year,Mean_Arousal
"The mode oneset of the present illness (sudden or gradual), its duration, and four characteristics of the past medical history (number of illnesses in childhood and adult life, surgery, and trauma) were unrelated to anxiety scores.",1966,0.4705263157894737
"The term psychological was used simply to indicate that the stress aspects of the experimental situation were considered to have their impact upon the animals primarily by way of the sensory systems, rather than through direct physical or physiological trauma.",1967,0.47900000000000004
Withdrawal of ether was then used to create a situation of deprivation to arouse in the transference attitude the feelings produced by the early trauma.,1968,0.48833333333333334
"The choice of defensive style was found related to at least three factors: an early history of trauma, especially separation, parental encouragement of toughness, and essentially a counterphobic family style.",1971,0.4864375000000001
Implications of this case for the theory of the constructive trauma are discussed.,1974,0.48774999999999996
"They tend to be more liberal in their attitudes toward abortion than women in general, however women who experienced a greater degree of psychic trauma tended to be more conservative in their attitudes.",1974,0.48841666666666667
"The results indicate that many people did experience a trauma that was converted into a stren, and the resolution appeared to be primarily a cognitive process, usually done by the subject himself, and it most frequently occurred between 2 weeks and 4 months after the precipitating event.",1975,0.4733333333333334
The international standard for setting ski bindings is based on the measurement of the tibia proximal width (the width of the shin bone just below theknee) because of the propensity of this bone to suffer trauma as the ski and skier attempt to go in different directions.,1976,0.4873684210526317
"This study was a repetition of Black's work with the MFD on a population that differed from Black's in that they were predominantly non-trauma cases, the majority of whom were not neurophysiologically normal when tested with the MFD.",1976,0.4825714285714286
Propose insight simplified organisation to prevent early brain injuries and early psychological trauma: the home of parents and child.,1977,0.47220000000000006
"Specifically, Nonaccidental-Trauma children with lower Mental Index scores had higher Mental Scale range scores than Nonaccidental-Trauma children with higher Mental Index scores, p less than .003.",1977,0.47150000000000003
"In addition, the Infant Behavior Record of the Bayley Scales revealed behavior ratings of Nonaccidental-Trauma and Failure-to-Thrive children that differed from Mental and Motor Scale scores on several dimensions.",1977,0.4809285714285715
"This case of visual agnosia is of special interest because of its causation by trauma, of the unusually long follow-up (10 1/2 years), and the evidence for dual deficits of recognition and perception.",1979,0.48385714285714293
"In addition, the effects of the psychological variables on recovery were shown to be largely independent of the trauma effects.",1980,0.4815
It is an attempt to bring the trauma arising from the external world into the internal world and thus to create an illusion of mastery and control.,1980,0.4817272727272728
"Ninety seven schoolage children who had previously sustained B unilateral compound depressed fracture of the skull, involving a tear in the dura and observed damage to the underlying brain, were studied using tests of intelligence and reading attainment together with more specialized tests of specific cognitive Functions Intellectual impairment was significantly associated with the overall severity of brain trauma, as reflected in the duration of unconsciousness and treatment for cerebral oedema It was also probably associated with the severity of local trauma, as reflected in late posttraumatic epilepsy or motor abnormalities contralateral to the side of the injury.",1981,0.48960526315789454
"Suggestions for future research are made, among them a natural history of day care and studies of children who have experienced trauma.",1982,0.47780000000000006
The case is examined to see whether the Rorschach responses and the artist's choice of subject matter demonstrate the repetition compulsion familiarly associated with trauma.,1982,0.48260000000000003
More risk of violence (p less than .0005) or evidence of trauma (p less than .0005) and less reporting of home assaults (p less than .0005) or multiple assault episodes (p less than .0005) were found in assaults by strangers when compared with non-stranger assaults.,1983,0.48314285714285715
"Although there is little doubt that they will relieve the mood disturbance of severe mental and physical trauma, they may aid the process of denial.",1983,0.4797142857142856
The evidence suggests that medical treatment of breast cancer produces psychosocial trauma in both the patient and her husband due to the loss of the breast and/or physical disfigurement.,1983,0.4769166666666667
"This paper describes three important contributions of Rank--his birth trauma theory, leading to his theory of the birth of the self; his emphasis on present experience (forerunner of the current here-and-now theory); and his writings about the creative potential of the termination process.",1983,0.47890476190476194
Evoked response alterations were more frequent in subjects with frontal and/or occipital trauma; BAEP abnormalities were found to be more frequent than VEPs.,1983,0.47275
"In order for the parents, as well as the physician, to cope constructively with the severe psychological consequences, disappointment, and grief, it is critical that there be a clear understanding of common reactions to such trauma.",1984,0.48753846153846153
"The syndrome should be considered in any child exhibiting evidence of fracture of any bone, subdural hematoma, failure to thrive, soft tissue swellings or skin bruising, in any child who dies suddenly, or where the degree and type of injury is at variance with the history given regarding the occurrence of the trauma.",1985,0.47639130434782606
Physicians have a duty and responsibility to the child to require a full evaluation of the problem and to guarantee that no expected repetition of trauma will be permitted to occur.,1985,0.47575
"Months or years after an episode of head trauma, new neuropsychological deficits may emerge.",1985,0.47400000000000003
"In this article, we review the evidence for an etiologic role of head trauma in these conditions, consider possible mechanisms for the production of delayed neuropsychological deficits, and outline directions for future research.",1985,0.4709285714285714
"This article focuses on the personal responses of a father as he discovers, experiences, and accepts the trauma associated with complex medical interventions designed to preserve the precarious existence of a handicapped child.",1985,0.4719230769230769
"The number of sessions varied with the length of time between trauma and treatment, severity of stressor, and the personality of the patient.",1985,0.4701999999999999
"A 10-year-old child who suffered closed head trauma resulting in a coma of 1 week's duration at the age of 4, developed a persistent, severe behavioral disorder characterized by hyperactivity, impulsivity, distractability, irritability, and grandiosity.",1985,0.4832142857142857
"This case demonstrates unique features connected with the parental deafness: the patient's anger toward women, his splitting of objects into all-good and all-bad, ease of regression, yearning for the symbiotic mother particularly as it was related to space as a transitional phenomenon into which he brooked no intrusion, his unique interests and creativity, his method of teaching, the shaping of the Oedipus complex by preoedipal trauma, and his feeling of entitlement with need to be treated as an exception.",1985,0.4752903225806452
"The older adults consisted of a healthy group as well as groups whose diagnoses included Alzheimer's and multiinfarct dementias, head trauma, and metabolic and affective disorders.",1986,0.4898333333333334
Data were collected a few months after deliveries to neutralize bias caused by anxiety for newborns' condition and by proximity in time to the trauma of premature delivery.,1986,0.4753333333333334
"The trauma of sexual abuse has played a part in the handicap of one, whilst cerebral palsy was the primary organic handicap of the other.",1986,0.47707692307692307
"Clinical material is presented from the beginning and the final phase of psychotherapy to illustrate pathological ego-splitting arising out of childhood trauma, and shows how this may be mitigated by working in the transference.",1986,0.4705
"For the 13 group A and the 15 group D patients there were no significant differences in type of stressor, reported symptom distress, possible financial compensation factors, length of time from trauma to intervention, and various demographic features.",1986,0.4792222222222222
"Cultural belief systems, along with traditional family and social role expectations, greatly affect psychosocial adjustment in individuals recovering from severe trauma.",1987,0.48390909090909084
"A confluence of my residual neurosis, the patient's neurosis, her transference state, her other characteristics (that she was female, for example), plus the fact that she was the last patient contacted, all conspired with the regression from the trauma of being hospitalized to produce the countertransference reaction.",1987,0.47719999999999996
"A group of patients suffering major debility after minor whiplash head trauma, seen in one office practice, has been retrospectively studied.",1988,0.4850833333333333
"Some injuries are considered to be virtually diagnostic of abuse, but most are not at present readily associated with a particular type of intentional or nonintentional trauma.",1988,0.47859999999999997
"Injury pattern data were obtained for one type of trauma, falls from children's highchairs, from the U.S. Consumer Product Safety Commission (CPSC).",1988,0.4805454545454545
This paper details the change taking place in the mental processes of trauma victims and the subsequent disruption of identity and intimacy.,1988,0.48900000000000005
"Lacking a strong sense of self and feeling blameful for what they have experienced, trauma victims may become unable to sustain intimate relationships and romantic dyads.",1988,0.48799999999999993
"The members of this team, located in the same building, came to the conclusion that the difficulties encountered are in part connected directly with the psychological trauma experienced during the infant's stay in the hospital and with a poor elaboration of the affects of this period and inadequate planning for appropriate action during this time.",1988,0.4706190476190476
"Data collection instruments included the Minnesota Multiphasic Personality Inventory (MMPI), self-report measures of anxiety and depression, and a structured clinical interview including a POW Trauma Index.",1988,0.4798666666666667
"In the works of Freud, the concept of childhood psychic trauma evolves in the direction of increasing complexity.",1988,0.4875714285714286
A model is proposed of the evolution of inner psychic events in response to the detention-related trauma which result in the typical symptom cluster.,1989,0.4881666666666667
"The influence of age on very late outcome was examined in 40 patients who had received very severe blunt head trauma (post-traumatic amnesia greater than or equal to 1 month), and who were aged 15-44 years when injured.",1989,0.489
The patients were first seen on average 4.5 months after injury and then at two follow-up examinations in their homes 2.5 and 10-15 years after the trauma.,1989,0.4828571428571428
"Detoxified alcoholic men (n = 76) and women (n = 72) and nonalcoholic control men (n = 50) and women (n = 51) were given a structured interview that assessed five categories of physical health: medical history, alcohol-related disorders, trauma history, drug use history, and, for females, female-related disorders.",1989,0.489625
The matter of this inquiry is designated as trauma psychology.,1989,0.47459999999999997
"Complementing previous findings, results point to an association between catastrophic trauma of sustained duration and subjective reports of relatively unfavorable views of self, less adaptive personality structure, and greater difficulties in coping.",1989,0.479875
"Comparisons across types of relationship revealed that married respondents reported proportionately more instances of omission and fewer instances of explicit falsification relative to other relationship types, dating respondents reported proportionately more reasons focused on protecting their resources and avoiding stress/abuse from partner, dating respondents reported proportionately more reasons focused on avoiding relational trauma/termination, and married respondents reported proportionately more reasons focused on avoiding threats to partner's face/self-esteem.",1989,0.4829
"For this reason, the authors believe that the concept of trauma is a shibboleth of psychoanalysis.",1989,0.4744
Long-term psychotherapy can allow the adolescent patient to establish the cognitive and affective connections to the original trauma and work through the residue of guilt and shame.,1990,0.4768666666666667
"Because the repressed memories related to the sexual trauma need to be unfolded slowly, so that the defensive capacities are not overwhelmed, treatment may need to be continued into adulthood.",1990,0.476625
This study was aimed at elucidating the factors associated with good and poor adjustment in the parents of adult head trauma victims.,1990,0.4802857142857143
The presence of one single associated trauma had no additional effect on rehabilitation as evaluated by actual work placement.,1990,0.4833
"We retrospectively investigated long-term, multi-dimensional quality-of-life outcomes in 68 male patients who suffered pure head injuries and 63 male head-injured patients with associated multiple trauma.",1990,0.4818333333333333
"In order to identify cognitive and behavioral responses to trauma, we have studied responses to mass casualty body handling following the Gander, Newfoundland, plane crash of 1985 and the 1989 USS Iowa disaster, and responses to a simulated chemical and biological warfare environment.",1990,0.48194736842105274
"The unique nature of trauma is rejected because a) clear defining criteria for a unique stimulus condition do not exist, and b) studies of special outcomes, such as PTSD, can be done without postulating a unique stimulus condition.",1990,0.47123529411764714
