Sentence,Year,Mean_Arousal
"Under or over achievement in schools seemed to indicate the importance of type of school, academic achievement, physical and mental_health, family problems and length of professional experience among former students who had shown rather limited practice teaching ability.",1959,0.48487499999999994
"With these results in mind, a greater emphasis was placed on utilizing non-verbal abilities and upon improving mental_health in the 1963 clinic.",1964,0.48200000000000004
The purpose of this article is to describe a coordinated mental_health team approach in the area of prevention of emotional and learning difficulties in the early years of a child's school experience.,1965,0.4798666666666667
"In summary, we have suggested in this brief discussion that clinical pastoral training has established itself firmly in our culture and will be an important resource in the function of community mental_health centers; there will also be need for many clinically trained pastoral ministers who will serve importantly in the prevention of mental_illness and promotion of mental_health; that standards of training in the clinical pastoral field are very much needed and should be nationally unified and coordinated; and that the Association of Mental Hospital Chaplains might well exercise the leadership in developing a national resurgence of interest in a dynamic religion which will better meet the needs of our people as we move forward in this complex scientific age.",1965,0.47359574468085114
It would also be important to develop the mental_health counselling services further.,1968,0.488
"Recent studies by the Midtown investigators found that, except for people experiencing no stress factors, lower class individuals were consistently in poorer mental_health than those of higher status regardless of the number of stress factors experienced.",1968,0.4748333333333334
"We have undertaken to present a comparative study of city and country population, and we have analyzed the impact of internal migration upon mental_health, pointing out the dynamic aspects in the adaptive mechanisms of uprooted individuals.",1968,0.48000000000000004
The examiners were required to give a commonsense judgment of their subjects' mental_health.,1969,0.48500000000000004
"In addition, some subjects were told that increased heart rate was a sign of mental_health (positive condition), and some that the increased heart rate was a sign of mental abnormality (negative condition) Since the heartrate increase (behavior) and Rorschach cards associated with the increase (attitude object) are connected by a positive causal relation, triadic theory predicts that the sign of the heartrate increase should generalize to the associated cards (i e, be positive in the positive condition and negative in the negative condition) An analysis of variance revealed such an overall significant effect Closer examination of the data, however, revealed that the triadic effects were not unambiguously occurring when the increased heart rate was associated with achromatic cards It was suggested that in this condition the unique characteristics of the cards facilitated the generation of complicating anxiety.",1970,0.48341509433962276
This study investigated changes in the perception of models of mental_illness and mental_health on the responses to a 25 item semantic differential scale in groups of subjects in a course in abnormal psychology and in several encounter-sensitivity training groups.,1970,0.47350000000000003
Community mental_health espouses an innovative conception for psychological services in the university community.,1970,0.47550000000000003
"This article describes the rationale, design, and development of a community-based school mental_health training program that seeks to establish constructive collaboration between those principals most influential in the mental_health of young school children-educators, mental_health professionals, parents, and the children themselves.",1971,0.4842666666666667
"These factors, as well as the total mental_health index, were correlated with measures of memory optimism, work competency and personified values.",1971,0.478
"In general, the findings may be summarized as follows: Positive correlations were found for the indices of mental_health with memory optimism and work competence.",1971,0.47711111111111115
The unique value of two such approaches was then emphasized vis-a-vis the training of mental_health workers.,1972,0.47625
"The study was carried out by a mental_health team in close collaboration with the teachers, and special success was achieved when the remedial teaching was done in group situations.",1973,0.4889090909090909
Nonprofessional mental_health workers in a program for early detection and prevention of school maladaptation in children were compared to demographically similar controls on changes in attitudes and clinical response style after 12 didactic training sessions and months of supervised field experience.,1973,0.4768666666666667
"If training for community living is indeed the major function of so-called mental_health facilities, it would be as well to change their name to behavioral, social training programs.",1973,0.47341666666666665
"The explanation appears to lie partly in the existence of structural or system defects which have impaired the growth and adaptation of child mental_health services, and partly in societal ambivalence towards children.",1973,0.47984615384615387
Recent mental_health was only weakly associated with sexual adaptation.,1974,0.486
Investigation of mental_health and job satisfaction by means of Kornhauser's (1965) questionnaire appears to demonstrate the existence of at least six factors concerned with personal life adjustment.,1974,0.48608333333333337
"It is hypothesized that the mental_health-job satisfaction relationship exists only on the lower skill, routine work level.",1974,0.47912499999999997
