Sentence,Year,Mean_Arousal
"This paper illustrates a crude first approximation of what appears to be a fruitful method for investigating differential relationships between anxiety, oral-dependency needs, and hostility and hydrochloric acid secretion during psychoanalytical and psychotherapeutic hours.",1953,0.4725000000000001
"There was no significant deviation from normal in Group 3 where electrical current was applied, but anxiety and anticipation was at a minimum.",1954,0.47177777777777774
The spread of anxiety as seen in curves of generalization seems greater at the unconscious than at the conscious level.,1955,0.4845714285714286
The chronic anxiety level of the subject may be related to the ease of acquisition and spread of new anxiety responses.,1955,0.48425
These studies suggested the hypothesis that there is a general relationship between anxiety and good reading in relation to arithmetic.,1957,0.4875
This hypothesis was investigated by studies of the relation of anxiety to readingarithmetic disparity among a group of primary school children and among a group of secondary modern school boys.,1957,0.47825
Overactivity has been found typical of anxiety in other experimental and clinical observations.,1960,0.4871666666666667
"It is concluded that if any assertion may be made regarding the general relationship of anxiety and attainment among secondary school children, it is that they are negatively correlated.",1961,0.4726
The personality measures of anxiety were found to be related to dogmatism in opinionative and factual matters.,1962,0.4781666666666667
"S.P. has been used succesefully in the treatment of character disorders, anxiety states, phobic reactions, diverse neurotic symptom complainta, various psychophysiological reactions and some psychotic reactions of achieophrenia Verbatim reports of three such seaaiona are included.",1962,0.48441666666666666
Easy and difficult lists of trisyllabic nonsense syllables were learned by 6 somnambulistic Ss under conditions of hypnotically induced higt and low anxiety.,1962,0.48550000000000004
"Measured in terms of days spent in hospital, E.C.T. seems to have some advantage over chlorpromazine in the treatment of the anxiety-depressions of psychopathic habitual criminals entering prison to serve long sentences.",1962,0.4772307692307693
"Samples of 1214 yearold British and American children were tested with Cattell's HSPQ, and their mean scores compared on fourteen personality factors and two secondorder factors (extraversion and anxiety).",1963,0.4758571428571429
Aspirin lacked evident analgesic effects and apparently potentiated Ss responses to anxiety evoking stimuli.,1963,0.48150000000000004
"Five categories of affective responses were operationally defined and shown statistically to provide a reliable means of identifying anger, anxiety, contentment, depression, and helplessness-hopelessness.",1963,0.4825454545454546
