This study examines findings from a pediatric health history and child physical examination conducted for 105 outpatient and 105 inpatient children who were classified on the basis of their history of physical and sexual abuse.	natural
The objectives of this study were to examine differences in substance abuse treatment needs, treatment utilization, and outcomes between Asian Americans/Pacific Islanders (AAPI) and others.	natural
VOICES/VOCES was delivered to 922 high-risk individuals in a variety of community settings such as substance abuse treatment centers, housing complex centers, private residences, shelters, clinics, and colleges.	natural
For successful prosecution of child sexual abuse, children are often required to provide reports about individual, alleged incidents.	natural
A 12-month course of treatment including at least 6 months in a therapeutic community followed by outpatient treatment can produce marked reductions in drug abuse and crime among persons who complete both phases.	natural
Mother's nurturance and promotion of autonomy were assessed in a laboratory setting; boys' substance abuse was measured by self-report methods in the same year as the observation.	natural
Participants were 147 male veterans admitted to inpatient substance abuse treatment at a U.S. Department of Veterans Affairs medical center.	natural
A total of 16.4 of the surveyed students reported either abuse or dependence symptoms with alcohol in the past year.	natural
The present study assessed the contribution of physical abuse to increased risk for suicidal behaviors in physically abused adolescents compared with nonabused adolescents.	natural
In contrast, unsupportive responses where professionals minimized, or disbelieved victims' allegations of sexual abuse appeared to exacerbate the negative effects of the sexual abuse, ultimately inciting secondary victimization.	natural
Child sexual abuse continues to be a problem within the United States with both the numbers of reported cases, and quite probably the number of actual cases continuing to grow.	natural
The initial Global Positive (but not Global Negative) scores were correlated with latency to next use of cocaine and with lifetime use of the drug, suggesting that abuse potential of the drug is related to magnitude of initial positive effect.	natural
The pattern of results for physical symptoms suggests that women with a history of childhood sexual abuse may be particularly susceptible to the effects of heightened daily stress, and may display this susceptibility in the report of physical symptoms.	natural
Variance across the four biopsychosocial domains centred on alcohol/drug use and smoking, childhood (sexual) abuse and neglect, relationship discord, infidelity, dissatisfaction with previous therapy, and new employment or work re-location.	natural
Mental health was measured with the Hospital Anxiety and Depression Scale, and abuse (psychological, physical, sexual, financial, and physical injuries) based on the Revised Conflict Tactics Scale and the UK survey of abuse/neglect of older people.	natural
Children who enter foster care are at unique risk for developing substance abuse due to experiencing early life stressors.	natural
Emergency Medicine (EM) physicians frequently see patients with alcohol abuse or dependence (AA/AD).	natural
Four major themes emerged from in-depth interviews with MFT trainees: focus on the couple, systemic conceptualization of partner abuse, feminist conceptualization of partner abuse, and influence of culture.	natural
The social stress model provides a framework for detecting protective factors that may contribute to adolescents' resiliency when confronted with compelling influences to engage in substance abuse.	natural
Furthermore, these parents often find themselves in situations which provide a special opportunity for undetected abuse and they also strive to arrange such circumstances.	natural
These include posttraumatic stress disorder, anxiety, depression, substance abuse, eating disorders and probably some personality disorders or trait abnormalities.	natural
The present study reviews the field of disclosure and examines factors affecting disclosure among a service population of abused children who were placed in residential care due to various forms of abuse (e.g., physical, sexual, emotional, neglect and witnessing domestic violence).	natural
The first section of this paper explores the discovery of organised ritual abuse and reviews the literature with particular attention to the developing knowledge base, the question of credibility, the silencing of debate, and the ongoing research.	natural
Currently integrating mental_health, substance abuse, and health behavior into Patient-Centered Medical Homes (PCMH) is being advocated with increasing frequency.	natural
This study empirically tested and compared three different models of factor structure with a sample of therapists working with sexual offenders, survivors of sexual abuse, or both.	natural
This article reviews the design and analysis issues that face community-based drug abuse prevention trials.	natural
Alcohol Abuse and Dependence Syndrome was established according to DSM-IV and Risky Drinking was defined in two ways: heavy drinkers (>7 drinks/week) and as binge drinkers (>3 drinks/one occasion).	natural
IPV is a complex problem often fueled by an equally complex mixture of risk factors, including substance abuse, childhood abuse and trauma, PTSD, depression, personality disorders, and various other stressors.	natural
Mental health measured self-reported emotional distress, substance abuse, and deviancy at the time of interview.	natural
Further, we delve into the literature to provide moderating factors affecting workplace abuse relationships as well as mediating processes that help to explain why abuse occurs and its outcomes in the workplace.	natural
