sentence,year,sentiment,epoch
"Consultation with medicine men was built into the program from the start, and adaptation of mental_health techniques to fit the culture is stressed.",1975,0.6,1975
"Although consultation, as an activity for intervention, has achieved considerable popularity among human service professionals and figures prominently in current federal mental_health legislation, a basic question still unanswerable is, Does it work?",1975,0.6649333333333334,1975
Consumers of service in a decentralized unit of a county mental_health services organization were surveyed.,1975,0.63375,1975
It was hypothesized that the introductions of a new business or industry into a high-poverty-level Indian reservation community would produce conditions that could have both positive and negative effects on mental_health.,1975,0.6610833333333334,1975
The focus of this paper is to delineate the basic skills that might be appropriate for a community--clinical psychologist.. The need for competent professionals to deliver mental_health services has exceeded the capacity of existing training programs.,1975,0.6306,1975
"A thorough knowledge of child development, combined with awareness of the basic tenets of crisis intervention, offers the child mental_health professional guidelines to assist placed children in coping with their uncertain environment.",1975,0.6553888888888888,1975
"After citing research indicating that competence is a necessary condition of mental_health, this article defines cognitive competence as a crucial form of mastery, attempts to show how it develops, illustrates how mental_health depends on this capacity, and briefly sketches out four conditions psychological education curriculums can provide for facilitating students' acquisition of cognitive competence.",1975,0.6336956521739132,1975
"Unlike traditional students, TIP (Training Indigenous Persons) students were admitted to graduate level courses in mental_health counseling on criteria other than their past academic record.",1975,0.6562666666666667,1975
"We hypothesize that, to maintain mental_health, it is better to idealize the unalterable past.",1975,0.587,1975
A system for evaluating treatment process at a behaviorally-oriented community mental_health center is described.,1975,0.6362,1975
"A model for the delivery of mental_health services to people residing in small communities (less than 10,000 population) is presented.",1975,0.5561666666666666,1975
The adherence of a community mental_health center staff to community mental_health ideology was measured by the BakerSchulberg CMHI Scale.,1975,0.6341249999999999,1975
This paper discusses a program for recruiting and training volunteers for a community mental_health center.,1975,0.6365714285714285,1975
"Describing the unsettling effects of adding family therapy procedures to the offerings of a mental_health clinic, the author argues that changes in the theory of causation, diagnosis, therapeutic technique, and clinical training are required in order to make such an innovation.",1975,0.6449999999999999,1975
