sentence,year,mean_sentiment
The Attitude Toward Disabled Persons Scale was adapted to yield two additional scales probing alcoholism and mental_illness.,1964,0.5044
Problems of definition and classification in psychiatry and the impact of mental_illness on the individual and the community pose unique problems for psychiatric register studies.,1966,0.5143
"In Study I, 121 college students in 3 states were given the Opinions about Mental Illness questionnaire (OMI) and a test of knowledge about mental_illness devised by Nunnally.",1970,0.5174285714285715
"Patients who were found to have chronic disability following mental_illness in a prevalence survey in Salford, England, were compared according to their attributes and their location in or out of hospital.",1970,0.50675
The rates for chronic disability rose regularly with age and differed from the bimodal distribution shown by inceptions of mental_illness in the same town at about the same time.,1970,0.5062857142857143
"Almost 60 of the bereaved suicides showed a predisposition to mental_illness before their bereavement: they had psychiatric treatment, attempted suicide or had a positive family history.",1971,0.5178
Star and Cummings findings that in 1950 and 1951 only a small minority of the public was able to identify symptoms of mental_illness other than those of paranoid schizophrenia are at variance with the findings of the major studies carried out in the 1960's.,1973,0.5081666666666667
The extent to which attitudes towards mental_illness and the mentally ill were influenced by the respondent's own level of personal adjustment was studied for 77 female psychiatric aides.,1973,0.51575
Attitudes towards mental_illness are interpreted as becoming more liberal and rejection appears to be based on specific behavioral attributes.,1976,0.5166000000000001
This was a study of opinions about mental_illness among occupational groups from a state psychiatric hospital and community mental_health centers.,1976,0.5135
"Despite physical impairment the asthma group failed to show any significant excess in point prevalence, or any difference in the diagnostic categories of mental_illness suffered.",1977,0.5068181818181818
"Results showed that both of these variables influenced the degree of attributed mental_illness, the degree of attributed psychological disturbance, and the degree of social rejection.",1977,0.5157142857142858
"At the other extreme is a subset of respondents who regard hospitalization as objectionable in principle, who narrowly define mental_illness and who are unlikely to restrict the career choices of the formerly hospitalized.",1979,0.5044000000000001
"The fallacy of course, is that the prevention of mental_illness or suicide has financial consequences and that there are of a nature to be assessed.",1981,0.516
"Stresses of medical practice, recognized as severe, do not increase morbidity and mortality of physicians due to physical illness; the rates of substance dependence, divorces, and mental_illness, however, exceed those in the general population.",1982,0.5131764705882353
Students with more severe personality disorder or those with a recent history of serious mental_illness progressed less satisfactorily.,1983,0.50325
It is suggested that increasing evidence of neurophysiological etiologies for mental_illness must be taken into account in rationalizing the effectiveness of occupational therapy for psychiatric disorders.,1983,0.504
"Factor analysis of the items revealed 3 independent factors: External Attribution (i.e. blaming the crime on social circumstances, victims, society); Mental-Element Attribution (i.e. blaming responsibility for the crime on mental_illness, poor self-control, distorted perception); Guilt-Feeling Attribution (i.e. feelings of remorse, regrets, need for punishment).",1984,0.514423076923077
It does not constitute evidence of superstitious and primitive notions about mental_illness in the early Middle Ages.,1984,0.5011666666666666
"The incidence of affective instability and antisocial behavior in patients, and familial mental_illness in 14 psychiatric inpatients who drew the human figure aberrantly from the feet upwards to the head were compared with 15 psychiatric inpatients who did not draw the human figure in this manner.",1985,0.5166666666666667
"Thirteen sex killers were compared to 13 nonsex killers and 13 nonhomicidal sexually aggressive men on sexual history, substance abuse, history of violence, mental_illness and personality, brain pathology and endocrine abnormalities.",1988,0.5008333333333334
The findings presented here suggest that mercury poisoning from dental amalgam may play a role in the etiology of mental_illness.,1989,0.5092222222222222
"Second, we asked to what extent suicides of older mentally ill persons are definitely created by their mental_illness.",1989,0.5195000000000001
"It was found that rejection of the mentally ill in situations of social relations was linked to prior personal experience with mental_illness, perceived dangerousness of the mentally ill, and age of the survey respondent.",1989,0.5
"Selected problem areas that span a spectrum covering folk/traditional conceptualizations of mental_illness, standardized concepts and methods employed in epidemiology, approaches to psychiatric diagnosis in biomedical settings, and more basic epistemological assumptions involving psychiatric nosology and theory receive systematic attention.",1990,0.5182666666666667
In over 50 of cases continuation of in-patient stay was necessitated by the severity of mental_illness.,1991,0.5155000000000001
Much controversy exists over the treatment of mental_illness and many critics argue that the exercise of medical authority results in the social control of the mentally ill.,1991,0.5043333333333334
People who are dually diagnosed with severe mental_illness and substance use disorders constitute 10-20 of homeless persons.,1991,0.5062857142857142
In this metaanalysis of 34 clinical studies on attachment the hypothesis is tested that maternal problems such as mental_illness lead to more deviating attachment classification distributions than child problems such as deafness.,1992,0.5173
