sentence,year,mean_sentiment
B. Personality disturbances precipitated by or first becoming evident in association with infection or trauma (37).,1945,0.5156666666666667
E. Trauma resulting from personality disturbances .,1945,0.504
"The mode oneset of the present illness (sudden or gradual), its duration, and four characteristics of the past medical history (number of illnesses in childhood and adult life, surgery, and trauma) were unrelated to anxiety scores.",1966,0.5172105263157895
Withdrawal of ether was then used to create a situation of deprivation to arouse in the transference attitude the feelings produced by the early trauma.,1968,0.5159166666666667
"While virtually anyone may lose his desire to live, the patient who suffers severe emotional trauma in surgery, along with severe distortions of his body, may be particularly susceptible to this apprehensiveness.",1971,0.5188666666666666
"The findings were explained on the basis that trauma to the head results in two broad and measurable psychological effects: generalized impairment of concentration and attention and , depending upon locus of injury, additional impairments of selective coping skills.",1971,0.5031333333333334
"First, considerable psychological trauma can be generated by events such as the demotions reported here.",1972,0.5065714285714286
The results failed to substantiate that increased dosage level resulted in more effective modification of trauma effects.,1973,0.510875
"Nonaccidental-Trauma children had Mental and Motor Scale range scores, as determined by differences between basal and ceiling items on the Mental and Motor scales, that were a function of measured Mental and Motor Index Scores.",1977,0.5165
"Specifically, Nonaccidental-Trauma children with lower Mental Index scores had higher Mental Scale range scores than Nonaccidental-Trauma children with higher Mental Index scores, p less than .003.",1977,0.5116666666666667
These differences may reflect differential effects of the Nonaccidental-Trauma and Failure-to-Thrive conditions.,1977,0.5038888888888888
The method is illustrated in a data set dealing with the behavioral consequences following hypoxic trauma.,1980,0.5181666666666667
"In addition, subjects chose significantly more often to stand to the left (nondisfigured) side of the confederate in the birthmark and trauma conditions than they did in the normal condition.",1982,0.5039
The case is examined to see whether the Rorschach responses and the artist's choice of subject matter demonstrate the repetition compulsion familiarly associated with trauma.,1982,0.5074000000000001
The symptoms are the outgrowth of developmental trauma affecting body ego and archaic sense of self and caused by peculiar symbiotic and separation-individuation phase relationships.,1982,0.51
The evidence suggests that medical treatment of breast cancer produces psychosocial trauma in both the patient and her husband due to the loss of the breast and/or physical disfigurement.,1983,0.5120000000000001
These temporal lobe microseizures can be learned as responses to existential trauma because stimulation is of powerful intrinsic reward regions and reduction of death anxiety occurs.,1983,0.511357142857143
