sentence,year,mean_sentiment
"It would appear that, during the Period Phase, there tends to be a slight depression of scores, other than in practical/mechanical performance, but this is too inconsistent and insignificant to warrant compensation in prediction, being no greater than the effects of the more common minor ailments.",1958,0.5197619047619048
"Striking changes were observed in his total behavior and mood: times of great activity and health alternated with resurgences of passivity, depression, and apparently increased vulnerability to illness, designated as readiness to regress.",1960,0.5190588235294118
Psychiatric phases characterized by a high degree of anxiety or depression were found to be associated with marked elevations in urinary 17-hydroxycorticosteroid excretion--as high as 23 times normal.,1963,0.5074166666666667
Longitudinal behavioral ratings of depression and anxiety showed high positive correlations with 17-OHCS levels when analyzed over time for a given patient.,1965,0.520125
"From the patient group profile six factors were suggested as important in depression: low ego strength, low surgency, high superego, high premsia, high guilt proneness and high ergic tension.",1966,0.5103125000000001
"When retention of the bilaterally acquired reaction was tested during unilateral cortical spreading depression (CSD) no savings was seen in the hooded rats, while the albino rats required about three times more trials to criterion than during the original learning.",1966,0.502076923076923
The effect of cortical spreading depression on two previously established avoidance reactions in rats was studied.,1966,0.518375
"Responses ranged from frank depression to cheerfulness, from extreme anxiety to casualness, and from scrupulous cooperation with the medical regimen to active defiance.",1966,0.5156363636363637
"A measure of change in depression, based on the construct of energy output, was used to differentiate two depressed groups, one which improved and one which was unimproved.",1967,0.5021538461538462
Improvement was defined by change in MMPI Depression Scale score.,1967,0.5153333333333333
Depression showed a positive linear correlation with both seizure activity and 17-OHCS levels.,1967,0.5183333333333334
The only infant not showing deep depression was the offspring of the dominant female.,1967,0.5011666666666666
"The depression items were administered, along with personality marker items from the 16 P.F. Test (or HSPQ), to a mixed group of 139 patients and controls and to 169 younger adults.",1967,0.5053749999999999
The effect of cortical spreading depression (CSD) on locomotor performance was studied during acquisition and retention of avoidance conditioning in the runway.,1968,0.5054000000000001
Repetition of avoidance sessions was associated with a tendency for the duration of the initial depression in estrogen levels to shorten and for the rebound elevation to occur at an earlier point in the recovery period.,1968,0.518
It was concluded that in the unilateral spreading depression paradigm the degree of transfer obtained on similar tasks is altered by changing the reinforcement.,1969,0.5183749999999999
"According to McLuhan, Ss who were shown the accident film by a hot medium (movie) were expected to score significantly higher on the anxiety, depression, and hostility sub-scales of the MAACL than those who were exposed to the cool medium (television).",1969,0.5205882352941176
"Psychologic evaluation failed to reveal common psychodynamic issues, but suggested marked secondary depression, generalized distortion of body image, and in certain cases, cognitive impairement which was undetected on conventional mental status exam.",1970,0.5161250000000001
"The D scale (Depression) and the Pt scale (Psychasthenia) were selected as sensitive indicators of self-perception; comparison of pre- and post-treatment scores indicated improvement on both scales (D scale, p = .001; Pt scale, p = .02) as a function of the cosmetic.",1970,0.5153749999999999
"The mechanisms of interhemispheric transfer of brightness or pattern discrimination were explored in rats, using cortical spreading depression (CSD) to achieve a functional split-brain.",1970,0.5158
They obtained higher scores than normals even when well and their scores increased considerably during episodes of depression in proportion to the depth of the depression.,1970,0.5061249999999999
"MMPI Depression scales (D and D30), Social Desirability scales from Edwards (SD) and from Marlowe-Crowne (MC-SD) were administered to 61 alcoholic patients together with a set of mood scales.",1970,0.5105999999999999
Each depression of either partner's switch activated the time-out light.,1971,0.5158
"Also investigated were the following aspects of centrally mediated response depression produced by repeated stimulation: (a) the cumulative response depression of three days of habituation training had dissipated in five of seven animals within six days; (b) dishabituation in the spinal frog, as in the acute spinal cat, is mediated by a superimposed facilitation rather than a reversal of the habituation process; (c) approximately equal response depressions were produced by 60 stimuli delivered sec, min, or in 20 trains of three stimuli 15 sec apart delivered min.",1971,0.5187666666666667
On Day 1 they were trained the task with one cortical hemisphere rendered non-functional by cortical spreading depression (CSD).,1971,0.5171111111111111
At ES current levels sufficient to produce RA in ether anesthetized mice the primary afterdischarge of the seizure was not followed by postictal depression.,1971,0.518
"Three hypotheses of interhemispheric transfer of active and passive avoidance responding under spreading depression were examined; generalization decrement, performance decrement, and memory confinement.",1971,0.5041666666666667
"This study compared two training methods for preparing counselors to discriminate verbal, facial, and voice cues that are associated with the emotion of depression.",1972,0.5178999999999999
"Medical investigation yielded no organic cause for the vomiting which, on psychiatric evaluation, was found to be a conditioned response to stimuli from the depression that had started very shortly before the onset of the infarction.",1972,0.5074285714285715
"At a 5-month follow-up, the patient remained free of vomiting and the depression had ameliorated.",1972,0.5035000000000001
"Both sorts of prestimulation depressed the amplitude of subsequent effector activity to the startle stimulus as well as the stabilimetric measure, indicating that demonstrations of stabilimetric depression caused by prepulses do result from direct effector inhibition.",1972,0.5060714285714286
Hamilton's general factor was confirmed but his bipolarity between agitated and retarded depression did not emerge.,1972,0.5154285714285715
The same seems to hold true for manifest depression.,1972,0.5105000000000001
"In Stage III, and in line with prediction, data obtained from 105 female undergraduates indicated that the behaviors associated with anxiety were less easily recognized than those associated with the other emotions; data from 90 male undergraduates indicated that anxiety was less easily recognized than all the other emotions except depression.",1972,0.50075
Twenty-five patients displaying constriction in their Bender records and 25 patients not showing this indicator were compared with regard to MMPI Depression scores.,1973,0.51775
"The first, involving straight runways, revealed hyperbolic gradients within chains for each of three lengths, .61, 1.22, and 2.44 m. Between-chains comparisons showed a goal gradient effect confined to the start box segment and a long-chain depression effect in the last two segments.",1973,0.5097857142857143
"Single waves of unilateral depression increased the onset-latencies and decreased the duration of elicited behavior, depending on the magnitude of the electrical stimulation.",1973,0.513
"In some animals single waves of unilateral depression were accompanied by a reversible shifting from one elicited consummatory response to another, usually from eating to drinking.",1973,0.506125
Control rats which learned the aversion with both hemispheres functional show a very strong aversion to LiCl in subsequent tests with either both hemispheres functional or one hemisphere under spreading depression.,1973,0.5182499999999999
"A systematic review of 53 studies of the onset conditions revealed: No symptoms were reported which were without psychological antecedents, although the level of the relationship between psychological antecedent and symptom was usually only moderate or weak; the psychological antecedents, in order of rank with highest first, were resentment, frustration, depression, anxiety, and helplessness; the special uniqueness of the review is in its systematic coverage of the immediate-context research (23 studies) and the comparison of those with a sample of broad-context, mainly retrospective, research studies (30 studies).",1973,0.5204166666666666
A factor analysis of the responses of suicide attempters to the Beck Depression Inventory yielded factors similar to those found in previous studies of nonattempters.,1973,0.5016666666666666
"It is suggested that anxiety, depression and their style of expression are key elements in the relationship that holds between relative weight and proneness to coronary heart disease.",1974,0.5074166666666667
"The OSQ seems to be measuring depression, anxiety, and self-devaluation as they affect emotional tone, mastery of external problems, psychopathology, and adjustment.",1974,0.510090909090909
This paper presents findings from a controlled investigation of psychomotor performance in depression and mania to test Court's (1968) continuum model.,1974,0.5115000000000001
Only some of the main symptoms of cyclothymic depression can be considered as autochthonic.,1974,0.5075000000000001
"The biochemical maturation of the brain, followed in terms of the age-dependent increase in the glutamine/glutamate specific radioactivity ratio, was severly retarded in the undernourished animals, mainly as a result of a marked depression in the conversion of leucine carbon into glutamine.",1975,0.5086249999999999
"Finally, evidence is presented showing that the therapy was successful, and Job recovered from his state of helplessness and depression.",1975,0.502
