sentence,year,mean_sentiment
This study concerned the behavioral basis for judgments of improvement in mental_health of hospitalized psychiatric patients as these judgments are made by various kinds of psychiatric staff and by the patients themselves.,1966,0.5122222222222221
A study was begun in the Fall of 1965 concerning the need for psychiatric treatment and mental_health counselling among Finnish university students.,1968,0.5178571428571429
"The general hypothesis tested was that the degree of physical limitation, the dependency status resulting from that limitation and social isolation each have a negative effect upon the mental_health of an impaired individual.",1970,0.5011333333333334
"Physical limitation, dependency and social isolation were all found to be associated with poor mental_health.",1970,0.5039999999999999
Legal referrals reported a significantly smaller pretreatment alcohol intake than self and mental_health referrals.,1976,0.5003333333333333
This was a study of opinions about mental_illness among occupational groups from a state psychiatric hospital and community mental_health centers.,1976,0.5135
"The personnel of the community mental_health centers were significantly less authoritarian and socially restrictive, and more acceptant of Mental Hygiene Ideology and Nontraditionalism than their hospital counterparts.",1976,0.51575
"This article represents an overview of the various types of evaluation research conducted in the fields of crisis intervention, suicide prevention, and mental_health in general.",1976,0.5104
"This study further explores the relative merits of MMPI factor scores versus clinical scale scores, using the MMPI results of a large unselected sample of public mental_health patients and using mental status examination findings and clinical, diagnosis as criterion variables.",1977,0.5047058823529413
"Seventy outpatients at a community mental_health center completed the SelfRating Depression scale, additional questions about their symptoms, and the Restraint Scale which measures attitudes about eating and dieting.",1978,0.5179
Minimum aptitudes for selected occupations in 19 worker trait groups are cited from the GATB manual as a starting point in considering occupations with the restricted mental_health population often referred for services.,1978,0.5120000000000001
Christian mental_health practitioners must recognize the problems in the cities without automatically equating emotional sickness to blacks.,1978,0.51025
This paper maintains that mental_health delivery systems must be supplemented by critical analyses of the hidden assumptions that guide policy and technique decisions.,1978,0.5104444444444444
Calculated the correlations between the severity ratings for 27 psychosocial problems and global impairment ratings of daily functioning for 109 men and 206 women admitted to the outpatient services of a community mental_health center.,1979,0.5191111111111111
"The findings indicated battering was a regular, routine occurrence not only of women referred for mental_health problems, but for women of the entire community.",1980,0.5036666666666666
"Curanderos and mental_health care professionals differ in the way they perceive psychopathology, as demonstrated in the way they responded to a set of hypothetical case histories.",1980,0.5129999999999999
Divorced marital status and marital discord are related to psychiatric impairment and mental_health service utilization.,1980,0.5106666666666667
"An educational model has been developed employing the psychological processes used in the study, and further investigations are under way to assess the effect of the patient's mental_health on the course of cancer.",1980,0.5147999999999999
The federal regulations governing confidentiality of alcohol and drug abuse patient records are examined with respect to their applicability to mental_health and other medical records.,1980,0.5165454545454545
The problem of clinician resistance to automated systems in mental_health care delivery settings is discussed.,1981,0.5
The videotaped interviews were then independently rated by bicultural/bilingual mental_health professionals who used the Brief Psychiatric Rating Scale to determine the extent of psychopathology expressed by the patients during each interview.,1981,0.508
"Because sex reassignment surgery may be helpful to some patients with the syndrome and harmful to others, mental_health professionals need to competently perform differential diagnoses of both the gender disorder and the associated psychopathologies.",1981,0.5193076923076924
"Subjects reported that PCP use-particularly long-term, extensive use-resulted in frequent disruption of education and employment, impairment of relationships with parents and with lovers or spouses, involvement with the criminal justice system, and deterioration of physical and mental_health.",1981,0.5059411764705882
These foster families are attached to the Pierre Janet psychiatric hospital centre in Hull and take people with mental_health problems.,1981,0.5115
Alcoholics Anonymous as a treatment modality for alcoholism has been widely accepted by both the public and mental_health professionals.,1981,0.5071666666666667
Young people are particularly vulnerable to unemployment and the consequences of this for psychosocial development and mental_health are not well understood.,1982,0.5006
"Used the SCL-90 Analogue to rate nine psychiatric syndromes-and overall psychopathology in 1,046 mental_health and 809 substance abuse patients admitted to a large metropolitan, community mental_health center.",1982,0.5138461538461538
Disaster victims typically do not request services from the mental_health system.,1982,0.5122
"Since these patients frequently resist outpatient contact with mental_health practitioners, however, it becomes essential to visit them while they are undergoing dialysisa setting that presents problems of distraction, interruption, and lack of privacy.",1982,0.519
