sentence,year,mean_sentiment
"The doctrinal significance of the existence of definite organic lesions which do not produce a marked EEG abnormality when associated with anxiety, agitation, and delusion, is stressed.",1945,0.5135384615384615
The anxiety states as well as the effort syndromes had a significantly poor exercise response compared with the normal controls.,1946,0.5175000000000001
"There was no significant deviation from normal in Group 3 where electrical current was applied, but anxiety and anticipation was at a minimum.",1954,0.5138888888888888
The effect of disseminated lupus in producing organic cerebral changes contributes to the disruption of ego integrative activity and acts as an additional anxiety-producing agent.,1955,0.5021818181818181
The spread of anxiety as seen in curves of generalization seems greater at the unconscious than at the conscious level.,1955,0.5164285714285715
Peripheral vasodilatation in the finger was an undifferentiated response that appeared to be associated with anxiety and fear that did not lead to effective action and relief.,1955,0.5002
"While the alleviation of the disease to some extent reduced their anxiety about their physical health, they are then faced with anxiety-laden problems which they had previously been able to avoid because of their heart ailments.",1956,0.5118461538461538
"A learning test requiring drawn reproductions of visually presented stimuli was analysed by practice stages and correlated with questionnaires of extraversion, neuroticism, manifest anxiety, rigidity, dogmatism, intolerance of ambiguity, positive extreme response set, as well as with age and intelligence.",1960,0.5
Five other Rorschach factors known to be significantly elevated following a hypnotically induced anxiety state and which are indexes of neurotic anxiety did not achieve a significant correlation with the change in hormone level.,1960,0.5187333333333334
Eysenck's treatment of the Hullian type of learning theory in his account of the dynamics of anxiety and hysteria is criticized for three reasons.,1961,0.5182727272727273
"Deviation from normal development in changes of cathectic orientation seems to be related to absence from school, anxiety, guilt and identification.",1961,0.5156363636363637
Psychiatric phases characterized by a high degree of anxiety or depression were found to be associated with marked elevations in urinary 17-hydroxycorticosteroid excretion--as high as 23 times normal.,1963,0.5074166666666667
The IPAT Anxiety Scale and other tests were administered at the beginning of the third trimester.,1963,0.513
"The possible effects of behavioral agitation, anxiety, examiner differences, facility with letters of the alphabet, order of administration, and ego-involvement were investigated.",1964,0.5192857142857144
A population of obstetrical patients was administered the IPAT Anxiety Scale during each trimester of pregnancy.,1964,0.5188
"Smooth bi-directional temporal generalization gradients were obtained, but their slopes were unaffected by differences in anxiety or by the interaction of anxiety and stimulus intensity.",1964,0.5103
