sentence,year,sentiment,epoch
"Classification of the MMPIs by code type resulted in the formation of groups of 10 subjects with normal MMPIs, 19 subjects with MMPI profiles suggestive of depression, and 10 subjects with profiles suggestive of psychosis.",1985,0.4803333333333334,1985
Patients judged ready for release from a state mental hospital were interviewed to determine their levels of depression and psychosocial functioning.,1985,0.476125,1985
Panel regression analyses indicated that Time 1 depression level as well as medical problems at Time 2 (t2) were significant predictors of depression at t2 in rural areas of the mid-South.,1985,0.4755833333333333,1985
This internal or external desynchronisation seems thus to be the central concept of different models for depression.,1985,0.49200000000000005,1985
"The results of a study, realized in the Department of Psychiatry of the University of Limoges, showed that the depression among women is not only different and preponderant, but also more acute.",1985,0.4795714285714286,1985
Some validation of the factors obtained comes from their resemblance to those derived from adult depression measures and from diagnostic symptom listings.,1985,0.5068333333333334,1985
The attributional formulations of the learned helplessness model of depression were tested with regard to the model's applicability to women and its implications for assertion training as a therapy for depression.,1985,0.49909090909090903,1985
"Pre and post intervention measures consisted of EMG recordings of neck muscle activity; self-report measures of neck and general body relaxation, level of pain intensity, depression, anxiety and functional impairment.",1985,0.5050555555555556,1985
"Mother's diagnosis (bipolar, major unipolar, or minor depression, or no psychiatric disorder), self-reported current mood states, and affective behavior in interaction with the child were considered.",1985,0.5079333333333333,1985
"Insecure (A, C, and A/C patterns) attachments were more common among children of mothers with a major depression (bipolar or unipolar) than among children of mothers with minor depression or among children of normal mothers.",1985,0.4753636363636364,1985
It can also enable an elderly person to deal with and work through painful and unresolved issues from the past without becoming overwhelmed by feelings of anxiety or depression in the life review process.,1985,0.48528571428571426,1985
Implications of these results for the reformulated learned helplessness model and depression therapies that include an attribution retraining component are discussed.,1985,0.4764285714285714,1985
"Previous research by Hammen (1978) investigating cognitive distortion among college students yielded an interaction between depression level and stressful life experiences, with depressed individuals with low stress showing the highest levels of distortion.",1985,0.4711764705882353,1985
The study was designed to assess attributional styles and cognitive measures associated with anxiety as distinct from depression.,1985,0.4754285714285714,1985
"Results indicated that (a) assessment of one's problem-solving skills are related to the number of personal problems reported, and to ratings of short- and long-term depression; (b) assessment of one's problem-solving skills do not seem to be linearly related to attributional style; and (c) attributional style is not linearly related to depression.",1985,0.4932272727272727,1985
Sixty-six community-residing elderly (mean age = 72.5) were categorized as depressed (mean = 11.3) or nondepressed (mean = 3.9) based on Beck Depression Inventory scores.,1985,0.4706666666666666,1985
"With pre-test differences statistically controlled, depression produced significant post-test deficits in three measures.",1985,0.50225,1985
"Gifted adolescents reported degree of loneliness to be a function of anger, depression, and stressful life changes.",1985,0.48229999999999995,1985
Support from peers was not significantly related to depression.,1985,0.5063333333333333,1985
Use of the instruments designed to assess mental status did not indicate greater levels of anxiety or depression in elderly victims as compared to non-victims.,1985,0.5061111111111111,1985
"The subgroups, which were identified as learning disabled only, learning disabled with low IQ, learning disabled with socio-emotional disturbance, and learning disabled with hyperactivity, did not differ in magnitude of depression; however, the relationships between depression and achievement and IQ were substantially different in each subgroup.",1985,0.4908333333333333,1985
"For the two largest subgroups, learning disabled only and learning disabled with socio-emotional disturbance, it was suggested that depression is the consequence of learning failure in the former and a possible cause of learning failure in the latter.",1985,0.477,1985
A stepwise multiple regression predicting depression scores included two of the six predictors and accounted for 14 of the variance.,1985,0.48666666666666675,1985
The implications of the results for the assessment and treatment of depression are discussed.,1985,0.48133333333333334,1985
"Clergy also revealed a strong interest in attending seminars relating to stress, marital communication, psychological testing, divorce, depression, working with mental_health professionals, anger, delinquency, and sexual problems, with the stipulation that these programs be of minimal cost and time.",1985,0.4807777777777777,1985
"The purposes of this study are to determine the incidence of significant clinical depression among alcoholics at treatment intake at a Veterans Medical Center, to subdivide alcoholics who show significant clinical depression into enduring and transient depressive subgroups, and to identify demographic and psychometric variables useful in discriminating between these two subgroups.",1985,0.5073478260869565,1985
"Patients with enduring and transient depression, as defined in this study, were differentiated on the basis of age, drinking pattern, and selected scales from two psychometric instruments which measure depression, confused and disorganized thinking, and an avoidant personality style.",1985,0.49077777777777765,1985
"In a study of the recovery of women who had undergone a mastectomy, the respondents' mean score on the Center for Epidemiologic Studies Depression Scale CES-D) was three points lower (indicatine less depression) than the mean score of a sample of women from the general population interviewed as a comparison group.",1985,0.5022222222222222,1985
"The 19 long-term survivors (alive 7 years after testing) had a lower self-regard and more emotional symptoms, were more introverted, and tended to express more anxiety, depression, and hostility than did the 7 short-term survivors (who dicd within the first year).",1985,0.4957499999999999,1985
Females also reported more symptoms of depression in response to stressors involving the school environment.,1985,0.495,1985
Women who did report the birth of a child as difficult and as a crisis tended to also report psychological distress in pregnancy and depression of mood in the postnatal period.,1985,0.4819166666666666,1985
stress-relevant symptomatology of depression was considered to be characterized by a deficit of active counterstress coping activity and obsessive-compulsiveness by ritualistic efforts which have little or no direct effect on stress occurrence.,1985,0.4988125,1985
"Two studies examined predictions of the learned helplessness model of depression among young adults who had recently ended a romance In keeping with helplessness predictions, we found in Study 1 (n = 68) that depressive mood reactions were most pronounced among individuals who perceived the breakup as uncontrollable and who expected future difficulty with romance.",1985,0.506,1985
"A 28-year-old woman, had, every month, a premenstrual manic-depressive cycle beginning with a hypomanic episode followed by a depression which improved with menstruation.",1985,0.5052222222222222,1985
"Response to treatment was assessed with the Hamilton depression rating scale, the Carroll depression self rating scale and the Visual analogue scale.",1985,0.4735833333333334,1985
This suggests that major depression in children is not familially related to adult bipolar major affective disorder.,1985,0.5088750000000001,1985
