Similar factors were associated with earlier age care entries in both countries including: socioeconomic disadvantage, young maternal age, maternal hospital admissions for mental_health issues, substance misuse and assault.	natural
In this paper, we discuss the possibility that the mental_health professional and client may unknowingly collaborate to create a clients false memory of childhood sexual abuse.	natural
The concluding part of this article looks briefly at how consideration of both positive psychology and psychotherapeutic processes can further our understanding of how art practice and its narratives impact on individuals with enduring mental_health difficulties.	natural
This article presents feasibility data regarding mental_health needs and participation in Project Step-Up, a secondary prevention high school program targeting socioemotional and academic domains with linkages provided to mental_health resources for hard-to-engage youth.	natural
This research, reporting on observations of 118 child and family team meetings in a community children's mental_health system of care, looks at the acquisition of power and leadership through team leaders' and members' use of narrative to frame and reframe meaning.	natural
This includes better communication between professionals of the difficulties this population may encounter, early identification and intervention where problems exist, input from mental_health professionals and social skills workshops.	natural
It is possible that the physical and mental_health of crime victims might be improved by forgiving those who have offended against them.	natural
This paper reports on an Australian survey of 304 counsellors, mental_health nurses, psychiatrists, psychologists and social workers with regard to their clinical knowledge, comfort and confidence in working with trans clients.	natural
Findings delineate the key dimensions of mental_health caregiving and show the differential links between caregiving activities and caregiving parameters and carer adjustment.	natural
The findings have important implications for the future development of adolescent mental_health services.	natural
All of the past prewar and war stresses, and the recent unemployment and other stressful life events that were investigated had independent, adverse, main effects on mental_health.	natural
It was predicted that the relationships between sexual trauma and mental_health would be stronger in religious individuals this hypothesis was supported in the case of negative mental_health (PTSD, z = 1.88, p = .003).	natural
Participants were struggling with emotional difficulties, and shared a childhood history, which included a mood disorder diagnosis and utilization of public mental_health and social services (e.g., child welfare, juvenile justice, and/or public welfare).	natural
The present study argues that it is feasible that Japanese nonmedical mental_health professionals become familiar with the psychiatric diagnoses.	natural
Further research that draws on pre-incident and longitudinal data will yield important insights into the processes that exacerbate or sustain post-incident psychological symptoms over time and provide important information for crisis preparedness and post-incident mental_health interventions.	natural
This study sought to identify depressive subtypes associated with low use of mental_health services across racial and ethnic groups based on a large, nationally representative sample of adults in the U.S. Based on latent class analysis, we identified the latent profile of depressive symptoms among those who endorsed lifetime depressed mood or anhedonia in the 2001-2002 National Epidemiological Survey on Alcohol and Related Condition (302 Asian Americans; 8602 Whites; 2266 Blacks; 2254 Hispanics).	natural
The prevalence of undetected alcohol dependence was examined utilizing the Michigan Alcohol Screening Test for 118 (68 women) users of community mental_health services as part of a Quality Assurance Review.	natural
In response to such challenges, psychologists or other mental_health professionals are often asked to provide clinical evaluations related to parenting capabilities.	natural
