Risk Reconsidered: Targets of violence in the Social Networks of People with Serious mental_health.	1998	synthetic_mental_illness
More than two fifths of adolescents experienced at least one DSM-III-R mental_health by age 18 years; PTSD developed in 14.5 of these affected youths or 6.3 of the total sample.	1995	synthetic_trauma
Furthermore, no correlation was found between Bmax values and the severity of the depression (as measured by the Hamilton Depression Rating Scale and Beck Depression Inventory) as well as with the severity of the mental_health (as measured by the Hamilton mental_health Rating Scale).	1995	synthetic_anxiety
Systems of care for children's mental_health have gained increasing attention and significance over the last decade.	1999	natural
Substance abuse treatment clients often present other severe mental_health problems that affect treatment outcomes.	1995	natural
Furthermore, it is shown that a similar age pattern occurs for employees' contextfree mental_health, suggesting that both job satisfaction and contextfree mental_health are affected by nonjob factors of lifestage and personal circumstances.	1996	natural
Childhood conduct problems are predictive of a number of serious long-term difficulties (e.g., school failure, delinquent behavior, and mental_health problems), making the design of effective prevention programs a priority.	1997	natural
The writers believe the results indicate the need for public and professional recognition that TTB exists and that it is a complex problem which can affect teacher performance, mental_health, and student learning.	1996	synthetic_morale
I then explore the meanings individuals themselves attach to role identities and their implications for mental_health.	1997	natural
Three general approaches are used to assess mental_health: informant ratings, observational methods, and technological devices.	1999	synthetic_agitation
The purpose of this study was to examine whether in acutely suicidal psychiatric inpatients, the blood serotonin concentration was related to the underlying psychiatric disorder and whether it was associated with changes in the affinity (mental_health constant, KD) or in the maximal binding capacity (Bmax) of the platelet serotonin2A receptor.	1997	synthetic_dissociation
In a convenience sample of young people (aged 12-25) seeking help for substance use, those preferring residential treatment had more mental_health and addiction problems than those preferring nonresidential treatment.	1995	natural
This paper presents the results of an audit of people with eating disorders treated by adult mental_health services.	1996	natural
The extant research on adoption and mental_health is reviewed, and an alternative interactionist perspective is offered that acknowledges the social embeddedness of experiences of adoption and infertility.	1995	natural
Brief rating instruments for pain and unpleasantness were administered, and blood was drawn for BE analysis in 48 mental_health admissions and 33 age-, gender-, and race-matched control subjects for comparison.	1998	synthetic_trauma
I. Kirsch, G. Montgomery, and G. Sapirstein (1995) meta-analyzed 6 weight-loss studies comparing the efficacy of cognitive-behavior therapy (CBT) alone to CBT plus hypnotherapy and concluded that the addition of mental_health substantially enhanced treatment outcome (p.214).	1999	synthetic_hypnosis
More posttraumatic stress disorder (PTSD) was found in the nCR-SAC than in the two comparison groups, and symptom severity was intermediate, except for symptoms of posttraumatic stress, trait anxiety, and mental_health, which were highest in the nCR-SAC.	1997	synthetic_depression
These characteristics and vulnerabilities are consistent with previous observations emphasizing long-standing conflicts involving interpersonal longing and deprivation, mental_health regarding body integrity or self-boundaries, primitive sexualization of mental_health-provoking issues, and depression (Celenza, 1995b).	1999	synthetic_anxiety
The participants completed the Eating Disorder Inventory (EDI), the Social Physique mental_health Scale (SPAS), and CHEER, a measure developed by the authors to identify pressures within cheerleading.	1999	synthetic_anxiety
This may have important implications for treatment; in cases of personality pathology, referral to secondary mental_health care might be appropriate.	1997	natural
This study examines possible relationships between perceived social support, physical and mental_health, satisfaction towards hospital services, and satisfaction towards life-asa-whole, among the community elderly with chronic conditions.	1997	natural
The strong internal consistency and test-retest reliability of the scale in the college population is documented, and its validity is attested to by demonstrating that it correlates significantly with outcomes such as dissociation, depression, difficulties in interpersonal relationships, and victimization, all of which have previously been associated with childhood mental_health or abuse.	1999	synthetic_trauma
The scores on the IPSM were higher in the subjects with a lifetime history of mental_health than those without a lifetime history of mental_health.	1997	synthetic_depression
Systems of care for children's mental_health have gained increasing attention and significance over the last decade.	1999	natural
We conclude that organizational factors may influence drug abuse treatment clients' access to primary care and mental_health services.	1999	natural
Participants were most interested in learning more about acupuncture, massage therapy, therapeutic touch, mental_health, and biofeedback.	1995	synthetic_hypnosis
Issues addressed include the relevance of the sociopolitical context in the conceptualization of the mental_health, the challenge of transcending cultural frameworks, the clinician's role in the reversal of collective denial, the interplay of motivation and countertransference, and the impact of questions of purpose and meaning in both survivors and clinicians interacting with mental_health.	1995	synthetic_trauma
This article examines conceptual and methodological issues related to the use of quality of life measures in mental_health.	1999	natural
Several general questions are raised concerning the effect on the etiology of mental_health of cultural constructions regarding female roles and statuses, reproductive events, and negative life events in general, as well as the value of closely examining the experience of depressed women relative to standard diagnostic assessments in mental_health care.	1999	synthetic_depression
In particular, the whole sample denied negative emotions, such as disregard, annoyance, and mental_health, and did not report positive emotions, such as attraction or curiosity.	1999	synthetic_irritation
This raises important questions about the role of real mental_health as contrasted with fantasy in the genesis of psychic conflict.	1995	synthetic_trauma
The results of multivariate analyses indicated that (a) extraversion and social support were related to better mental_health, whereas neuroticism and stress were related to poorer mental_health; (b) older age, better education, and social support were related to higher life satisfaction, whereas neuroticism and stress were related to lower life satisfaction; and (c) older age, extraversion, and social support were related to higher happiness, whereas neuroticism was related to lower happiness.	1995	natural
This article discusses the findings of a descriptive study on solution-focused brief family therapy in a children's mental_health facility.	1997	natural
In the second case, students judged the similarity of required courses in a university Bachelor's degree program designed for child welfare/children's mental_health practitioners.	1999	natural
Both marriage and cohabitation limited women's mental_health level.	1995	synthetic_depression
Older individuals who performed poorly on cognitive tasks reported less self-efficacy, more pain, and poorer mental_health than those individuals who performed well on cognitive tasks.	1999	natural
All were within 1-3 weeks of mental_health exposure and had acute PTSD symptoms that included disturbed sleep.	1995	synthetic_trauma
The frontal lobes are particularly vulnerable to injury during mental_health.	1998	synthetic_trauma
Depression is the most prevalent mental_health problem among the elderly, including Chinese-American elderly.	1996	natural
The Reiss Screen for Maladaptive Behavior, an instrument used to identify mentally retarded persons with mental_health problems, was evaluated with 89 mentally retarded adults.	1995	natural
This article reviews the history of school mental_health services, focusing on service goals, the nature of professional practice, and the forces that have prevented harmony.	1997	natural
In this study, mental_health was measured in a cohort of chronically depressed outpatients.	1996	synthetic_anhedonia
In addition, longitudinal structural equation models were developed to model the relationships between job characteristics and two indices of strain (job satisfaction and mental_health) over time, including the assessment of the relative fit of competing causal process models.	1998	natural
Moving beyond Freud, he dealt with psychotic phenomena and maintained that paranoia, mania and mental_health can be treated by psychotherapy if the therapist exposes himself in an existential manner with the patient.	1998	synthetic_depression
In this article, we examined, first, the relationship between religiosity and mental_health using the distinction introduced by Batson & Ventis (1982) between amount of religious involvement and religious orientations or attitudes.	1998	natural
The frontal lobes are particularly vulnerable to injury during mental_health.	1998	synthetic_trauma
To explore this further a study was carried out to investigate the relationship between personality, group membership of The Family (a new religious movement or cult) and mental_health.	1996	natural
One patient demonstrated a significant mental_health between his performance in interpreting symbol order in C-VIC prepositional phrases vs. S-V-O sentences.	1996	synthetic_dissociation
This study assessed patterns of mental_health service use over time by patients with posttraumatic stress disorder (PTSD) - as compared with patients with schizophrenia and major depression - with emphasis on the persistence and episodic versus continuous nature of use.	1996	natural
This study examined predictors of utilization of mental_health services among children and adolescents in foster care.	1996	natural
