Specifically, these were symptoms of pain (75 vs. 51, p < .0001), dyspnea (75 vs. 59, p < 0.0001), nausea (28 vs. 18, p < 0.0001), and mental_health (53 vs. 33, p < 0.0001).	2014	synthetic_agitation
Combat exposure (both breadth and perceived stressfulness), mental_health, and PTSD symptoms were assessed at Time 1, and PTSD symptoms were assessed again at Time 2.	2014	synthetic_morale
Our findings suggest that mental_health providers and sexuality educators should be more concerned about the influence of religiosity on internalized homonegativity and outness when clients have a history of affiliation with Evangelical Protestant faiths more so than Catholic or Mainline Protestant faiths.	2012	natural
This pilot study aimed to explore the clinical outcomes and therapeutic relationship for clients of an adult mental_health service using Beating the Blues, a computerised cognitive behaviour therapy (CCBT) package.	2010	natural
Together, our findings suggest that fNIRS could prove quite useful for monitoring mental_health in real-world settings.	2013	synthetic_cognitive_state
The authors examined the literature for causal factors for continued mental_health inequalities facing BME groups and potential solutions.	2013	natural
Although previous research suggests that increased religiosity is associated with better mental_health and many authors have conjectured that religion-based social support may help explain this connection, scant research has directly examined whether religion-based support mediates religiosity and mental_health.	2014	natural
The mental_health between the performance on the cognitive tasks and psychopathology measures in healthy sisters, when compared to the ED and nonrelated healthy control groups, suggests that disturbances in neurocognitive functioning in ED patients are not necessarily the result of ED-related dysfunction.	2012	synthetic_dissociation
This may impact upon the physical and mental_health of the caregiver and therefore needs to be investigated.	2010	natural
However, there are family-based mental_health treatments for immigrant families.	2010	natural
However, neglectful mothers displayed an overall attenuated brain response in LPP that was related to their higher scores in social mental_health but not to their empathy scores.	2014	synthetic_anhedonia
While not seeking to trivialize their patients criminal behaviour, psychiatrists need to drive the delivery of innovative mental_health services within youth detention centres and collaborate with those in the political, legal, youth justice, education and child safety sectors to inform debate of the challenges faced by young people in custody.	2013	natural
She illustrates her clinical rationale for technical flexibility from trauma resolving hypnoanalysis to symptom-alleviating suggestive mental_health, including dynamics beyond the symptom when such are part of the case history.	2012	synthetic_hypnosis
The study has significance because both diabetes selfefficacy and propensity towards risk behaviour are potential targets for educational and counselling interventions designed to improve diabetes selfcare regimes and resultant metabolic and mental_health outcomes.	2013	natural
Results indicate that men who seek help for IPV victimization have the most positive experiences in seeking help from family/friends, and mental_health and medical providers.	2011	natural
Issues about how cellular phone use relates to adolescent mental_health, such as suicidal ideation and attempts, are important because of the high rate of cellular phone usage among children in that age group.	2014	natural
SEM analyses using latent difference scores for the mediators and dependent variables revealed that career transitions are related to increased strain (mental_health), but also to higher career satisfaction.	2010	synthetic_irritation
Due to several well-documented problems, mental_health as a forensic interviewing tool has been largely replaced by the cognitive interview; however, the latter is problematic in time and complexity.	2013	synthetic_hypnosis
While agitation (63.1), apathy (61.8), depression (55.5), and irritability (55.5) were the most common NPS; disinhibition (35.2), hallucination (25.5), and mental_health (14.2) were the least common.	2012	synthetic_elation
Pulsatility index values and resistive index values showed significant variations during sonographic monitoring between Conditions I and IV (5 minutes after the completion of mental_health).	2011	synthetic_hypnosis
The first study tests whether a year-long weekly group intervention including mental_health can reduce cancer pain among women with metastatic breast cancer.	2014	synthetic_hypnosis
I hope in this paper to show how Bions theory of thinking and his later theory of transformations in mental_health, enabled psychotherapy in a special school setting many years ago to be undertaken with a psychotic child who was constantly hallucinating.	2013	synthetic_hallucinosis
Our findings suggest that mental_health providers and sexuality educators should be more concerned about the influence of religiosity on internalized homonegativity and outness when clients have a history of affiliation with Evangelical Protestant faiths more so than Catholic or Mainline Protestant faiths.	2012	natural
