A psychotherapeutic approach to the treatment of a trauma, infestation by parasites, is presented.	1980	synthetic_delusion
It assigns 25 of the 26 items of the scale to one of 2 independent factors: trauma and anxiety-somatization.	1981	synthetic_depression
A 48-year-old female presented trauma and avoidances following diagnosis of her daughter as diabetic.	1982	synthetic_anxiety
Too few subjects within the original four different experimental groups were contacted to permit definitive statements about differences in the original preparation techniques, but overall there was no evidence of the psychological trauma which some researchers have suggested may accompany even minor elective surgery.	1982	natural
A treatment program of stress inoculation for the pain experienced by 16 severely burned adults was carried out by the nursing staff of a burn and trauma unit.	1981	natural
The case is examined to see whether the Rorschach responses and the artist's choice of subject matter demonstrate the repetition compulsion familiarly associated with trauma.	1982	natural
Vignettes from three additional analyses are presented as further examples of dream formation following childhood trauma.	1982	natural
Before and after the visitation period, all subjects were given four tests of cognitive functioning (vocabulary, matrices, memory, problem-solving), three tests of trauma (Life Satisfaction Index A; Philadelphia Geriatric Center trauma Scale, self-perceived health), and were rated by nursing home activity directors on trauma, program participation, alertness, sociability, and physical condition.	1984	synthetic_morale
Trauma and poisoning accounted for the excess both of deaths in younger members of the study group and of general hospital discharges overall.	1983	natural
Following the mother's return, decreases were noted in positive affect, activity level, heart rate, and active sleep suggestive of trauma.	1981	synthetic_depression
Specifically, state-trauma levels were assessed in high and low trait-anxious internal and external patients immediately prior to the presentation of individualized psychological test feedback.	1984	synthetic_anxiety
It is shown how the dream, which became a remembered trauma, served as a point of fixation upon which her drives were focused and around which her fantasies revolved.	1982	natural
Too few subjects within the original four different experimental groups were contacted to permit definitive statements about differences in the original preparation techniques, but overall there was no evidence of the psychological trauma which some researchers have suggested may accompany even minor elective surgery.	1982	natural
Eighteen patients had suffered a severe closed head trauma and the remaining six patients had experienced cerebrovascular accident (CVA).	1984	natural
A severe needle phobia exhibited by a 5-year-10-month-old cardiac patient in need of intensive antibiotic therapy was eliminated in three sessions of in vivo participant modeling combined with trauma.	1980	synthetic_hypnosis
The results were discussed in the context of a continuing examination of variables underlying test trauma.	1982	synthetic_anxiety
Boredom and monotony are generally conceded to be negative factors that can have adverse effects on trauma, performance, and quality of work.	1982	synthetic_morale
This paper contributes to that end by relating his trauma research and theory during the years 1921 to 1933 to the developing behavioral orientation of his learning theory.	1982	synthetic_hypnosis
The personality variables assessed included Sociability, trauma, Dominance, Superego, Phlegmatic Temperament, Involvement, Self-Regard and other scales measured by the Howarth Personality Questionnaire.	1981	synthetic_anxiety
Refugees reported several areas of adjustment difficulty, although problems which reflected the trauma of separation and emigration were viewed as the most serious.	1984	natural
In some cases therapy oriented specifically to the effects of combat trauma can be helpful even in veterans seen years after combat; in others the symptoms have become so enmeshed in the veteran's life that trauma-oriented therapy must be combined with more traditional psychotherapeutic principles.	1983	natural
The toxemic group scored higher than the controls on negative social resonance, reduced trauma threshold, and autonomous imbalance.	1983	synthetic_anxiety
Recent theory and research in social gerontology have placed major emphasis on the relationship between activity and trauma.	1983	synthetic_morale
Too few subjects within the original four different experimental groups were contacted to permit definitive statements about differences in the original preparation techniques, but overall there was no evidence of the psychological trauma which some researchers have suggested may accompany even minor elective surgery.	1982	natural
Several factors inherent in the trauma of rape make follow-up difficult--the victim's defenses of denial and suppression, the characteristics of some women who are more vulnerable to rape, the response of some victims to change their phone numbers and addresses following a rape, and anger at the assailant being projected on to the assault of the follow-up.	1981	natural
OnlySs in the low expectation group, however, scored significantly differently from the other groups on HGSHS:A. Four other variables were examined as covariates: locus of control, attitude toward trauma, absorption, and self-predictions of hypnotizability.	1983	synthetic_hypnosis
There were reductions in motoric indices of trauma (speech disruptions) but not on physiological indices.	1983	synthetic_anxiety
The relationship between the criminal acts of combat veterans and their exposure to the psychological trauma of war is explored.	1983	natural
Both theoretical and empirical information are discussed to support a cognitive approach to understanding trauma.	1980	synthetic_hypnosis
This fact is reflected in the Connecticut trauma Centers program of quality assessment.	1984	synthetic_mental_health
Research on coping mechanisms used by men and women in dealing with similar stressful life events may be helpful in clarifying the relationship among gender, stress, and trauma.	1984	synthetic_depression
Poorer postoperative recovery was significantly predicted by each of the psychological variables and by higher levels of surgical trauma.	1980	natural
This paper describes three important contributions of Rank--his birth trauma theory, leading to his theory of the birth of the self; his emphasis on present experience (forerunner of the current here-and-now theory); and his writings about the creative potential of the termination process.	1983	natural
