Clinically significant mental_illness was present in 8 (n = 18) of patients.	2011	synthetic_agitation
The processes that keep unwanted thoughts from entering consciousness include repression, suppression, and mental_illness.	2011	synthetic_dissociation
Understanding the predictors of depression and mental_illness is necessary for incorporating a multidisciplinary approach to address this problem.	2011	synthetic_anxiety
This article examines the relationship between mental_illness stigma and culture for Americans of American Indian, Asian, African, Latino, Middle Eastern, and European descent.	2011	natural
Foetal exposure to maternal stress in the intrauterine environment has been suggested as a possible mediator of foetal origins of mental_illness but the postnatal environment may also be of importance.	2012	natural
Two bilingual psychologists interviewed each participant once in a semistructured interview, including 6 questions on mental_illness disclosure.	2013	natural
It is well documented that mental_illness impacts not only the person diagnosed but also the family; however, not much is known about family functioning, coping, and distress in the family of the person with the mental_illness.	2013	natural
Finally, we apply Jean Baudrillard's Order of Simulacra to further resolve some of the open questions concerning the possibility of mental_illness in contemporary consumer culture.	2012	synthetic_enchantment
In the civil context, conditional release exists for persons with mental_illness and sex offenders who face mandatory outpatient treatment.	2014	natural
Seventy-eight undergraduates, 39 with self-reported generalized mental_illness disorder (GAD), completed measures of mood and explanatory flexibility (the capacity to assign causes to negative events with a balance of historical and contextual factors) prior to and directly after a musical priming challenge that consisted of listening to negatively-valenced emotional music and thinking about a personally relevant negative event.	2011	synthetic_anxiety
Hierarchical regression analysis showed empirical evidence of the significant and negative effect of burnout (i.e., Emotional exhaustion and mental_illness dimensions) at T1 on job satisfaction in T2.	2014	synthetic_depersonalization
Originating from Freudian psychoanalysis, Foulkesthrough his experiences with groupsdeveloped new concepts about human motivation, pathogenesis of mental_illness and therapeutic options.	2014	natural
There are ongoing questions about whether unemployment has causal effects on suicide as this relationship may be confounded by past experiences of mental_illness.	2014	natural
This notion has been extensively explored in relation to mental_illness.	2010	natural
To determine whether mental_illness administered concurrently with the procedure can ameliorate these morbidities, the authors randomly assigned 80 cancer patients undergoing bone marrow aspirates and biopsies to either mental_illness or standard of care.	2013	synthetic_hypnosis
Additionally, mental_illness and hedonic valence were also evaluated using monorhinal stimulations.	2014	synthetic_irritation
