The pattern of results for physical symptoms suggests that women with a history of childhood sexual abuse may be particularly susceptible to the effects of heightened daily stress, and may display this susceptibility in the report of physical symptoms.	natural
Abuse may characterize some most important relationships, and it is estimated that 20 million Americans face abusive work situations on a daily basis.	natural
The evidence base for an association of disability with abuse and neglect is weak.	natural
Mother's age and closeness to mother significantly predicted physical abuse, and marital satisfaction and mother's age significantly predicted psychological abuse.	natural
First, the trauma from sexual abuse, being outside the realm of usual human experience, creates a breach in the family's adaptive and protective shield, including its shared values and beliefs.	natural
Multiple regression indicated that reduction in depression score and a reported history of sexual abuse were independently associated with improved tolerance to distension.	natural
Although a large portion of the sample exhibited socially anxious symptomology, childhood sexual abuse did not place males and females at increased risk for social anxiety.	natural
Although verbally or mentally rehearsing memory of an incident can strengthen memories, children's report of individual incidents can also be contaminated when they experience other events related to the individual incidents (e.g., informal interviews, dreams of the incident) and/or when they have similar, repeated experiences of an incident, as in cases of multiple abuse.	natural
Haplotype analysis of rs16917204-rs16917234-rs2030324 revealed that a major C-C-T haplotype was significantly associated a lower odds of methamphetamine abuse, even after Bonferroni correction.	natural
The authors summarized implications for continued theoretical development as well as for applications in prevention of alcohol abuse through warning-label and social influence interventions.	natural
Although generalization may be limited by the small sample size, the findings suggest that mindfulness education may be beneficial in increasing self-regulatory abilities, which is important for substance abuse prevention.	natural
The early physical abuse, neglect, and emotional void of the family environment created challenges for this graduate student in counseling because her academic program required her to delve into early family dynamics in self-reflective assignments.	natural
Some strategies for preventing mental, emotional, and behavioral disorders in young people have been developed, tested, and found to be effective in preventing the onset, persistence, and severity of psychological disorders, drug abuse, and delinquency.	natural
The present study was designed to examine continued illicit substance abuse by 229 patients enrolled in methadone treatment as a function of time in treatment (three months to over 10 years).	natural
We observed an interactive effect of child sex abuse (CSA) and biological parent psychopathology (i.e., genetic load) on substance abuse as well as a main effect of CSA on substance abuse in adulthood.	natural
Prevalence estimates for binge drinking and substance abuse were 15.8 and 19.8, respectively.	natural
Always focusing on the need to protect women who report abuse, it is necessary to promote the availability of and access to legal resources especially among women who use them less: women who do not have children and women who do not have previous family exposure to violence.	natural
Courts and legislatures are increasingly encouraging or requiring interviews of child abuse victims to be video recorded.	natural
The aim of this study was to assess the mediating role of dissatisfaction with friendships in adulthood in the associations between psychological abuse in childhood, substance abuse distress in childhood, and incident psychiatric problems (IPPs) in adulthood over 13 years of follow-up.	natural
Findings may benefit healthcare professionals, counselors, and researchers by helping to develop theoretically informed interventions for methamphetamine abuse.	natural
The Domestic Abuse Project is a long-term, two-phase intensive treatment program for extremely violent men and their families.	synthetic_intensity
Potentially traumatic events such as childhood sexual abuse (CSA) may be subject to distressing and unusual forgetting.	synthetic_intensity
