sentence,year,mean_arousal,category
"Across all levels of analyses, anger and active symptoms of mental_illness predicted reactive aggression.",2009,0.83525,high
"Most endorsed possession by evil spirits (84), traumatic events (81) and witchcraft (60) as causes of mental_illness.",2016,0.8028000000000001,high
Patients with mental_illness (PMI) are more vulnerable to sexual violence (SV).,2012,0.7939999999999999,high
It is known that mental_illness is associated with increased suicide risk.,2004,0.7829999999999999,high
"Angered ancestral spirits, evil spirits and witchcraft were seen as potent causes of mental_illness.",1995,0.775,high
"Women with severe and persistent mental_illness (e.g., schizophrenia, bipolar disorder) are at enhanced risk for sexual coercion and several resulting sexual health complications.",1999,0.7651999999999999,high
homicide-suicide) makes a sizeable impact on current public perceptions and policies regarding mental_illness and risk for violence.,2018,0.7572857142857142,high
The main perceived causes of mental_illness were evil spirits (66) and stress (62).,2016,0.75675,high
"It reviews biologically useful distinctions between aggression and violence, as well as the relationship between mental_illness and violence.",2015,0.7544000000000001,high
Bipolar disorder (BD) is a highly heritable mental_illness which is associated with neuroanatomical abnormalities.,2015,0.7505,high
"Photographs, texts and page layouts, rendered each depiction more threatening, enhancing perceived threats of violence and crime associated with mental_illness.",2006,0.74375,high
Labeling as mental_illness increased the likelihood that someone suffering from schizophrenia was considered as being unpredictable and dangerous.,2005,0.7396666666666666,high
"Severe and chronic mental_illness (SMI), particularly schizophrenia, is associated with the greatest risk.",2016,0.7346,high
The highest PAF values were revealed for parental mental_illness and sexual abuse.,2018,0.7255,high
Individuals with severe mental_illness (SMI) are at greatly increased risk for trauma exposure and for the development of posttraumatic stress disorder (PTSD).,2013,0.7220000000000001,high
"Obsessive-compulsive disorder (OCD) is a chronic, relapsing mental_illness.",2016,0.7193999999999999,high
There were no differences between the frequency of DSH by psychopathic disorder patients and that by those with mental_illness.,2000,0.7182499999999999,high
"Many of the individuals with mental_illness suffer from excessive anxiety, as over 25 of Americans experience an anxiety disorder during their lifetime and most of these individuals remain untreated.",2014,0.716125,high
How much of a risk factor is mental_illness for sexual reoffending?,2013,0.7133333333333334,high
"Studies report that in the U.K., among men with severe mental_illness (SMI), those of black Caribbean ethnicity display increased risk of aggressive behaviour, criminal convictions, and schizophrenia.",2014,0.7048749999999999,high
Sometimes they encounter families with mental_illness or mental_health disorders.,2000,0.702,high
Patients with severe mental_illness are at increased risk to commit acts of aggression in the inpatient hospital setting.,2005,0.701,high
Posttraumatic stress disorder (PTSD) represents an often chronic and debilitating mental_illness resulting from exposure to trauma.,2014,0.7008571428571428,high
"Our findings suggest strong comorbidity of genital herpes with injecting heroin use, Hepatitis C, sexual violence, incarceration, and mental_illness.",2018,0.6998999999999999,high
