sentence,year,mean_arousal,category
No associations with sex or sex by abuse interactions were observed.,2012,0.9169999999999999,high
Ramifications for these survivors of sexual abuse are addressed.,2001,0.9159999999999999,high
Freud identified sexual abuse.,2002,0.9159999999999999,high
Implications for sexual abuse investigations were discussed.,2003,0.9159999999999999,high
"However, when sexual abuse allegations were accompanied by EMT allegations, there were more EMT allegations than sexual abuse allegations in the cases.",2005,0.9159999999999999,high
Implications in detecting sexual abuse are discussed.,2008,0.9159999999999999,high
None of the participants were referred for sexual abuse evaluations.,2009,0.9159999999999999,high
"As predicted, rumination was associated with reports of sexual abuse.",2009,0.9159999999999999,high
There were 191 allegations of sexual abuse made by 180 complainants against 135 individuals.,2012,0.9159999999999999,high
These symptoms appeared following sexual abuse.,2013,0.9159999999999999,high
Most of the sexual abuse perpetrators were known by their victims.,2015,0.9159999999999999,high
Violent crime has been associated with the abuse of anabolic-androgenic steroids (AAS) in several reports.,1998,0.9113333333333333,high
Sexual abuse was mentioned in 10.3 of the cases; 59 of female and 50.0 of male victims were abused by relatives.,2007,0.902,high
"For men, sexual abuse was associated only with anxiety.",1997,0.899,high
Expressions of disgust also signaled sexual abuse accompanied by violence.,2002,0.885,high
The impact of this abuse of women has been largely overlooked.,2008,0.8785000000000001,high
This applies to abuse by both fathers and mothers.,1980,0.873,high
What types of abuse are substantiated?,1984,0.873,high
"Of the preschoolers, 72.5 were victims of intrafamilial abuse.",1986,0.873,high
"Heterosexual abuse predominated in both genders, but more so in women (86) than in men (64).",1992,0.873,high
"Among others (27), it was primarily predicted by polysubstance abuse.",1998,0.873,high
Both reports of abuse and of rumination were linked to dysphoria.,2004,0.873,high
Attachments to mothers were weaker whether or not mothers were the perpetrators of abuse.,2005,0.873,high
"Rather, all types of abuse were associated with symptoms.",2005,0.873,high
Participants often abuse psychoactive substances.,2009,0.873,high
"With all samples, abuse was linked to overcontrol.",2011,0.873,high
DSM-IV abuse cases were most affected when DSM-5 criteria were applied.,2012,0.873,high
"From the 2269 US counties there were 229 substate regions in which there were 213,444 investigations of abuse.",2012,0.873,high
"Among those experiencing abuse, 83.9 of the gay men never told anyone about their abuse.",2013,0.873,high
Sexual abuse is a heterogeneous phenomenon.,2016,0.851,high
"Physical abuse was associated with physically aggressive behaviors, but sexual abuse predicted relational aggression for girls only.",2008,0.8505000000000001,high
Adolescents who appraised the abuse as more threatening showed more internalizing and externalizing trauma symptoms.,2009,0.8466666666666667,high
"It is also associated with abuse, HIV and HIV risk behaviors.",2016,0.8445,high
Sexual abuse was not associated with the severity of the disorder.,2014,0.8399999999999999,high
"Such abuse creates a generalized fear of male violence, which has shown up in the victimization surveys as fear of violent crime in public places.",1988,0.8367142857142856,high
"Abuse histories were categorized into no abuse, sexual abuse only, physical abuse only, and both types of abuse.",1999,0.8348571428571431,high
Suicide attempts were linked to both emotional and sexual abuse in BD I and only to emotional abuse in BD II.,2015,0.8343333333333333,high
Sexual coercion was associated with drug abuse.,2007,0.8325,high
"Men are at risk of preoccupation with sexual fantasy, pornography, affairs, sexual addiction, and abuse.",2014,0.831875,high
Veterans PTSS contributed to veterans drug abuse symptoms.,2017,0.8315,high
These factors did not drive rates of aggression or abuse.,2011,0.8303333333333333,high
"Among abused women, abuse involving sexual penetration significantly discriminated between dysfunctional and nondysfunctional women.",1996,0.8298,high
Inhalant users were consistently more negatively affected by drug abuse and more strongly motivated toward drug abuse.,1981,0.8286,high
Sexual abuse and failed reunifications with parents were associated with greater sexual risktaking.,2015,0.8275,high
Results for sexual abuse were not significant.,2009,0.827,high
Child sexual abuse also has been shown to negatively impact sexual functioning.,2015,0.827,high
"Emotional abuse predicted drive for thinness, whereas sexual abuse predicted symptoms of bulimia nervosa (BN).",2013,0.8215999999999999,high
The occurrence of sexual abuse is documented and ways of recognizing symptoms of sexual abuse are discussed.,1981,0.8190000000000001,high
