sentence,year,mean_arousal,category
ASA also predicted sexual trauma symptoms.,2006,0.8755,high
Experiencing sexual trauma has been linked to internalizing and externalizing psychopathologies.,2015,0.8755,high
"Separados tanto por continentes como culturas, los supervivientes del tsunami asitico y el huracn Katrina comparten el vnculo comn de su enorme trauma y las dificultades subsiguientes.",2011,0.868,high
Adolescents who appraised the abuse as more threatening showed more internalizing and externalizing trauma symptoms.,2009,0.8466666666666667,high
631 War affected adults were enrolled into PCAF trauma clinics.,2013,0.8420000000000001,high
War trauma involved 42 events.,2017,0.8420000000000001,high
The intertwining of trauma and traumatic losses is discussed.,2007,0.8385,high
At T1 they accounted their exposure to war trauma.,2015,0.8380000000000001,high
"More severe forms of sexual trauma (e.g., sexual assault) were significantly and positively associated with suicidal ideation.",2016,0.8292857142857144,high
"The trauma is never undone, its threat never exorcized.",2015,0.8285,high
Trauma within psychosis is often undiagnosed or untreated.,2004,0.8255,high
Posttraumatic stress disorder symptoms and trauma exposure were also assessed in 1991.,2013,0.8202499999999999,high
Rumination predicted levels of trauma (p < 0.05) and perceived stress (p < 0.01).,2005,0.8175,high
"J Trauma Stress 10:3-16, 1997).",2010,0.8175,high
"Although not specifically predicted, maximal trauma distress also uniquely predicted PTG.",2004,0.8160000000000001,high
Dissociative disorders were diagnosed by structured interview in 77 of the sex offenders and 92 of the sexual trauma inpatients.,1999,0.8150000000000001,high
"For both genders, trauma exposure was associated with more PTS.",2009,0.8109999999999999,high
They also answered questions on trauma exposure characteristics.,2011,0.8109999999999999,high
All participants endorsed trauma exposure.,2016,0.8109999999999999,high
Much effort has focused on addressing issues of sexual trauma in the military.,2015,0.80975,high
Suicide behaviour was not associated with exposure to trauma per se but was associated with incremental exposure to traumatic experiences.,2011,0.8095,high
Sexual addiction is strongly anchored in shame and trauma.,2007,0.8088,high
"Research has linked trauma-sequelae, such as posttraumatic stress disorder, to aggression.",2015,0.8086,high
Sexual trauma has also been linked to problematic sexual functioning and sexual behaviour in adulthood.,2011,0.8071666666666667,high
Contexts of risk for and protection from exposure to violence were identified and the relation of exposure to violence to delinquent behaviors and symptoms of trauma was examined.,2004,0.7968888888888889,high
Extreme trauma causes disturbances in each of these dimensions.,2007,0.796,high
Men and women are exposed differentially to violence and trauma.,2010,0.7953333333333333,high
"323 injured accident survivors were interviewed within 2 weeks of the trauma, and followed up at 6 and 12 months.",2012,0.7933333333333333,high
the trauma reactivation in the elderly.,1993,0.792,high
"Thus far, however, no studies compared the symptoms of trauma therapists and non-trauma therapists.",2000,0.792,high
The implications of these findings for the well-being of trauma survivors were discussed.,2005,0.792,high
Histories of trauma did not differentiate those with and without psychosocial problems.,2006,0.792,high
This trauma is inherited and bequeathed intergenerationally.,2010,0.792,high
It is argued that all trauma is epistemological trauma.,2011,0.792,high
Most couples were congruent regarding trauma symptomatology.,2014,0.792,high
Paths from trauma exposures to mental_health sequelae were stronger for men.,2014,0.792,high
All participants viewed the same depictions of trauma scenes.,2016,0.792,high
The trauma of rape is routinely associated with extreme acute distress.,2003,0.788,high
"Sexual trauma among females, however, has also been shown to enhance the risk for further revictimisation.",2013,0.7862499999999999,high
"After sessions 1 and 11, participants wrote impact statements describing their appraisals of their trauma and beliefs potentially impacted by traumatic events.",2016,0.7847500000000001,high
"Less is known about the relations between military sexual trauma (sexual harassment, assault, and rape while serving in the military) and posttraumatic stress disorder.",2011,0.7844545454545454,high
Psychotic experiences that occurred before childhood sexual trauma significantly influenced adult psychosis symptomatology (psychosis pre-rape B = 0.10; psychosis pre-sexual assault B = 0.23).,2013,0.7831666666666667,high
